ID,Institution,Ranking1,Ranking2,Ranking3,TS,SaT,SaC,Expenditure,SSR,CP,Continuation,VAS,ET,SaF,AccountingFinanceRank,AccountingFinanceGS,AccountingFinanceSaT,AccountingFinanceSaC,AccountingFinanceContinuation,AgricultureForestryFoodRank,AgricultureForestryFoodGS,AgricultureForestryFoodSaT,AgricultureForestryFoodSaC,AgricultureForestryFoodContinuation,AmericanStudiesRank,AmericanStudiesGS,AmericanStudiesSaT,AmericanStudiesSaC,AmericanStudiesContinuation,AnatomyPhysiologyRank,AnatomyPhysiologyGS,AnatomyPhysiologySaT,AnatomyPhysiologySaC,AnatomyPhysiologyContinuation,AnthropologyRank,AnthropologyGS,AnthropologySaT,AnthropologySaC,AnthropologyContinuation,ArchitectureRank,ArchitectureGS,ArchitectureSaT,ArchitectureSaC,ArchitectureContinuation,ArtRank,ArtGS,ArtSaT,ArtSaC,ArtContinuation,BiosciencesRank,BiosciencesGS,BiosciencesSaT,BiosciencesSaC,BiosciencesContinuation,BuildingandtownandcountryplanningRank,BuildingandtownandcountryplanningGS,BuildingandtownandcountryplanningSaT,BuildingandtownandcountryplanningSaC,BuildingandtownandcountryplanningContinuation,BusinessManagementMarketingRank,BusinessManagementMarketingGS,BusinessManagementMarketingSaT,BusinessManagementMarketingSaC,BusinessManagementMarketingContinuation,ChemistryRank,ChemistryGS,ChemistrySaT,ChemistrySaC,ChemistryContinuation,ClassicsAncientHistoryRank,ClassicsAncientHistoryGS,ClassicsAncientHistorySaT,ClassicsAncientHistorySaC,ClassicsAncientHistoryContinuation,ComputerScienceInformationSystemsRank,ComputerScienceInformationSystemsGS,ComputerScienceInformationSystemsSaT,ComputerScienceInformationSystemsSaC,ComputerScienceInformationSystemsContinuation,CriminologyRank,CriminologyGS,CriminologySaT,CriminologySaC,CriminologyContinuation,DentisitryRank,DentisitryGS,DentisitrySaT,DentisitrySaC,DentisitryContinuation,DesignCraftsRank,DesignCraftsGS,DesignCraftsSaT,DesignCraftsSaC,DesignCraftsContinuation,DramaDanceRank,DramaDanceGS,DramaDanceSaT,DramaDanceSaC,DramaDanceContinuation,EarthMarineSciencesRank,EarthMarineSciencesGS,EarthMarineSciencesSaT,EarthMarineSciencesSaC,EarthMarineSciencesContinuation,EconomicsRank,EconomicsGS,EconomicsSaT,EconomicsSaC,EconomicsContinuation,EducationRank,EducationGS,EducationSaT,EducationSaC,EducationContinuation,EngineeringChemicalRank,EngineeringChemicalGS,EngineeringChemicalSaT,EngineeringChemicalSaC,EngineeringChemicalContinuation,EngineeringCivilRank,EngineeringCivilGS,EngineeringCivilSaT,EngineeringCivilSaC,EngineeringCivilContinuation,EngineeringElectronicElectricalRank,EngineeringElectronicElectricalGS,EngineeringElectronicElectricalSaT,EngineeringElectronicElectricalSaC,EngineeringElectronicElectricalContinuation,EngineeringGeneralRank,EngineeringGeneralGS,EngineeringGeneralSaT,EngineeringGeneralSaC,EngineeringGeneralContinuation,EngineeringMaterialsMineralRank,EngineeringMaterialsMineralGS,EngineeringMaterialsMineralSaT,EngineeringMaterialsMineralSaC,EngineeringMaterialsMineralContinuation,EngineeringMechanicalRank,EngineeringMechanicalGS,EngineeringMechanicalSaT,EngineeringMechanicalSaC,EngineeringMechanicalContinuation,EnglishCreativeWritingRank,EnglishCreativeWritingGS,EnglishCreativeWritingSaT,EnglishCreativeWritingSaC,EnglishCreativeWritingContinuation,FashionTextilesRank,FashionTextilesGS,FashionTextilesSaT,FashionTextilesSaC,FashionTextilesContinuation,FilmProductionPhotographyRank,FilmProductionPhotographyGS,FilmProductionPhotographySaT,FilmProductionPhotographySaC,FilmProductionPhotographyContinuation,ForensicScienceArchaeologyRank,ForensicScienceArchaeologyGS,ForensicScienceArchaeologySaT,ForensicScienceArchaeologySaC,ForensicScienceArchaeologyContinuation,GeographyEnvironmentalStudiesRank,GeographyEnvironmentalStudiesGS,GeographyEnvironmentalStudiesSaT,GeographyEnvironmentalStudiesSaC,GeographyEnvironmentalStudiesContinuation,HealthProfessionsRank,HealthProfessionsGS,HealthProfessionsSaT,HealthProfessionsSaC,HealthProfessionsContinuation,HistoryRank,HistoryGS,HistorySaT,HistorySaC,HistoryContinuation,HistoryofArtRank,HistoryofArtGS,HistoryofArtSaT,HistoryofArtSaC,HistoryofArtContinuation,HospitalityEventManagementTourismRank,HospitalityEventManagementTourismGS,HospitalityEventManagementTourismSaT,HospitalityEventManagementTourismSaC,HospitalityEventManagementTourismContinuation,JournalismPublishingPublicRelationsRank,JournalismPublishingPublicRelationsGS,JournalismPublishingPublicRelationsSaT,JournalismPublishingPublicRelationsSaC,JournalismPublishingPublicRelationsContinuation,MathematicsRank,MathematicsGS,MathematicsSaT,MathematicsSaC,MathematicsContinuation,MediaFilmStudiesRank,MediaFilmStudiesGS,MediaFilmStudiesSaT,MediaFilmStudiesSaC,MediaFilmStudiesContinuation,MedicineRank,MedicineGS,MedicineSaT,MedicineSaC,MedicineContinuation,ModernLanguagesLinguisticsRank,ModernLanguagesLinguisticsGS,ModernLanguagesLinguisticsSaT,ModernLanguagesLinguisticsSaC,ModernLanguagesLinguisticsContinuation,MusicRank,MusicGS,MusicSaT,MusicSaC,MusicContinuation,NursingMidwiferyRank,NursingMidwiferyGS,NursingMidwiferySaT,NursingMidwiferySaC,NursingMidwiferyContinuation,PharmacyPharmacologyRank,PharmacyPharmacologyGS,PharmacyPharmacologySaT,PharmacyPharmacologySaC,PharmacyPharmacologyContinuation,PhilosophyRank,PhilosophyGS,PhilosophySaT,PhilosophySaC,PhilosophyContinuation,PhysicsRank,PhysicsGS,PhysicsSaT,PhysicsSaC,PhysicsContinuation,PoliticsRank,PoliticsGS,PoliticsSaT,PoliticsSaC,PoliticsContinuation,PsychologyRank,PsychologyGS,PsychologySaT,PsychologySaC,PsychologyContinuation,ReligiousstudiesandtheologyRank,ReligiousstudiesandtheologyGS,ReligiousstudiesandtheologySaT,ReligiousstudiesandtheologySaC,ReligiousstudiesandtheologyContinuation,SocialPolicyAdministrationRank,SocialPolicyAdministrationGS,SocialPolicyAdministrationSaT,SocialPolicyAdministrationSaC,SocialPolicyAdministrationContinuation,SocialWorkRank,SocialWorkGS,SocialWorkSaT,SocialWorkSaC,SocialWorkContinuation,SociologyRank,SociologyGS,SociologySaT,SociologySaC,SociologyContinuation,SportsscienceRank,SportsscienceGS,SportsscienceSaT,SportsscienceSaC,SportsscienceContinuation,VeterinaryScienceRank,VeterinaryScienceGS,VeterinaryScienceSaT,VeterinaryScienceSaC,VeterinaryScienceContinuation
1,Cambridge,1,1,1,100,91,89,9.7,11,88,99,5.8,225,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99.2,90,90,0,0,0,0,0,0,2,99.1,93,93,99,1,100,81,83,0,0,0,0,0,0,0,0,0,0,0,1,100,95,92,100,2,97.5,91,88,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96,83,82,99,1,100,92,95,0,1,100,90,90,0,0,0,0,0,0,0,0,0,0,0,1,100,87,89,98,0,0,0,0,0,0,0,0,0,0,7,86.2,91,90,98,0,0,0,0,0,0,0,0,0,0,1,100,89,86,99,3,95.5,90,85,100,0,0,0,0,0,1,100,96,96,99,2,98.6,96,96,0,0,0,0,0,0,0,0,0,0,0,3,97.2,95,93,99,0,0,0,0,0,1,100,89,77,99,1,100,92,84,100,24,82.9,80,59,99,0,0,0,0,0,0,0,0,0,0,1,100,91,87,99,0,0,0,0,0,2,91.9,88,83,99,3,94,92,84,97,1,100,96,96,97,0,0,0,0,0,0,0,0,0,0,1,100,88,84,99,0,0,0,0,0,5,73.2,84,77,100,
2,Oxford,2,2,2,97.4,92,90,9.9,10.5,85,99,6.6,217,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,95,89,0,0,0,0,0,0,0,0,0,0,0,2,99.1,90,86,98,0,0,0,0,0,1,100,0,0,0,1,100,87,80,100,2,84.9,95,91,98,3,89.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82.1,88,83,0,1,100,90,90,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,95.1,84,85,99,1,100,93,95,0,0,0,0,0,0,3,91.2,95,95,99,0,0,0,0,0,0,0,0,0,0,4,87.4,95,89,0,1,100,94,93,100,0,0,0,0,0,3,94.4,94,93,100,3,93.5,94,93,0,0,0,0,0,0,0,0,0,0,0,1,100,91,86,96,0,0,0,0,0,2,99.8,96,95,98,2,99.7,92,87,97,11,89,97,93,99,0,0,0,0,0,0,0,0,0,0,3,89.3,91,86,99,4,83.9,89,85,97,3,87.4,92,89,99,4,92,95,100,97,9,71,88,88,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,St Andrews,3,3,3,97.2,94,93,5.2,11.6,82,97,7.1,206,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90.9,98,97,0,0,0,0,0,0,0,0,0,0,0,1,100,97,97,97,0,0,0,0,0,2,91,94,90,0,24,72.9,81,85,95,4,81.1,99,98,99,1,100,90,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78.4,93,93,0,3,95.7,88,88,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,94.7,97,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90.7,91,87,97,0,0,0,0,0,4,93.4,97,95,98,5,90.7,97,97,0,0,0,0,0,0,0,0,0,0,0,2,97.4,94,96,98,0,0,0,0,0,15,79.3,96,94,0,5,94.3,92,91,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93.4,97,100,96,1,100,95,96,97,1,100,97,96,98,1,100,94,93,99,2,98.9,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Loughborough,4,6,4,87.9,89,90,6.3,13.8,82,96,6.1,162,75,2,99.3,89,95,96,0,0,0,0,0,0,0,0,0,0,15,70.6,95,95,0,0,0,0,0,0,0,0,0,0,0,54,45.4,78,71,93,0,0,0,0,0,6,88.2,76,76,95,5,83.3,90,94,98,4,93.1,97,98,97,0,0,0,0,0,4,86.8,96,93,94,0,0,0,0,0,0,0,0,0,0,4,98.3,89,85,96,25,79.4,86,81,0,0,0,0,0,0,17,80.4,93,94,96,0,0,0,0,0,10,48.4,87,92,97,6,80.6,94,96,96,9,89.7,88,89,88,7,77.6,96,90,0,2,87.4,92,93,93,5,92.8,87,90,97,13,82.1,90,91,99,3,94.7,89,85,95,0,0,0,0,0,0,0,0,0,0,4,93.5,95,95,99,0,0,0,0,0,13,79.4,94,96,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,83.2,92,96,95,4,98.1,89,93,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,64.9,86,87,94,5,81.1,97,95,97,9,77.8,92,91,97,0,0,0,0,0,4,88.4,89,84,0,0,0,0,0,0,9,80.8,86,91,95,3,95.3,93,92,98,0,0,0,0,0,
5,Durham,6,4,5,87.6,89,89,5.1,14.9,84,97,6.7,198,76,23,84,81,86,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,51.5,85,85,98,0,0,0,0,0,0,0,0,0,0,8,87.9,89,94,97,0,0,0,0,0,9,78.1,75,83,99,6,88.4,90,97,97,3,82.6,93,94,100,7,81.1,85,96,99,11,78.3,85,85,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71.7,95,91,96,14,81.8,78,81,97,3,88.7,90,88,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83.5,82,85,96,0,0,0,0,0,0,0,0,0,0,1,100,97,96,100,0,0,0,0,0,0,0,0,0,0,6,84.2,94,98,95,2,98.1,94,92,99,0,0,0,0,0,2,96.7,97,93,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82.4,86,89,97,0,0,0,0,0,0,0,0,0,0,4,96.1,95,89,98,1,100,91,88,100,0,0,0,0,0,0,0,0,0,0,5,73.7,91,81,97,2,90.7,91,90,97,29,66.5,85,79,98,6,84.2,92,93,97,3,84.7,93,87,99,0,0,0,0,0,0,0,0,0,0,20,76.3,81,81,97,7,88.4,90,92,90,0,0,0,0,0,
6, Bath,10,5,6,84.1,88,88,6.3,15.8,85,97,6.6,186,72,1,100,86,94,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94.7,97,97,97,0,0,0,0,0,27,80.1,90,87,97,0,0,0,0,0,4,84.2,85,94,99,17,78.8,93,94,96,0,0,0,0,0,15,74.4,77,82,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,69.7,78,77,97,0,0,0,0,0,7,51.7,82,81,99,9,80,93,88,94,5,94.6,91,95,96,0,0,0,0,0,0,0,0,0,0,2,98.4,90,92,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78.7,87,90,97,0,0,0,0,0,0,0,0,0,0,16,83.5,89,87,96,0,0,0,0,0,0,0,0,0,0,24,64.9,88,87,96,0,0,0,0,0,15,70.8,91,89,98,35,64.3,87,89,98,2,96.3,88,87,99,0,0,0,0,0,6,86.3,85,79,0,5,92.8,84,90,96,5,87,86,84,93,2,97.1,95,88,94,0,0,0,0,0,
7,Imperial College,7,6,7,83.3,85,83,8.6,11.4,90,96,5.7,219,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,86,85,82,96,0,0,0,0,0,0,0,0,0,0,37,64.8,82,81,89,0,0,0,0,0,5,85.3,85,85,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,97,97,100,0,0,0,0,0,0,0,0,0,0,4,70.1,84,84,97,1,100,90,95,0,4,97.8,87,86,96,3,95.8,93,96,0,6,65.4,83,87,97,1,100,81,82,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,77.9,82,78,92,0,0,0,0,0,11,87.6,87,90,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54.9,80,67,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Warwick,9,8,8,80.9,87,88,7.8,12.8,80,95,5.8,182,71,9,88.7,79,81,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93.1,91,87,96,0,0,0,0,0,3,84.6,82,86,98,20,77.7,93,88,96,11,57.4,92,89,95,6,82.9,94,96,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,87.4,96,90,97,0,0,0,0,0,7,87.8,87,91,98,71,43.1,70,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78.2,79,82,94,0,0,0,0,0,0,0,0,0,0,15,81.2,96,91,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,71.6,88,82,0,12,79.9,94,91,97,1,100,94,91,0,0,0,0,0,0,0,0,0,0,0,4,85.9,86,92,97,2,99.2,91,86,0,33,38.6,80,69,95,6,91.1,95,91,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,46.1,89,84,90,10,74.3,92,90,96,6,79.2,91,93,94,24,71.1,86,86,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,87.1,88,89,96,0,0,0,0,0,0,0,0,0,0,
9,Lancaster,8,9,9,80.2,88,90,7.7,12.7,85,92,4.2,157,75,11,87.4,87,92,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65.8,83,89,92,16,84.1,93,96,94,0,0,0,0,0,8,79.2,86,91,90,11,81.7,95,96,0,0,0,0,0,0,18,72.9,87,85,86,8,83.2,91,85,0,0,0,0,0,0,0,0,0,0,0,11,86.2,93,97,0,0,0,0,0,0,47,65.3,82,82,95,0,0,0,0,0,8,48.7,76,79,0,0,0,0,0,0,18,81.2,90,91,0,0,0,0,0,0,0,0,0,0,0,10,85.2,75,84,91,11,82.5,92,85,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90.3,93,92,95,0,0,0,0,0,7,84.2,96,97,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85.3,88,92,96,9,86.7,90,95,0,27,64.3,93,94,96,11,85.5,92,89,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56.8,96,98,0,7,79.1,94,97,95,50,58.2,88,89,96,22,72.2,89,91,92,5,77.5,97,93,0,0,0,0,0,0,1,100,92,92,88,15,77.7,91,85,0,0,0,0,0,0,0,0,0,0,0,
10,Leeds,16,14,10,78.8,90,89,7.3,13.2,82,95,6.6,168,74,3,97.9,93,95,98,1,100,85,83,98,0,0,0,0,0,9,77.6,93,93,97,0,0,0,0,0,0,0,0,0,0,13,65.1,90,91,97,33,79.4,91,92,95,0,0,0,0,0,12,76.1,83,82,96,9,83.1,92,92,98,13,54.9,98,95,95,9,79.4,89,91,89,5,88.4,89,90,0,15,36.7,92,87,99,20,78,80,78,97,28,78.7,88,84,93,6,69.7,92,98,97,4,92,91,91,99,65,47.4,73,61,91,16,44.4,70,77,93,2,90.7,96,98,93,8,91.3,88,92,91,9,75,93,88,0,0,0,0,0,0,3,95.3,88,89,95,34,72.7,92,90,96,24,72.1,80,78,92,2,99.3,91,86,0,0,0,0,0,0,11,87.1,92,94,97,36,70.6,91,84,89,6,84.8,97,94,98,13,69.3,94,92,94,0,0,0,0,0,28,68.1,77,71,0,19,78.1,85,88,96,6,90,89,81,96,14,79.4,94,96,99,18,83.4,90,89,94,12,88.9,92,89,97,15,67.9,88,83,94,9,76.6,95,93,0,23,51,92,88,92,16,70.6,92,90,95,20,69.2,91,90,96,20,72.6,89,83,97,12,68.9,91,90,91,3,93.7,94,92,0,27,72.5,75,64,91,12,79.1,88,89,94,1,100,93,94,97,0,0,0,0,0,
