ID,Institution,Ranking1,Ranking2,Ranking3,Average Teaching Score,satisfied with teaching,satisfied with course,Expenditure per student / 10,Student:staff ratio,Career prospects,Continuation,Value added score/10 ,Entry Tariff,satisfied with feedback
1,Cambridge,1,1,1,100,91,89,9.7,11,88,99,5.8,225,70
2,Oxford,2,2,2,97.4,92,90,9.9,10.5,85,99,6.6,217,68
3,St Andrews,3,3,3,97.2,94,93,5.2,11.6,82,97,7.1,206,82
4,Loughborough,4,6,4,87.9,89,90,6.3,13.8,82,96,6.1,162,75
5,Durham,6,4,5,87.6,89,89,5.1,14.9,84,97,6.7,198,76
6,Bath,10,5,6,84.1,88,88,6.3,15.8,85,97,6.6,186,72
7,Imperial College,7,6,7,83.3,85,83,8.6,11.4,90,96,5.7,219,65
8,Warwick,9,8,8,80.9,87,88,7.8,12.8,80,95,5.8,182,71
9,Lancaster,8,9,9,80.2,88,90,7.7,12.7,85,92,4.2,157,75
10,Leeds,16,14,10,78.8,90,89,7.3,13.2,82,95,6.6,168,74
11,UCL,14,10,11,78,84,81,8.8,10.3,81,96,6.9,191,63
12,York,19,17,12,77.9,90,88,5.9,14.6,82,96,4.8,159,76
13,Coventry,15,12,13,77.8,90,88,5.9,14.6,81,92,6.9,126,78
14,Exeter,11,13,14,77.2,89,89,3.7,16.5,84,97,5.8,176,75
15,London School of Economics,12,15,15,76.8,78,73,7.9,11.9,86,97,5.7,203,60
16,Nottingham Trent,53,34,16,76.6,87,89,4.8,14.8,76,91,5.1,143,80
17,Nottingham,25,19,17,76,88,87,6.3,13.9,83,96,7,163,72
18,UEA,24,18,18,75.7,89,90,4.4,13.4,79,94,7.5,153,72
19,Birmingham,13,15,19,75.6,89,88,7.2,14.8,86,96,6.4,166,72
20,Bristol,38,27,20,75,90,86,6.5,13.6,80,97,6,184,68
21,Surrey,4,10,21,74.7,88,88,5.8,15.7,77,94,7,163,74
22,Lincoln,56,47,22,73.1,87,88,4.5,14.9,76,93,4.9,129,76
23,Southampton,16,35,23,72.7,86,84,5.6,12.9,80,95,6.2,158,71
24,Glasgow,26,23,24,72.1,89,88,6,14.9,84,93,5.6,200,67
25,Portsmouth,43,37,25,72,88,88,5.9,15.4,80,91,6,119,75
26,Sussex,20,20,26,71.9,87,88,7,16.4,80,95,4.5,144,69
27,Newcastle,37,30,27,71.1,88,88,5.9,13.8,80,96,5.1,161,73
28,Edinburgh,22,30,28,70.3,85,80,8.7,12.6,75,95,6,181,61
29,Derby,48,54,29,70.1,88,85,6.2,15.1,74,90,4.9,119,77
30,Dundee,28,24,29,70.1,91,89,6.3,14.5,85,92,5.3,173,75
31,Essex,62,48,31,69.9,87,88,6.1,16.3,80,91,6.8,116,72
32,Swansea,39,45,31,69.9,87,89,4.7,15.4,82,93,5.9,138,74
33,Liverpool Hope,79,56,33,69.6,91,90,2.5,14.5,80,88,3.1,116,84
34,Manchester,31,28,34,69,83,83,8,13.4,82,95,5.4,167,67
35,Kent,23,22,35,68.7,87,88,4.7,18.4,83,94,5.3,137,71
36,Keele,34,36,36,68.4,90,90,4.4,14.2,80,94,4,128,77
37,UWE Bristol,68,52,37,68.2,88,87,5.1,18.4,77,91,6.6,127,74
38,Royal Holloway,45,40,38,68.1,87,87,5.7,15.2,70,95,4.9,142,73
39,Sheffield,41,40,39,67.9,87,87,4.7,14.7,82,96,5.1,156,70
40,Stirling,58,54,40,67.5,88,87,3.6,15.5,75,91,5,158,72
41,Huddersfield,77,60,41,67.3,85,86,4.2,17,78,89,6.4,128,79
42,Oxford Brookes,57,50,41,67.3,86,85,5.2,16.1,72,94,6.2,128,72
43,Aston,29,51,43,66.9,88,88,5.4,20.1,79,95,6.3,137,75
44,Staffordshire,69,67,44,66.7,87,85,6.4,14.5,80,84,4.4,115,78
45,Aberystwyth,108,81,45,66.6,91,91,4.5,16.6,74,92,3.4,120,81
46,Reading,32,29,46,66.5,85,85,5.9,15,76,94,5.7,138,71
47,Bangor,55,63,47,66.2,89,90,3.4,16.7,69,92,4,134,78
48,Northumbria,50,48,48,66.1,85,85,3.9,16.7,72,91,6.6,144,73
49,Liverpool John Moores,84,80,49,66,84,85,4.5,17.3,73,90,6.1,141,75
50,West London,96,58,50,65.9,87,84,4.6,15.6,70,86,6.4,120,78
51,Aberdeen,36,46,51,64.9,88,87,4.5,15.4,78,90,6.2,181,68
52,Queen's Belfast,48,38,52,64.8,89,88,5.1,15.8,80,95,5.9,153,74
53,Strathclyde,51,52,53,64.6,88,87,5.2,19.8,80,92,5.5,201,66
54,Chichester,75,72,54,64.5,89,86,3.2,15.1,65,92,4.7,123,74
55,Gloucestershire,72,64,55,64.2,87,85,5.6,19,69,92,5.9,123,75
56,Edge Hill,64,56,55,64.2,86,84,3.9,15.2,71,91,5.1,130,77
57,Liverpool,59,67,57,63.6,85,87,6.3,13.5,78,95,6.1,146,74
58,Cardiff,33,42,58,63,86,85,7,13.5,76,95,4.8,155,70
59,Kingston,88,81,58,63,79,79,6.4,16,62,90,5.8,125,70
60,SOAS,30,25,58,63,88,86,6.1,12.3,70,89,5.1,148,69
61,King's College London,42,39,58,63,87,81,6.2,12.5,83,94,6.2,169,62
62,Brunel,77,72,58,63,82,83,5,16.4,73,93,6,131,71
63,Falmouth,21,32,63,62.9,86,83,4.8,18.4,71,90,4.6,120,77
64,Leicester,47,43,63,62.9,86,86,6.5,13.7,76,94,5.9,136,70
65,Bournemouth,79,61,65,62.7,83,81,5.3,17,70,90,7.4,123,69
66,Plymouth,76,78,66,62.5,87,85,5.3,15.9,70,93,6.1,129,73
67,Heriot-Watt,27,26,66,62.5,85,85,7.9,16.7,77,91,5.4,167,69
68,Abertay Dundee,85,66,68,62.4,86,85,2.3,18.5,66,88,5.8,155,75
69,Teesside,102,79,68,62.4,85,83,5.5,17.2,79,90,5.1,119,76
70,Sheffield Hallam,86,85,70,62.3,85,84,5.2,16.9,69,92,6.4,124,72
71,De Montfort,61,94,71,62.2,84,85,3.7,19.4,81,90,5.1,113,75
72,Bradford,52,75,72,61.7,82,81,4.1,16.8,81,90,6.1,130,69
73,Manchester Met,60,76,73,61,83,84,3.6,15.3,69,90,4.1,133,74
74,Sunderland,79,71,74,60.9,86,83,5.7,15.6,69,86,5,119,73
75,University of the Arts London,53,59,75,60.4,77,72,9.9,14.4,56,89,5.6,136,74
76,Central Lancashire,87,67,76,59.8,84,82,5,16.4,70,88,5.7,129,72
77,Goldsmiths,46,64,76,59.8,87,82,4.4,14.7,55,88,6.9,130,68
78,London South Bank,107,92,78,59.5,84,82,4.2,16.5,82,86,5.4,107,71
79,Robert Gordon,44,62,78,59.5,84,85,3.3,20.6,78,92,4.7,157,71
80,"St Mary's, Twickenham",106,105,80,59.4,86,85,4,15.7,71,89,5.6,119,70
81,Solent,100,103,81,59.3,83,82,3.5,15.7,65,88,5.6,116,72
82,Westminster,112,108,81,59.3,79,79,4.8,17,68,91,6.4,123,68
83,Queen Mary,34,44,83,59.1,84,83,6.4,13.1,73,94,4.6,148,67
84,Queen Margaret,101,100,84,58.9,84,81,2.6,18.5,77,87,6.2,149,68
85,Leeds Trinity,88,111,85,58.7,86,84,3.7,19.5,68,89,7,100,76
86,Bolton,93,86,85,58.7,84,83,4.7,14.7,65,82,3.8,112,76
87,Trinity Saint David,0,112,85,58.7,86,83,3,15,54,87,5,112,78
88,East London,115,107,88,58.2,85,83,4.1,17,61,89,5.3,111,74
89,Salford,83,99,88,58.2,84,83,3.4,15,70,87,4.8,128,76
90,Hertfordshire,94,102,90,58,84,82,4.1,17.9,79,91,4.4,119,70
91,Worcester,95,88,91,57.6,86,84,3.5,16.7,67,90,5.1,119,74
92,Winchester,63,90,92,57.4,87,86,2.6,16.3,63,92,6.2,112,72
93,Ulster,79,96,93,57.2,84,85,3.1,17.1,68,91,5.5,127,74
94,Chester,65,77,94,57.1,87,85,4.4,15.3,70,89,4.2,114,75
95,City,18,32,95,56.7,83,83,7.1,17.9,68,88,4.7,142,70
96,Glasgow Caledonian,99,89,96,56.1,82,81,3.5,19.2,70,90,5,163,66
97,Glynd?r,119,121,97,56,85,81,1.8,19.2,64,84,4.4,104,75
98,Birmingham City,105,101,97,56,85,83,6.1,18.1,71,88,4.6,128,74
99,Cardiff Met,91,87,99,55.8,82,82,4.9,16.5,63,87,5.6,125,69
100,Greenwich,98,95,100,54.7,81,80,3.8,17.9,66,89,6.4,131,71
101,Newman,110,110,101,54.6,86,83,3.8,16,63,89,3.7,118,70
102,Suffolk,97,115,102,54.3,81,78,6,17.6,66,84,3.7,118,72
103,Bath Spa,66,97,103,53.8,86,82,4.8,19.9,64,92,5.6,122,75
