Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Bath,100.0,86,94,98,9,17.5,88,6,185,82
2,Loughborough,99.3,89,95,96,7,19.0,95,8,164,75
3,Leeds,97.9,93,95,98,9,20.4,87,6,178,80
4,Strathclyde,96.3,92,95,95,7,25.0,87,8,211,83
5,Buckingham,93.1,95,97,,6,11.2,,5,,82
6,Exeter,91.5,86,95,96,4,21.2,93,5,177,80
7,London South Bank,90.1,90,90,93,4,18.0,71,10,90,73
8,Nottingham Trent,89.3,92,98,91,4,17.7,79,7,134,85
9,Warwick,88.7,79,81,96,10,16.9,88,6,176,62
10,UCL,87.6,79,87,,10,19.1,,7,211,71
11,Lancaster,87.4,87,92,91,9,17.7,87,3,149,84
12,Nottingham,87.3,85,90,97,7,16.5,85,4,161,68
13,UEA,86.9,81,94,95,3,18.3,73,9,145,77
14,Manchester,86.1,78,84,95,10,14.7,77,5,169,69
15,Aberystwyth,86.0,89,89,94,3,17.0,74,5,121,87
16,Heriot-Watt,85.8,81,84,94,10,26.3,85,9,161,79
16,Liverpool John Moores,85.8,94,96,88,3,21.9,84,4,140,92
18,Portsmouth,85.4,86,90,92,6,16.1,84,7,116,80
19,London School of Economics,85.2,66,69,,10,14.7,95,4,200,57
19,Queen's Belfast,85.2,86,90,96,4,20.5,95,6,162,74
21,Stirling,84.7,86,92,94,3,16.8,70,5,155,83
22,Coventry,84.6,88,87,93,6,17.7,71,8,117,77
23,Durham,84.0,81,86,93,7,23.4,93,8,166,76
23,Edinburgh,84.0,79,78,98,10,19.0,74,8,175,56
25,Reading,83.7,79,80,94,,18.9,91,7,147,73
26,East London,83.3,75,85,91,4,19.9,57,10,97,84
27,Surrey,82.7,86,88,94,5,19.5,68,7,170,71
28,Birmingham,82.6,82,89,91,9,19.2,91,6,160,69
29,Glasgow,82.4,81,84,97,7,23.0,90,7,216,55
29,Sheffield,82.4,82,82,,7,16.6,88,4,147,74
31,Bolton,82.3,84,96,,4,11.9,,,93,78
32,Bradford,82.0,84,87,92,7,17.1,67,3,133,76
