Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Leeds,100.0,85,83,98,6,14.9,96,9,164,76
2,Nottingham,91.8,86,83,96,7,11.3,79,8,145,72
3,Nottingham Trent,90.9,94,96,89,4,14.7,67,7,169,92
4,Bangor,87.2,93,93,95,3,14.9,74,6,137,86
5,Reading,82.0,82,90,94,10,13.2,80,8,138,63
6,Cardiff Met,81.5,79,79,,8,8.0,78,8,104,67
7,Newcastle,78.7,74,76,96,9,10.2,80,5,145,61
8,Queen's Belfast,77.3,85,85,94,4,14.8,81,8,146,59
9,Aberystwyth,75.8,88,83,94,9,15.7,70,3,135,76
9,Manchester Met,75.8,94,90,89,3,12.0,73,3,122,80
11,Harper Adams,74.0,92,93,94,4,16.1,79,5,129,72
12,Sheffield Hallam,71.9,88,89,93,3,17.3,71,7,122,78
13,Abertay Dundee,65.1,72,68,,3,15.4,76,8,148,65
14,Writtle UC,54.9,76,63,86,7,7.4,42,4,125,65
15,Royal Agricultural University,53.8,84,86,95,4,21.1,53,4,123,67
16,Cumbria,49.8,78,67,85,3,,,2,116,69
17,SRUC,36.7,76,77,92,5,13.4,45,1,130,49
