Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Liverpool,100.0,97,100,99,9,8.8,76,7,148,84
2,Cardiff,86.6,94,97,,7,11.3,,8,154,78
3,Edinburgh,85.5,86,78,,10,9.0,,6,176,51
4,King's College London,83.7,89,91,97,,6.9,85,5,166,61
5,Aberdeen,83.5,95,96,,6,17.4,64,7,195,73
6,Manchester,83.1,89,93,96,7,9.0,71,6,163,65
7,Bristol,82.7,96,91,99,6,13.5,70,4,169,78
8,Glasgow,79.5,93,90,95,8,17.8,86,7,199,67
9,Leeds,77.6,93,93,97,4,13.5,86,6,165,73
10,Leicester,76.3,85,87,96,9,12.5,81,4,147,67
11,Birmingham,75.7,94,95,98,,,82,6,167,76
12,Glasgow Caledonian,75.6,96,96,,3,14.8,100,6,143,88
13,East London,75.5,94,94,,3,12.6,75,9,112,85
14,Sussex,72.5,97,99,96,8,19.0,82,6,144,85
15,Loughborough,70.6,95,95,,4,16.3,66,6,150,74
16,Portsmouth,70.4,95,89,,3,15.1,,9,125,81
17,Central Lancashire,70.0,91,92,,3,17.3,,7,,77
18,Keele,66.8,93,92,,4,16.5,,4,129,74
19,Plymouth,63.3,90,88,93,5,17.6,78,1,140,78
20,Oxford Brookes,61.7,86,83,,7,15.2,,,121,60
21,Anglia Ruskin,56.5,87,83,,4,16.8,,8,109,76
22,Ulster,55.9,81,79,,3,12.5,96,4,121,67
23,Bangor,55.7,83,76,95,3,16.5,77,8,130,61
24,Queen's Belfast,52.7,89,85,96,3,22.7,85,4,157,68
25,St George's,50.5,83,73,,7,15.8,,1,134,54
26,"St Mary's, Twickenham",35.6,77,67,90,2,18.7,89,1,139,40 
