Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Oxford,100.0,95,89,,10,8.1,,4,211,67
2,London School of Economics,99.3,96,97,91,8,7.0,,6,196,60
3,UCL,97.3,95,98,93,8,7.9,,6,175,74
4,Brunel,96.2,97,98,,3,11.3,,,129,86
5,Manchester,92.6,94,95,96,9,14.6,85,4,158,76
6,St Andrews,90.9,98,97,,4,16.9,,5,199,88
7,SOAS,90.1,99,99,84,9,12.6,,9,168,70
8,Roehampton,84.3,96,101,,3,10.5,,,102,84
9,Aberdeen,82.7,97,99,,3,15.5,,,182,79
10,Bristol,80.2,94,89,,7,13.9,,,149,78
11,Edinburgh,70.7,91,89,97,4,15.5,71,7,161,68
12,Queen's Belfast,70.2,88,86,,6,11.4,,7,152,75
13,Goldsmiths,68.3,94,98,86,3,17.4,54,10,129,74
14,Exeter,68.1,96,92,,3,18.7,,6,166,74
15,Sussex,65.0,88,90,96,3,18.1,84,2,146,83
16,Kent,55.9,90,86,94,5,13.4,73,3,137,65
17,Durham,51.5,85,85,98,5,15.9,74,3,175,60
18,Bournemouth,50.0,93,80,,7,15.9,,,108,78
19,Oxford Brookes,48.1,89,90,93,5,14.9,45,4,125,78
20,Trinity Saint David,37.5,87,82,,3,15.8,,,90,77
