Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Sheffield,100.0,98,97,97,5,16.7,100,5,171,92
2,Cambridge,99.2,90,90,,10,12.5,,8,223,61
3,Bath,94.7,97,97,97,6,20.2,96,8,207,86
4,UCL,88.1,86,76,97,10,10.8,95,7,191,62
5,Nottingham,84.7,93,93,97,9,13.3,88,8,174,72
6,Manchester School of Architecture,83.8,87,85,96,5,12.7,94,6,166,72
7,Lincoln,81.8,88,89,98,4,12.0,81,8,126,78
8,Strathclyde,81.1,88,79,94,3,21.3,97,10,207,73
9,Coventry,76.4,93,83,94,7,10.9,,3,144,75
10,UWE Bristol,75.3,98,98,87,5,17.5,87,5,142,92
11,University for the Creative Arts,74.0,100,96,,8,12.2,71,5,136,81
12,Oxford Brookes,72.2,93,93,95,5,15.0,84,7,144,77
13,Cardiff,71.9,95,91,95,8,17.9,,6,185,70
14,Cardiff Met,71.6,94,94,,8,14.4,,4,101,91
15,Northumbria,70.8,93,92,98,3,17.0,75,5,171,80
16,Westminster,70.5,94,95,89,5,15.4,76,5,138,87
17,East London,69.5,88,83,80,4,13.4,,10,110,77
18,University of the Arts London,69.2,86,87,,10,,,2,149,75
19,Dundee,69.0,89,90,92,5,13.8,,7,169,74
20,Huddersfield,67.5,88,88,87,4,,81,9,122,77
21,Queen's Belfast,66.8,85,84,94,6,19.8,93,8,153,77
22,Kingston,66.0,91,89,93,7,16.2,78,7,132,69
23,Newcastle,65.8,88,84,95,6,14.1,91,4,177,57
24,Solent,65.4,93,95,,4,15.8,,5,,82
25,Plymouth,63.6,89,90,94,4,20.0,87,7,122,72
26,Kent,62.5,87,90,96,6,18.7,90,4,162,67
27,Norwich University of the Arts,60.5,80,74,,3,9.3,,,118,73
28,Nottingham Trent,57.3,93,90,85,5,15.9,83,4,138,81
29,Liverpool John Moores,57.0,87,86,91,3,17.3,86,7,137,67
30,Central Lancashire,56.9,92,85,,5,14.2,,3,118,73
31,Liverpool,56.8,83,88,96,6,16.6,83,6,145,68
32,Portsmouth,56.6,86,95,91,7,16.1,88,3,110,73
33,Salford,56.4,83,88,85,3,16.1,,7,121,70
34,Greenwich,52.9,87,82,88,5,15.2,,3,133,75
35,Edinburgh,51.6,91,81,95,5,20.1,84,5,181,52
36,Derby,51.5,88,94,,4,21.0,,7,116,80
37,London Met,51.1,91,87,85,2,16.9,68,8,,73
38,Leeds Beckett,50.2,90,87,84,4,15.7,77,3,117,82
39,Birmingham City,49.2,90,88,89,5,17.0,78,4,119,73
40,Anglia Ruskin,45.7,87,78,,7,15.2,,3,97,75
40,Robert Gordon,45.7,85,85,87,3,21.9,77,7,161,73
42,Sheffield Hallam,45.0,88,86,91,4,16.2,65,8,118,55
43,Wolverhampton,43.0,84,68,,5,19.8,,,107,79
44,Arts University Bournemouth,41.3,88,87,91,4,22.8,84,2,135,77
45,Brighton,39.8,91,86,90,3,16.6,77,2,115,71
46,Glasgow School of Art,38.7,78,67,91,5,16.2,93,1,169,47
47,De Montfort,35.2,81,70,84,5,19.1,87,2,121,69
48,Ulster,33.3,82,70,93,2,20.4,87,3,122,49
49,London South Bank,31.4,84,81,78,4,19.9,,7,102,70
