Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,UCL,100.0,96,96,,10,9.8,,10,176,90
2,Newcastle,78.0,89,90,94,8,10.8,70,7,176,82
3,Goldsmiths,70.2,86,84,95,6,13.2,53,9,191,60
4,London Met,69.9,95,92,,2,19.7,65,6,,94
5,Arts University Bournemouth,69.2,86,76,98,5,15.2,80,8,160,76
6,Aberystwyth,68.2,95,95,,4,15.4,75,6,112,94
7,Southampton,68.1,85,87,98,6,18.0,71,7,170,86
8,Ulster,67.0,89,82,97,2,18.4,63,8,156,82
9,Kingston,66.7,87,85,97,9,16.6,44,8,177,90
10,Lancaster,65.8,83,89,92,8,15.3,65,8,163,78
11,Derby,65.6,97,92,,6,13.4,,6,133,92
12,Teesside,65.5,95,96,,6,16.0,,8,109,92
13,Leeds,65.1,90,91,97,7,17.0,,6,179,83
14,Robert Gordon,64.2,92,94,94,3,19.0,76,3,160,88
15,UWE Bristol,64.0,91,91,95,7,23.5,61,8,156,91
16,Lincoln,63.5,88,84,94,4,14.9,76,6,134,76
17,Oxford Brookes,61.3,91,82,90,7,14.6,50,8,173,79
18,De Montfort,60.5,85,88,90,6,15.7,70,6,124,86
19,Brighton,59.5,92,83,91,5,17.3,55,8,137,86
20,Trinity Saint David,58.1,85,80,90,3,12.8,63,7,132,80
21,University of the Arts London,58.0,78,74,93,10,14.3,47,9,157,74
22,Liverpool John Moores,57.7,83,72,89,4,13.0,61,9,138,69
23,Sunderland,54.1,84,78,88,6,11.5,,7,,79
24,Chester,53.6,75,71,,6,11.5,,8,123,76
24,Manchester Met,53.6,81,82,94,3,13.9,62,4,176,73
26,Dundee,53.0,87,81,92,8,14.6,51,4,177,73
27,Wolverhampton,51.9,86,86,92,8,15.7,62,6,107,66
28,Edinburgh,51.6,77,80,98,10,15.6,44,8,167,64
28,Plymouth,51.6,81,75,97,6,15.8,,6,133,71
30,Glynd?r,51.4,88,85,,2,18.1,52,9,,82
30,Staffordshire,51.4,91,89,,8,17.1,,2,,82
32,Nottingham Trent,51.2,86,90,89,5,11.5,48,2,180,77
33,Central Lancashire,50.0,83,83,88,4,13.8,,8,133,76
33,Kent,50.0,87,79,,8,20.1,,4,130,79
35,Bolton,49.4,87,90,84,,10.4,59,1,119,82
36,Norwich University of the Arts,49.2,83,80,94,2,17.1,55,5,155,79
36,York St John,49.2,87,76,,3,15.4,,4,133,82
38,Huddersfield,49.0,91,90,,4,20.1,,7,124,86
39,Glasgow School of Art,48.0,76,70,99,6,16.2,54,6,165,63
40,Cardiff Met,47.8,92,83,88,8,14.4,40,5,120,83
41,Anglia Ruskin,47.6,87,92,,6,18.9,,,118,79
41,University for the Creative Arts,47.6,81,81,86,9,12.1,50,4,159,70
41,Leeds Arts,47.6,80,78,95,3,13.0,44,4,160,73
44,Bath Spa,47.5,90,80,90,5,17.3,,4,135,82
45,Reading,47.2,83,75,94,6,15.5,,6,129,71
46,Falmouth,46.8,83,83,93,3,20.1,63,6,134,78
47,Solent,46.7,77,68,,3,14.0,,6,135,80
48,Middlesex,46.5,75,76,,7,15.4,,7,123,76
49,East London,46.3,79,77,,4,16.2,52,9,109,71
50,Chichester,46.0,86,86,,3,19.5,,3,122,86
51,Salford,45.9,83,83,86,4,16.8,,5,141,81
52,Plymouth College of Art,45.8,86,86,87,2,12.6,60,1,120,83
53,Northampton,45.5,86,81,83,7,16.8,43,7,130,78
54,Loughborough,45.4,78,71,93,7,14.3,47,3,189,64
55,Suffolk,44.6,80,80,,10,16.6,,2,131,85
56,Northumbria,44.2,80,79,86,5,14.7,53,3,173,78
56,Worcester,44.2,84,84,,2,14.0,,3,113,76
58,Liverpool Hope,43.8,87,86,,2,13.8,,2,144,74
59,Birmingham City,42.5,80,82,92,6,20.6,62,3,138,78
60,Cumbria,42.2,78,75,,3,19.1,,2,167,75
61,Canterbury Christ Church,40.5,87,80,,5,26.4,,10,,82
62,Coventry,39.5,70,67,,6,17.0,,4,146,73
63,South Wales,37.2,86,90,,2,17.5,,2,,73
64,Leeds Beckett,37.0,83,83,84,4,17.6,63,2,121,79
65,Gloucestershire,35.1,76,72,,5,19.9,,4,124,64
66,Sheffield Hallam,30.5,74,63,86,6,17.2,53,4,119,68
67,Hertfordshire,26.6,80,69,,7,21.2,,5,108,70
