Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,St Andrews,100.0,97,97,97,9,8.9,72,8,204,80
2,Cambridge,99.1,93,93,99,10,12.0,83,4,242,78
2,Oxford,99.1,90,86,98,10,11.7,85,8,217,69
4,Warwick,93.1,91,87,96,10,10.0,84,7,160,78
5,Ulster,90.3,93,92,95,5,9.8,71,10,130,82
6,Dundee,88.5,94,92,94,9,12.2,88,5,185,69
6,York,88.5,92,90,97,10,13.7,81,4,177,79
8,Durham,87.9,89,94,97,5,15.8,80,7,204,71
9,Portsmouth,87.2,93,93,95,7,12.4,82,8,111,79
10,Surrey,86.6,94,90,98,7,14.6,76,7,158,78
11,Bristol,86.5,95,97,97,8,14.9,75,7,178,69
12,Staffordshire,86.3,95,93,,7,10.5,80,4,101,83
13,Imperial College,86.0,85,82,96,8,14.1,88,7,208,64
14,Exeter,85.2,92,89,97,4,15.4,81,7,176,76
15,Birmingham,84.8,91,90,97,8,14.7,81,7,161,77
16,Lancaster,84.1,93,96,94,7,12.1,84,3,159,76
17,Nottingham Trent,84.0,89,94,92,4,13.0,87,7,142,81
18,Teesside,81.8,91,91,94,4,18.6,80,,121,74
19,Lincoln,81.7,94,94,94,4,16.2,69,8,137,76
20,Brunel,81.6,97,95,93,3,19.6,72,9,136,82
21,Southampton,81.1,94,97,99,4,17.4,79,5,153,78
22,King's College London,80.9,92,92,93,7,11.8,80,6,171,70
23,Essex,80.7,90,89,95,4,17.9,79,9,110,85
24,Manchester,80.6,91,88,97,9,13.6,74,5,167,73
24,Royal Veterinary College,80.6,94,91,96,8,10.9,79,3,142,68
26,UCL,80.5,90,88,99,9,15.3,70,8,190,63
27,Bath,80.1,90,87,97,5,15.8,78,8,182,61
28,Gloucestershire,80.0,88,93,97,4,14.6,72,8,115,74
28,Swansea,80.0,94,95,95,4,14.0,75,5,137,74
30,Edinburgh,79.9,86,84,92,10,9.0,72,5,177,61
30,Leicester,79.9,93,92,95,9,12.4,73,5,139,73
32,Nottingham,79.5,91,87,96,7,15.7,74,8,157,71
33,Leeds,79.4,91,92,95,9,13.1,76,6,162,69
34,Worcester,79.2,91,88,94,3,17.3,68,9,108,81
35,Glasgow,79.1,93,91,94,9,17.8,71,6,201,69
35,Newcastle,79.1,91,89,98,6,15.7,75,5,160,73
37,Sussex,78.8,94,92,94,9,19.0,84,6,149,66
38,Aberystwyth,78.2,94,96,94,8,15.8,72,4,124,82
39,Aston,77.7,95,90,93,6,17.3,79,8,138,70
39,Liverpool Hope,77.7,96,96,,2,10.4,,1,118,89
41,Abertay Dundee,77.3,91,97,,3,17.1,71,7,138,78
42,UEA,76.9,84,92,95,4,13.0,79,9,142,57
43,Liverpool,76.6,90,87,97,8,15.8,76,6,143,73
44,Kent,76.3,90,91,97,5,21.0,93,3,136,72
