Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Oxford,100.0,,,,10,9.6,94,7,232,
2,St Andrews,91.0,94,90,,4,16.1,,9,212,82
3,Warwick,84.6,82,86,98,10,16.9,90,8,188,64
4,Bath,84.2,85,94,99,9,17.5,77,8,187,74
5,Loughborough,83.3,90,94,98,7,19.0,90,8,164,70
6,Buckingham,82.1,92,95,,5,11.2,,5,112,86
7,Goldsmiths,80.3,83,89,,4,15.2,,,131,83
8,Lancaster,79.2,86,91,90,8,17.7,91,6,152,77
9,Durham,78.1,75,83,99,7,23.4,92,8,177,72
10,Derby,77.8,89,89,89,6,14.6,70,8,115,82
11,SOAS,77.0,81,83,,10,11.7,,6,145,71
12,Leeds,76.1,83,82,96,9,20.4,89,8,167,70
13,York,75.9,85,92,92,4,16.3,82,4,148,80
14,Falmouth,75.8,85,74,93,7,15.8,86,8,106,72
15,UEA,74.3,87,96,94,3,18.3,76,7,149,74
16,Manchester,74.2,78,81,94,10,14.7,80,5,163,66
17,Dundee,74.1,88,88,83,7,19.6,,9,166,76
18,Coventry,73.8,86,86,92,5,17.7,81,7,125,75
18,Nottingham Trent,73.8,84,87,91,4,17.7,87,6,140,78
20,London School of Economics,73.7,79,74,,9,14.7,,5,192,65
20,Strathclyde,73.7,90,92,94,6,25.0,71,8,207,72
22,Exeter,73.2,81,88,95,4,21.2,86,8,174,64
23,UCL,72.9,76,72,94,10,19.1,,8,191,66
24,King's College London,71.6,78,78,90,5,20.1,88,8,186,65
25,SRUC,70.9,83,90,,2,13.4,,,139,75
26,Stirling,70.3,87,87,90,3,16.8,75,8,163,68
27,Nottingham,70.1,78,83,97,7,16.5,82,6,157,60
28,Portsmouth,69.9,82,88,91,6,16.1,83,6,118,69
29,Birmingham,69.2,78,79,94,9,19.2,88,7,162,56
30,Oxford Brookes,69.1,78,83,97,4,19.7,83,8,129,64
31,Sussex,68.6,79,82,97,9,17.5,86,2,150,65
32,Sheffield,68.2,80,82,94,7,16.6,88,4,143,67
32,Surrey,68.2,73,80,92,5,19.5,73,8,165,68
34,Reading,67.9,75,75,95,,18.9,86,8,144,65
35,Leicester,67.4,81,85,95,7,17.1,74,4,129,69
36,Aston,67.3,89,92,95,5,29.7,76,7,143,74
36,Edinburgh,67.3,80,83,97,10,19.0,68,7,166,56
38,Kent,67.0,81,86,91,4,24.8,89,7,142,69
39,Edge Hill,66.5,83,87,89,4,17.9,64,8,127,78
39,Southampton,66.5,70,71,91,5,15.5,81,8,151,69
41,Swansea,66.4,81,89,92,5,24.2,77,8,136,72
42,Cardiff,66.3,78,86,95,6,16.4,67,6,154,70
42,Newcastle,66.3,70,78,96,6,20.4,86,6,157,66
42,"St Mary's, Twickenham",66.3,85,87,85,3,20.8,,7,111,78
45,Gloucestershire,65.8,83,87,94,5,22.5,70,9,121,70
46,Heriot-Watt,65.7,84,87,90,10,26.3,70,8,156,69
47,Liverpool John Moores,65.6,81,84,88,3,21.9,70,6,142,79
48,Hull,65.0,80,85,91,6,21.7,78,6,122,75
49,Queen's Belfast,64.6,78,84,96,4,20.5,66,6,148,75
50,Aberdeen,64.4,78,89,,5,22.7,,5,178,71
51,De Montfort,64.2,80,85,93,3,31.2,83,8,109,73
52,Glasgow,63.9,76,80,91,7,23.0,81,8,192,53
53,Liverpool,63.8,81,82,94,5,23.4,74,5,150,74
54,Huddersfield,63.6,75,79,91,4,19.8,72,7,132,72
55,Bournemouth,63.3,79,82,90,4,19.2,72,9,124,68
55,UWE Bristol,63.3,80,85,92,4,20.9,75,7,118,65
57,Liverpool Hope,62.9,89,89,85,3,16.4,61,3,107,79
57,Winchester,62.9,83,81,90,3,18.4,66,9,105,73
59,Bradford,62.6,81,83,84,6,17.1,67,7,128,68
60,Cumbria,62.3,91,91,,9,10.7,,1,95,75
61,Robert Gordon,62.2,86,87,93,3,24.9,68,5,166,71
61,Trinity Saint David,62.2,91,87,85,4,18.6,53,4,105,89
63,Lincoln,62.1,80,85,95,4,21.6,83,2,125,69
63,Sheffield Hallam,62.1,81,81,93,5,18.7,72,8,117,66
65,Aberystwyth,61.7,83,78,91,3,17.0,70,2,117,82
66,Sunderland,61.6,85,86,92,9,20.2,63,2,115,80
67,Leeds Trinity,61.5,93,93,88,3,31.7,67,10,92,74
68,Abertay Dundee,61.0,81,86,92,2,18.0,69,3,135,74
68,Plymouth,61.0,77,83,93,6,19.5,64,8,112,70
70,Queen Mary,60.7,77,80,90,5,17.6,68,5,146,63
71,Staffordshire,60.6,82,78,80,7,13.9,68,3,112,75
72,Northumbria,60.3,81,86,91,4,21.5,72,5,141,65
73,City,60.2,73,75,85,10,22.6,,9,163,54
74,Edinburgh Napier,59.8,81,78,92,4,25.8,69,8,155,70
75,Royal Holloway,59.7,78,84,91,6,17.7,69,4,148,55
76,Bristol,59.6,67,66,,5,17.9,,5,176,55
77,Hertfordshire,59.2,77,80,91,4,19.3,68,5,125,64
78,University of the Arts London,59.1,75,73,92,10,18.5,62,4,121,72
79,Keele,59.0,83,86,93,4,19.9,71,2,118,70
80,East London,58.7,80,83,88,4,19.9,54,7,102,72
80,Harper Adams,58.7,73,80,,7,16.1,,1,126,73
82,Chichester,58.0,77,78,91,3,15.8,65,4,129,64
82,London South Bank,58.0,83,88,77,4,18.0,74,6,101,64
84,Royal Agricultural University,57.5,77,82,98,6,20.9,65,6,102,66
85,Brighton,57.2,80,80,90,3,22.6,63,7,113,70
85,Essex,57.2,77,81,93,6,17.1,73,3,112,63
87,Manchester Met,56.9,74,74,92,4,20.6,71,5,128,63
88,Teesside,56.7,68,73,89,6,17.9,73,4,112,76
89,Westminster,55.7,69,72,91,4,22.7,67,7,130,58
90,Chester,55.6,78,80,88,4,18.5,67,4,107,69
90,Solent,55.6,75,75,88,3,25.0,74,7,107,63
92,Queen Margaret,55.3,79,70,,3,21.4,68,6,142,63
93,Central Lancashire,54.9,79,76,86,4,21.0,68,4,128,68
94,Greenwich,54.8,74,75,86,3,21.0,51,8,130,69
95,Anglia Ruskin,54.6,87,88,73,7,21.4,64,4,93,83
96,Glasgow Caledonian,54.3,79,77,90,4,23.7,53,7,178,62
96,Worcester,54.3,73,77,89,2,18.9,60,7,113,61
98,Ulster,53.2,83,86,82,3,27.9,61,7,124,78
99,Bolton,52.5,77,92,82,4,11.9,61,2,95,70
100,Suffolk,52.4,70,73,78,7,16.8,58,6,107,74
101,Northampton,52.3,75,72,89,4,21.1,56,6,102,66
102,Bath Spa,52.1,83,82,91,4,27.4,71,2,111,74
103,Birmingham City,52.0,84,87,87,5,28.9,62,5,121,70
104,York St John,51.0,82,82,90,3,19.5,51,2,101,76
105,West London,50.9,85,79,75,4,23.9,68,4,111,70
106,Highlands & Islands,50.3,77,64,,7,,,6,129,58
107,Brunel,50.0,72,80,95,7,29.3,67,3,132,67
108,London Met,49.6,81,73,80,4,22.2,64,4,94,71
109,Middlesex,49.4,76,78,81,5,18.8,52,3,115,69
110,Salford,49.1,73,76,86,3,23.0,64,5,117,62
111,Roehampton,48.5,69,74,82,9,15.2,58,3,102,60
112,Canterbury Christ Church,48.1,80,80,83,4,22.0,50,5,102,73
113,Bangor,47.4,78,84,87,3,24.0,,1,124,63
114,Cardiff Met,46.8,78,82,87,4,19.5,61,1,117,65
115,Bedfordshire,46.2,81,78,78,5,26.5,55,6,81,70
116,South Wales,46.0,70,60,86,3,17.7,58,3,132,63
117,Leeds Beckett,44.0,77,76,85,3,25.9,62,4,109,65
118,West of Scotland,43.9,76,79,80,4,36.3,55,8,142,74
119,Glynd?r,42.6,77,86,,2,22.0,69,1,94,71
120,Birkbeck,41.6,84,85,76,3,20.3,63,1,96,58
121,Newman,40.9,55,73,,4,11.0,,,104,35
122,Wolverhampton,39.9,79,81,81,4,24.5,51,1,94,67
123,Bucks New University,31.1,66,57,81,5,19.9,47,1,113,59
