Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Oxford,100.0,87,80,100,10,16.7,94,9,228,65
2,Liverpool,94.4,89,92,96,10,11.1,87,8,144,75
3,York,93.5,96,95,98,8,15.3,86,6,177,80
4,Loughborough,93.1,97,98,97,4,14.7,81,8,150,85
5,Sussex,90.1,94,95,99,5,11.6,,4,145,73
6,Durham,88.4,90,97,97,5,14.6,84,5,216,75
7,Surrey,87.7,96,99,93,5,12.8,,8,162,79
8,Manchester,85.8,91,90,96,9,13.8,80,7,170,77
9,Leeds,83.1,92,92,98,5,12.4,82,7,160,72
10,Nottingham,82.8,92,92,98,8,17.3,82,9,154,77
11,Lancaster,81.7,95,96,,10,,,3,147,89
12,King's College London,80.2,85,77,97,8,12.1,,4,160,70
13,UEA,80.0,88,91,92,6,10.4,79,7,149,78
14,Central Lancashire,79.6,89,94,92,4,11.6,75,10,124,65
15,Bristol,79.3,90,88,97,8,13.9,81,7,185,66
16,Nottingham Trent,79.1,99,100,90,3,13.5,,7,128,81
17,Bath,78.8,93,94,96,7,14.2,84,5,171,60
18,Bradford,78.2,81,85,93,3,15.1,92,9,109,71
19,Birmingham,78.1,92,98,98,8,18.7,84,5,162,79
20,Warwick,77.7,93,88,96,9,18.1,82,4,173,79
21,Reading,74.7,84,89,95,3,13.6,82,9,127,71
22,Southampton,74.0,94,93,94,5,11.0,72,4,153,78
23,Heriot-Watt,73.4,93,84,94,7,13.1,78,3,172,75
24,St Andrews,72.9,81,85,95,6,11.7,87,3,206,62
25,UCL,72.8,82,80,96,8,15.4,81,8,188,65
26,Bangor,71.0,87,88,92,3,11.3,,7,129,75
27,Keele,70.4,89,92,94,3,14.0,,,121,83
28,Greenwich,69.3,77,75,92,4,10.5,74,8,126,69
29,Leicester,68.9,92,95,91,6,16.1,78,5,128,87
30,Newcastle,68.4,88,91,98,4,16.0,78,6,150,63
31,Brighton,67.2,87,86,93,3,14.7,86,6,101,64
32,Sheffield Hallam,67.0,83,80,94,4,13.2,78,3,112,82
33,Kent,66.9,86,88,97,3,,76,3,130,77
34,Edinburgh,65.4,86,89,92,8,18.4,77,8,180,68
35,South Wales,65.3,94,92,90,2,15.9,,3,122,72
36,Huddersfield,65.0,88,93,93,3,17.7,86,4,110,79
37,Imperial College,64.8,82,81,89,7,16.2,89,5,204,55
38,Plymouth,64.0,92,84,93,3,13.5,79,4,119,65
39,Manchester Met,63.3,83,81,87,3,10.5,79,6,135,75
40,Aberdeen,63.0,92,91,,4,16.4,,2,163,66
41,Sheffield,62.6,91,92,96,4,16.7,73,4,151,75
42,Kingston,61.8,86,91,93,3,14.8,70,7,109,76
43,Queen's Belfast,61.3,81,83,95,5,15.9,85,7,151,49
44,Aston,60.5,98,86,,5,19.0,,2,126,79
45,West of Scotland,59.4,94,87,,3,15.4,,,124,62
46,Glasgow,58.6,83,84,95,5,16.4,77,3,201,65
47,Northumbria,55.5,89,87,93,2,16.6,,3,128,73
48,Hull,54.6,87,88,95,4,18.6,77,5,110,70
49,Queen Mary,50.9,81,78,97,4,17.8,69,8,132,53
50,Strathclyde,50.7,80,76,,3,17.9,77,6,191,56
51,Cardiff,50.2,85,90,96,10,20.7,75,3,141,65
52,De Montfort,48.0,84,86,91,4,18.3,90,2,98,61
53,London Met,47.3,89,94,,2,23.3,,,102,80
54,Liverpool John Moores,35.5,78,74,85,6,12.9,,1,134,64
