Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,95,92,100,10,10.1,88,8,212,76
2,Oxford,84.9,95,91,98,10,10.8,80,8,206,64
3,Durham,82.6,93,94,100,3,12.6,77,7,199,90
4,St Andrews,81.1,99,98,99,4,12.0,,6,192,87
5,Roehampton,80.7,94,96,,4,11.3,,10,98,93
6,UCL,71.0,87,86,96,7,7.7,75,8,171,67
7,Birmingham,66.0,95,91,98,8,15.6,74,6,154,74
8,Exeter,64.8,90,88,98,3,14.5,79,3,175,84
9,Glasgow,63.7,100,95,,4,16.9,,6,158,79
10,Royal Holloway,59.9,93,95,96,4,15.5,69,8,140,80
11,Warwick,57.4,92,89,95,4,14.2,60,4,158,85
12,Nottingham,55.3,94,93,94,4,16.6,69,7,147,77
13,Leeds,54.9,98,95,95,6,15.4,66,2,154,77
13,Liverpool,54.9,94,88,,7,15.8,,7,134,83
15,Reading,54.0,97,96,94,7,14.0,68,3,133,71
16,Edinburgh,53.6,97,92,95,8,16.4,55,6,177,77
17,Newcastle,52.0,96,91,96,4,14.0,64,4,150,69
18,Bristol,50.6,91,73,98,3,18.4,70,7,177,59
19,Manchester,48.7,88,90,94,6,16.0,68,4,144,74
20,Kent,46.9,88,82,95,4,17.6,82,5,118,69
21,King's College London,43.8,84,82,94,6,11.9,,3,155,71
22,Swansea,43.1,94,91,94,4,15.9,60,1,123,82
23,Trinity Saint David,31.4,95,88,89,2,17.3,46,2,92,89
24,Cardiff,29.8,91,85,91,5,20.7,59,5,132,73
