Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,St Andrews,100.0,90,88,,5,11.2,96,8,214,88
2,Cambridge,97.5,91,88,98,10,9.4,97,5,240,81
3,Oxford,89.8,,,,10,7.2,,4,217,
4,Loughborough,86.8,96,93,94,6,18.1,92,9,156,84
5,Imperial College,85.3,85,85,97,10,15.6,98,8,229,63
6,Warwick,82.9,94,96,92,10,16.2,91,4,197,86
7,Durham,81.1,85,96,99,6,13.6,,4,208,82
8,Southampton,80.2,88,90,93,7,14.3,87,9,172,74
9,Leeds,79.4,89,91,89,7,11.6,97,4,171,77
10,Surrey,78.3,90,86,85,4,17.6,92,,156,89
11,Nottingham,76.2,84,87,94,9,16.4,87,7,161,78
12,Sheffield,75.9,87,84,95,8,17.9,91,9,153,75
13,Liverpool Hope,75.1,90,94,88,2,14.1,,,118,83
14,Manchester,75.0,80,89,93,10,13.0,86,7,173,70
15,Bath,74.4,77,82,92,7,15.7,97,7,176,74
16,Dundee,74.1,85,90,88,6,13.6,81,9,181,60
17,Birmingham,73.3,90,91,93,8,15.0,95,4,175,60
18,Lancaster,72.9,87,85,86,9,10.3,90,4,162,75
19,Stirling,72.8,89,82,92,5,9.9,,,127,68
20,York,72.2,85,83,95,9,11.8,96,2,162,75
21,West London,71.6,92,91,80,7,13.8,84,4,104,87
22,Swansea,71.5,86,94,92,4,22.5,90,7,160,85
22,UCL,71.5,69,68,95,10,13.6,91,9,195,48
24,Glasgow,70.2,85,86,88,7,16.0,81,8,194,57
25,Bristol,69.1,84,78,94,10,16.3,87,6,193,51
26,East London,68.6,91,91,86,3,15.2,54,9,110,82
27,Edinburgh,68.5,77,74,83,10,12.2,90,7,191,53
28,Keele,67.7,85,87,94,7,15.4,85,4,122,72
29,Aberdeen,67.5,64,64,,6,10.0,,9,,73
29,Liverpool,67.5,84,85,89,6,17.9,87,8,139,75
29,UEA,67.5,84,80,88,5,16.5,89,8,147,64
32,Royal Holloway,67.1,88,87,94,8,15.0,91,1,142,81
33,Lincoln,66.2,86,89,92,4,16.5,82,3,134,81
34,Kingston,66.0,78,81,86,9,9.1,61,8,110,73
