Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Surrey,100.0,92,93,98,9,16.3,,9,157,79
2,Sheffield,97.4,91,89,,8,13.1,,6,147,78
3,Swansea,95.4,96,96,94,5,24.2,70,8,152,85
4,Portsmouth,88.5,94,95,93,6,22.0,71,8,126,78
5,Leeds,88.4,89,90,,10,16.2,,7,158,72
6,Gloucestershire,86.0,92,93,91,7,22.8,69,9,119,78
7,Stirling,83.4,90,92,89,5,15.7,,4,174,83
8,Lancaster,83.2,91,85,,,10.3,,4,150,68
9,Nottingham Trent,82.7,87,88,91,6,20.2,73,8,129,80
10,Coventry,81.3,92,90,93,9,24.7,57,7,121,80
11,Durham,78.3,85,85,92,6,17.6,,9,159,60
11,Keele,78.3,91,88,91,4,15.7,57,8,130,69
13,Westminster,77.2,88,90,90,9,21.7,53,9,121,77
14,Sussex,76.0,90,91,,3,23.0,,,140,77
15,Nottingham,75.4,92,88,,7,16.7,,,144,68
16,Queen's Belfast,74.8,88,86,,9,15.4,48,5,143,75
17,Manchester,74.5,89,86,89,8,19.5,67,3,152,72
18,Canterbury Christ Church,74.0,91,92,87,6,19.3,41,9,105,86
18,Manchester Met,74.0,86,87,86,4,14.0,61,8,129,76
20,UWE Bristol,73.3,92,94,94,6,18.9,,5,130,70
21,Glynd?r,72.7,90,93,88,1,24.8,63,4,,72
22,Abertay Dundee,72.2,95,100,,2,21.7,43,2,152,86
23,Plymouth,72.0,89,88,91,3,19.7,61,6,119,74
24,Anglia Ruskin,71.8,86,85,86,8,18.0,48,7,93,80
25,Sheffield Hallam,71.7,87,89,92,6,19.0,56,4,118,78
25,York,71.7,82,84,,9,15.0,,2,157,65
27,Huddersfield,70.9,81,88,,6,18.5,61,7,120,83
28,Leicester,70.8,91,91,89,9,14.8,52,3,127,69
29,East London,70.7,88,86,88,5,18.8,,5,108,72
30,Newman,70.4,89,82,,5,16.8,,,117,68
31,Suffolk,70.2,86,85,,7,18.5,,4,106,75
32,Birmingham City,69.8,89,87,87,6,30.8,60,10,131,67
33,Ulster,69.7,90,89,93,3,22.1,44,6,130,83
34,Liverpool John Moores,69.4,85,88,89,3,18.7,63,4,140,71
35,Teesside,69.3,81,78,90,5,14.9,63,8,105,72
36,Derby,68.9,88,85,86,7,16.2,58,4,113,77
37,Royal Holloway,68.7,84,84,,6,20.4,,5,137,68
38,Essex,68.2,89,87,88,7,15.0,,8,110,62
39,Salford,68.0,88,89,,2,16.1,,3,122,77
40,Lincoln,67.9,87,77,90,5,19.1,68,2,125,77
41,Northumbria,67.7,87,90,91,4,22.8,56,6,139,71
42,Kent,66.0,82,77,93,5,17.4,73,3,125,66
43,City,65.8,87,85,87,8,21.3,,4,138,70
44,Southampton,64.5,88,83,91,4,18.1,51,6,148,64
45,Edinburgh Napier,64.4,91,84,93,7,31.2,,8,165,71
46,Aberystwyth,64.3,85,86,88,4,16.2,,3,109,75
47,Solent,63.2,87,82,91,3,28.9,74,3,109,64
48,De Montfort,62.8,79,76,88,3,25.9,84,5,110,75
49,Middlesex,61.6,84,85,83,7,21.2,,7,116,70
50,Bradford,61.2,85,81,,2,27.7,,9,114,73
51,Greenwich,60.6,77,75,88,4,16.4,54,6,127,72
52,Bath Spa,59.2,93,88,,6,28.8,,,109,85
53,Kingston,57.0,83,85,83,5,22.7,60,7,108,70
54,Hull,55.7,80,77,83,4,14.6,73,4,116,61
55,London South Bank,55.6,78,76,82,7,17.7,66,4,105,65
56,Central Lancashire,54.6,87,82,83,4,25.1,47,7,131,67
57,Roehampton,54.2,79,77,88,9,16.5,57,2,103,61
58,Winchester,52.1,92,85,91,2,24.1,35,10,108,59
59,Brighton,48.6,86,79,88,2,18.8,,1,113,60
60,South Wales,48.4,85,82,83,3,18.4,39,3,129,70
61,Chester,47.2,85,84,88,3,32.1,41,8,103,79
62,Northampton,39.1,89,90,78,5,26.5,48,2,104,71
63,London Met,36.7,86,84,77,2,27.8,63,1,103,67
64,Leeds Beckett,34.2,83,81,89,4,23.2,32,3,107,58
