Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Dundee,100.0,99,99,98,5,6.7,100,3,212,88
2,Aberdeen,94.2,95,86,,7,5.4,,5,,82
3,Plymouth,79.6,95,94,99,10,5.4,97,,186,61
4,King's College London,78.7,96,96,98,7,7.1,98,5,184,79
5,Queen's Belfast,75.8,98,100,100,6,10.3,100,6,195,93
6,Central Lancashire,75.6,92,93,,9,5.8,100,10,129,87
7,Liverpool,72.8,97,99,99,2,7.0,97,7,181,95
8,Glasgow,66.0,95,94,99,2,10.2,99,4,223,87
9,Newcastle,61.8,98,98,97,3,10.1,98,4,184,94
10,Cardiff,61.0,94,94,99,7,8.8,98,4,186,73
11,Sheffield,59.2,99,99,99,3,7.4,96,4,166,95
12,Queen Mary,52.6,90,89,99,5,6.5,96,4,191,70
13,Birmingham,49.0,94,90,100,3,8.0,100,4,187,75
14,Bristol,47.4,91,84,98,7,8.4,98,3,192,74
15,Leeds,36.7,92,87,99,7,7.7,98,8,186,50
16,Manchester,32.5,92,89,100,4,9.4,99,7,185,64
