Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Leeds Arts,100.0,91,96,95,3,13.0,69,6,184,81
2,Kingston,99.8,90,86,96,10,16.6,67,7,184,78
3,Goldsmiths,99.3,90,89,93,7,13.2,74,8,175,63
4,Loughborough,98.3,89,85,96,8,14.3,82,7,185,69
5,Lincoln,89.7,90,87,91,4,14.9,71,6,129,84
6,Arts University Bournemouth,88.3,87,83,95,6,15.2,81,4,170,76
7,Staffordshire,86.3,87,86,91,8,17.1,74,6,126,81
8,Coventry,86.1,85,81,93,7,17.0,79,8,136,79
8,Nottingham Trent,86.1,86,88,91,5,11.5,83,3,152,78
10,Edinburgh,84.2,87,84,,10,15.6,61,6,150,75
11,Trinity Saint David,83.0,90,87,88,3,12.8,61,8,123,85
12,Liverpool Hope,82.8,88,92,,2,13.8,,5,157,93
12,Liverpool John Moores,82.8,84,78,90,4,13.0,68,8,157,77
14,De Montfort,82.3,88,87,89,6,15.7,78,8,111,80
15,Brunel,81.9,89,86,90,9,14.4,77,8,139,70
16,University for the Creative Arts,81.1,83,80,89,10,12.1,71,6,145,77
17,Manchester Met,79.8,86,86,91,3,13.9,75,3,176,75
18,Dundee,78.5,83,85,89,8,14.6,63,9,165,76
19,Kent,78.3,80,76,89,8,20.1,90,10,138,67
20,Leeds,78.0,80,78,97,7,17.0,80,8,165,76
21,Northumbria,77.9,86,85,90,6,14.7,65,8,157,75
22,Portsmouth,77.4,89,84,92,8,17.8,,7,131,77
23,Reading,76.8,86,87,,7,15.5,79,5,145,76
24,Sheffield Hallam,76.4,89,88,94,7,17.2,68,4,136,80
25,Plymouth,75.6,89,88,93,6,15.8,52,8,151,77
26,Suffolk,75.3,93,95,84,10,16.6,,8,103,79
27,Norwich University of the Arts,75.2,86,83,92,3,17.1,71,4,150,83
28,Middlesex,75.1,90,88,83,7,15.4,71,5,114,86
29,Westminster,74.9,81,82,92,7,14.8,72,9,121,75
30,Salford,70.3,88,85,87,5,16.8,59,7,129,86
31,London South Bank,69.9,86,83,,5,16.9,74,,105,72
32,Bournemouth,69.8,88,89,94,2,15.1,80,5,123,67
33,Falmouth,69.6,92,89,92,3,20.1,73,5,130,81
33,Worcester,69.6,92,89,90,2,14.0,53,7,117,86
35,Cardiff Met,68.6,87,87,89,8,14.4,63,5,110,79
36,Huddersfield,67.4,86,83,92,4,20.1,78,5,130,78
37,Glasgow,66.4,86,79,,4,14.2,,,219,50
38,Brighton,65.0,88,85,91,5,17.3,59,5,134,78
39,Derby,64.5,84,80,92,7,13.4,71,2,125,74
40,Robert Gordon,64.4,85,76,93,3,19.0,74,2,157,83
41,Central Lancashire,64.2,83,82,88,4,13.8,60,8,126,78
42,Hertfordshire,63.3,89,82,93,7,21.2,76,3,117,80
43,Gloucestershire,63.2,87,85,94,6,19.9,54,8,123,78
44,York St John,62.3,74,71,95,3,15.4,,6,117,77
45,UWE Bristol,62.2,87,82,88,7,23.5,62,5,157,83
46,Edinburgh Napier,61.7,84,79,94,4,20.4,61,8,168,73
47,Plymouth College of Art,60.8,88,84,82,2,12.6,59,4,125,81
48,Solent,59.7,83,80,90,3,14.0,60,6,117,70
49,Teesside,59.2,76,76,88,6,16.0,74,7,114,74
50,Glasgow School of Art,57.2,80,77,93,6,16.2,83,1,165,67
51,Chester,56.7,79,80,,7,11.5,70,4,122,69
52,Southampton,55.8,84,74,93,6,18.0,65,3,167,72
53,Winchester,54.5,81,80,,1,17.9,,8,109,77
53,Wolverhampton,54.5,87,84,85,8,15.7,57,2,102,81
55,University of the Arts London,54.2,77,75,87,10,14.3,59,4,138,73
56,Sunderland,53.7,83,80,88,6,11.5,64,3,123,67
57,Oxford Brookes,52.2,70,70,,8,14.6,,5,,73
58,Bath Spa,51.3,83,82,87,6,17.3,66,5,127,75
59,East London,50.4,77,74,87,4,16.2,59,6,123,72
60,Bucks New University,50.3,82,73,85,9,,71,3,101,71
61,Anglia Ruskin,50.2,90,87,83,6,18.9,65,2,124,83
62,South Wales,49.6,76,66,91,2,17.5,67,7,131,71
63,Ulster,49.1,80,69,95,2,18.4,58,6,124,74
64,Northampton,48.1,90,81,86,7,16.8,51,3,103,86
65,Canterbury Christ Church,47.0,86,76,,5,26.4,,9,,77
66,Abertay Dundee,46.5,83,82,86,2,26.9,62,10,159,72
67,Leeds Beckett,45.1,85,82,88,4,17.6,58,4,117,78
68,Ravensbourne,44.1,87,85,92,2,31.7,77,2,100,81
69,Glynd?r,42.5,80,77,85,2,18.1,62,3,98,79
70,Greenwich,35.4,79,69,,5,23.5,51,6,134,72
71,Cumbria,34.3,80,70,91,4,19.1,50,,124,76
72,Birmingham City,33.9,83,78,91,6,20.6,55,1,129,73
73,Bedfordshire,33.3,78,78,87,5,17.1,59,2,87,75
73,West London,33.3,82,72,88,7,12.0,49,2,114,70
75,London Met,32.9,88,78,78,2,19.7,71,2,107,73
,,,,,,,,,,,
