Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Royal Welsh College,100.0,98,98,97,,8.0,86,7,138,73
2,Essex,99.0,98,90,95,5,18.3,85,8,143,87
3,Birmingham City,93.4,95,91,92,10,9.2,63,8,134,77
4,Royal Central School of Speech & Drama,93.3,94,87,96,9,8.8,71,7,134,78
5,Royal Conservatoire of Scotland,92.9,88,85,97,6,9.4,88,,142,75
6,Exeter,90.3,95,95,98,2,16.4,75,7,171,78
7,Birmingham,89.3,96,91,95,10,12.9,69,7,169,69
8,Conservatoire for Dance and Drama,89.2,86,80,97,10,8.1,61,9,132,65
9,Warwick,87.4,96,90,97,4,13.9,72,7,162,74
10,Glasgow,86.7,94,96,,4,14.4,,6,204,70
11,Lancaster,86.2,93,97,,10,,,6,154,80
12,Nottingham Trent,85.9,91,86,93,4,11.5,57,3,173,85
13,Guildhall School of Music and Drama,85.0,90,91,95,7,,53,8,144,66
14,Arts University Bournemouth,84.0,94,95,96,5,15.6,71,2,154,85
15,The Liverpool Institute for Performing Arts,83.7,94,95,90,2,15.2,76,7,133,75
16,Surrey,83.6,83,73,96,9,11.1,63,8,170,60
17,Sussex,82.3,94,90,,3,15.4,,5,151,85
18,Coventry,82.1,98,96,92,7,,,9,127,66
19,York,80.8,96,93,95,7,17.9,,6,165,70
20,Central Lancashire,80.2,89,84,91,10,16.3,65,8,132,70
20,Liverpool John Moores,80.2,90,84,92,5,12.5,70,7,138,64
22,Chichester,80.0,95,92,93,4,13.3,56,5,130,79
22,Staffordshire,80.0,92,80,93,3,14.1,75,9,113,64
24,Manchester,79.9,89,88,96,7,14.9,,7,167,72
25,Loughborough,79.4,86,81,,4,11.1,,7,149,75
26,Huddersfield,79.1,89,90,95,7,13.2,52,7,123,81
27,Hull,79.0,95,100,92,6,14.2,64,6,126,70
28,Leeds,78.7,88,84,93,7,13.3,68,7,165,74
28,Queen Mary,78.7,91,86,90,5,11.0,58,6,150,74
30,Kent,78.3,88,82,94,5,15.4,79,6,140,70
31,Trinity Laban Conservatoire,77.1,88,79,90,7,8.9,67,7,133,64
32,Newman,76.2,96,79,,3,13.6,,,117,87
33,Teesside,76.0,94,89,,10,10.6,46,3,116,83
34,Rose Bruford College,75.8,90,87,92,4,16.7,70,6,128,69
35,London Met,75.1,94,83,,2,14.3,,,103,77
35,UEA,75.1,89,92,,3,15.2,,6,173,55
37,East London,74.9,94,88,93,,14.9,62,3,131,75
38,Chester,74.7,87,87,86,3,14.6,58,9,118,83
38,York St John,74.7,93,87,,4,8.8,50,4,127,80
40,Northumbria,74.6,84,77,93,4,,49,7,154,71
41,De Montfort,74.3,90,89,88,5,14.9,75,2,126,76
42,Liverpool Hope,74.0,89,88,86,2,11.6,77,5,124,75
43,Royal Holloway,73.8,85,78,89,6,12.6,70,6,157,64
44,"St Mary's, Twickenham",72.8,93,86,93,4,20.7,44,9,131,80
45,London South Bank,72.3,88,81,90,4,19.1,64,7,109,86
46,Kingston,71.9,88,76,88,8,16.6,41,8,135,84
47,Greenwich,71.8,81,77,90,,,55,8,150,63
48,Plymouth,71.1,86,82,93,7,15.2,44,7,127,79
49,Portsmouth,71.0,96,92,94,5,20.6,,3,128,77
50,Brunel,69.6,82,72,89,5,11.5,59,8,128,63
50,Worcester,69.6,90,92,85,6,11.1,,9,125,58
52,Manchester Met,69.3,90,83,89,4,11.5,59,3,140,64
52,Queen's Belfast,69.3,83,75,,7,13.4,,8,140,55
54,Edge Hill,68.9,89,88,87,4,13.4,52,5,137,75
55,Aberystwyth,68.8,94,93,86,5,15.3,64,2,130,79
55,University of the Arts London,68.8,83,72,90,10,14.3,39,5,151,73
55,Trinity Saint David,68.8,92,87,87,5,14.7,58,4,111,76
58,Middlesex,68.1,89,85,82,8,12.6,63,4,135,65
59,Bristol,67.7,81,72,83,6,12.6,56,6,183,56
60,Lincoln,67.4,87,78,90,4,12.1,56,3,134,69
61,Reading,67.2,87,79,,7,15.8,,4,131,66
61,Roehampton,67.2,89,81,87,4,12.5,58,6,127,66
63,Bedfordshire,66.9,86,79,88,5,12.8,58,5,112,72
64,Salford,66.3,83,79,87,3,13.1,46,8,130,73
64,Ulster,66.3,91,88,,3,10.6,,1,107,86
66,UWE Bristol,64.2,84,85,91,7,24.4,63,9,134,65
67,Winchester,64.0,81,84,88,2,12.4,49,7,121,68
68,Gloucestershire,63.8,93,86,91,5,22.0,51,6,131,73
69,Derby,63.4,82,75,89,5,13.4,62,3,124,65
70,West of Scotland,62.1,73,63,,3,24.4,72,8,,75
71,Falmouth,61.9,84,76,85,6,19.7,72,4,120,72
72,Queen Margaret,61.2,86,79,91,2,27.8,56,9,176,65
73,Bath Spa,60.8,84,72,93,3,23.0,54,6,134,69
74,Northampton,60.0,86,80,91,4,20.4,44,6,131,68
75,Goldsmiths,58.4,79,71,83,5,15.1,61,6,135,60
76,Canterbury Christ Church,57.7,75,71,91,3,13.5,50,4,110,65
77,Leeds Beckett,57.2,90,84,,3,16.1,50,3,111,70
78,Cumbria,57.0,80,75,91,4,19.5,50,5,124,64
79,Sunderland,53.5,81,76,87,8,19.5,42,4,125,68
80,University for the Creative Arts,52.8,67,63,93,6,15.6,45,3,136,57
81,Sheffield Hallam,52.4,83,77,87,5,16.7,34,7,110,57
82,South Wales,51.7,76,71,86,7,15.2,33,3,137,58
83,Wolverhampton,50.9,96,90,81,4,28.9,35,3,112,90
84,Anglia Ruskin,49.1,81,70,84,6,14.1,44,1,117,64
85,Bucks New University,46.1,82,72,89,6,12.0,32,1,114,62
86,Solent,39.8,82,68,,3,18.1,,1,109,49
87,Bishop Grosseteste,36.1,85,84,,,22.2,,1,89,63
