Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Imperial College,100.0,97,97,100,8,11.8,96,7,197,93
2,Oxford,82.1,88,83,,10,9.4,,7,221,65
3,St Andrews,78.4,93,93,,4,12.0,,7,206,74
4,Birmingham,73.4,96,95,98,8,14.0,80,9,150,77
5,Durham,71.7,95,91,96,4,10.2,86,8,173,69
6,Leeds,69.7,92,98,97,7,6.9,73,7,160,70
7,Reading,67.4,88,89,,8,9.8,,8,156,79
8,Newcastle,65.0,88,90,,9,9.9,,,136,67
9,Liverpool,63.7,93,91,98,5,15.2,66,7,139,81
10,Southampton,62.3,92,95,97,5,13.4,71,7,155,72
11,Royal Holloway,61.7,95,94,95,6,12.3,84,5,128,75
12,UWE Bristol,61.3,95,90,,3,20.8,,10,111,88
13,UEA,61.0,91,96,95,6,10.2,69,7,147,69
14,Glasgow,60.2,94,93,95,5,10.1,65,4,165,65
15,UCL,59.7,82,80,96,10,7.1,59,7,177,65
16,Exeter,56.4,90,88,97,4,12.9,86,2,168,68
17,Manchester,56.0,80,76,96,8,10.1,73,7,150,63
18,Edinburgh,55.5,89,86,95,8,13.5,66,6,188,63
19,Leicester,54.2,90,92,94,6,11.4,70,4,139,72
20,Bangor,52.8,93,90,93,4,15.4,67,3,130,78
21,Bristol,52.6,91,86,95,6,13.5,61,7,174,61
22,Plymouth,52.4,90,90,95,4,13.2,57,7,116,72
23,Derby,50.7,97,95,93,4,16.8,80,1,112,87
24,Aberdeen,50.4,91,86,95,4,16.5,77,7,155,52
25,Hull,50.2,91,83,,6,13.7,,,109,67
26,Cardiff,49.9,91,80,95,5,13.6,73,5,145,60
27,Ulster,49.8,95,94,97,3,19.5,59,7,111,81
28,Manchester Met,48.5,85,82,,4,11.8,,5,119,75
29,Keele,48.2,93,92,95,3,21.0,73,6,113,71
29,South Wales,48.2,88,86,,3,10.9,,,94,70
31,Portsmouth,46.0,91,90,91,5,16.0,80,3,115,72
32,Bournemouth,40.3,88,88,,3,15.2,,,119,66
33,Edge Hill,35.2,85,77,,3,15.9,,3,109,64
34,Aberystwyth,30.4,88,81,,3,19.0,,1,102,78
35,Brighton,28.7,86,75,94,3,19.5,57,3,99,69
36,SRUC,28.1,82,71,,2,11.7,,2,123,49
