Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Oxford,100.0,90,90,99,10,15.1,90,7,223,57
2,Cambridge,96.0,83,82,99,10,18.6,96,7,232,61
3,St Andrews,95.7,88,88,99,4,15.5,,9,207,75
4,Leeds,92.0,91,91,99,10,20.4,89,7,174,77
5,Stirling,90.0,88,83,,4,10.1,,7,152,77
6,Coventry,89.5,97,95,94,5,18.7,89,4,113,89
7,Warwick,87.8,87,91,98,9,18.7,92,3,203,64
8,Heriot-Watt,86.3,91,92,,10,25.5,80,10,144,74
9,Portsmouth,85.2,92,90,96,7,14.3,82,5,111,80
10,UEA,83.9,88,94,96,4,15.9,78,7,144,82
11,Nottingham,83.1,86,86,98,5,20.5,86,6,184,71
12,York,82.8,88,90,98,7,16.7,89,2,157,78
13,Nottingham Trent,82.3,91,96,93,4,16.7,82,5,124,85
14,De Montfort,81.8,91,95,94,3,31.2,87,10,96,85
14,Durham,81.8,78,81,97,8,20.9,89,8,205,64
16,Buckingham,81.7,92,94,,8,18.8,,5,,77
17,Loughborough,80.4,93,94,96,5,21.2,88,4,159,75
18,Essex,80.2,83,92,95,5,19.5,88,8,109,71
19,Strathclyde,79.9,90,93,92,8,21.3,75,9,197,71
20,Southampton,78.9,81,82,97,4,17.2,89,6,150,70
21,Surrey,78.1,89,90,96,4,21.1,77,7,174,72
22,Kent,78.0,84,88,97,3,18.5,87,5,141,72
23,Bristol,77.4,84,84,98,6,18.2,82,4,185,65
24,UCL,76.3,80,77,98,8,14.4,84,4,207,56
25,Dundee,76.0,81,79,,7,21.9,,8,152,78
25,London School of Economics,76.0,72,67,97,7,12.9,89,4,212,56
27,Hertfordshire,74.5,90,90,93,4,19.3,68,7,111,82
27,Manchester,74.5,77,81,96,6,15.8,81,7,164,64
29,Aberystwyth,74.3,86,89,,3,17.0,,6,102,81
30,Central Lancashire,73.8,95,99,,4,21.0,,1,112,90
31,Royal Holloway,73.3,87,89,96,5,20.8,84,4,131,74
32,London Met,73.0,92,91,,4,22.2,,,103,81
33,Middlesex,71.9,74,80,,5,17.3,,10,101,69
34,Aston,71.6,85,82,98,6,29.7,,8,132,82
35,Aberdeen,70.6,86,88,90,4,18.8,,7,184,67
36,Cardiff Met,70.3,77,78,,7,14.0,,9,109,60
37,Bath,69.7,78,77,97,6,19.6,85,4,191,61
38,Edinburgh,68.8,78,72,97,8,18.1,77,7,179,52
39,Exeter,68.7,78,81,99,3,35.5,89,7,182,68
40,UWE Bristol,68.3,89,87,90,4,20.9,82,4,107,77
41,Glasgow,67.8,74,71,97,7,20.2,,8,177,55
42,SOAS,67.7,80,77,91,4,15.3,79,4,140,68
43,Chester,66.9,84,80,,3,13.4,,,98,69
44,East London,66.8,84,77,,3,18.5,,,88,76
45,Queen Mary,66.6,82,88,96,8,21.1,71,3,158,75
46,Liverpool,65.8,78,80,96,5,19.4,82,4,149,70
47,Lancaster,65.3,82,82,95,10,17.7,89,1,151,69
48,Kingston,65.1,80,84,88,9,16.5,,7,100,74
48,Sheffield,65.1,79,82,97,4,22.8,81,5,151,63
50,Manchester Met,64.3,88,94,,3,23.6,73,6,121,77
51,Sussex,64.0,83,91,96,3,17.6,74,3,141,61
52,Plymouth,63.9,86,89,91,7,19.5,71,5,110,77
53,Hull,63.7,80,87,90,3,13.7,84,3,118,71
54,Keele,63.3,84,88,,4,15.5,,,113,74
55,Birmingham,62.8,76,76,97,5,24.3,81,6,163,68
56,Oxford Brookes,60.1,81,85,96,3,24.3,74,5,120,72
57,Ulster,59.7,82,89,98,,28.7,,5,119,70
58,Queen's Belfast,59.0,86,87,98,4,20.5,71,1,146,75
58,Salford,59.0,78,84,,2,23.0,,,111,75
60,Newcastle,58.5,82,85,94,5,21.0,90,2,155,56
61,Brunel,57.9,81,88,94,3,18.1,61,8,112,68
61,Swansea,57.9,71,76,96,5,24.2,73,7,129,64
63,Reading,57.6,80,80,94,5,17.3,72,3,141,71
64,Bradford,57.5,74,80,,3,17.7,,2,122,71
65,Leeds Beckett,54.8,83,86,91,3,,,3,103,58
66,City,50.9,73,75,92,3,18.7,,1,137,59
67,Greenwich,50.4,72,78,91,3,21.4,62,7,120,74
68,Leicester,49.2,74,75,94,4,21.4,68,4,133,62
69,Birkbeck,48.1,83,85,83,4,17.9,,,97,56
70,Birmingham City,45.9,80,78,,5,28.9,72,7,108,66
71,Cardiff,35.5,65,65,96,4,30.5,74,2,152,62
