Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,92,95,,10,11.5,,,187,76
2,Southampton,89.3,94,91,,7,13.9,,7,155,82
3,Durham,88.7,90,88,97,8,18.6,90,9,157,78
3,UEA,88.7,91,94,92,3,12.6,84,8,160,81
5,UWE Bristol,86.0,95,95,94,5,20.1,84,8,127,89
6,UCL,84.1,79,84,92,10,11.3,54,10,162,70
7,"St Mary's UC, Belfast",81.9,89,90,98,2,20.5,97,9,142,73
8,Reading,81.2,86,94,96,6,14.6,87,9,138,81
9,Stirling,79.0,84,78,94,3,16.1,96,9,177,68
10,Liverpool Hope,78.0,92,95,93,3,17.3,85,4,120,91
11,Northumbria,77.7,84,85,97,5,15.5,87,9,144,62
12,Winchester,77.5,93,94,96,3,14.8,76,8,121,81
13,Chichester,77.4,95,91,94,3,13.7,87,5,124,78
14,Edge Hill,76.7,81,83,94,5,13.1,85,7,133,72
15,Brunel,76.5,87,84,,3,13.9,,8,128,79
16,Brighton,76.3,93,93,92,3,18.6,87,7,127,86
17,Birmingham City,76.0,86,84,91,7,12.2,74,8,129,83
18,Derby,75.5,92,91,92,7,12.5,79,6,126,77
19,Birmingham,74.6,96,94,97,9,22.6,82,3,151,87
20,Sunderland,73.4,83,86,97,5,14.1,95,9,125,53
21,York,73.1,86,86,96,4,12.2,82,8,135,64
22,Staffordshire,72.6,84,86,89,10,14.8,66,8,118,85
23,West of Scotland,70.7,91,91,96,5,23.8,98,1,178,83
24,Worcester,70.6,93,94,92,9,13.4,69,8,118,79
25,Huddersfield,69.5,85,88,88,5,12.4,77,8,120,80
26,Cardiff,69.3,88,90,,10,12.6,,6,142,67
26,Sheffield,69.3,,,,7,18.3,,7,145,
28,Keele,69.2,93,94,,3,19.6,,5,135,88
29,Edinburgh,69.1,79,82,94,8,13.9,99,3,179,60
30,Stranmillis UC,68.6,85,87,97,,26.8,97,9,133,69
31,Hertfordshire,68.1,89,89,95,7,17.6,79,2,124,82
32,Dundee,67.8,90,90,94,4,20.7,96,2,178,71
32,London South Bank,67.8,86,84,88,4,15.5,93,4,106,80
34,Chester,67.3,84,85,91,7,13.5,80,6,119,75
34,"St Mary's, Twickenham",67.3,89,92,92,3,17.1,88,6,118,76
36,Manchester Met,67.1,81,82,93,4,15.1,77,6,136,80
37,Sheffield Hallam,66.0,87,87,93,6,14.8,71,7,127,77
38,Bedfordshire,65.4,91,91,92,5,21.1,75,7,109,83
39,Glynd?r,64.9,95,94,92,2,23.0,58,6,119,89
40,Central Lancashire,64.0,80,81,,8,10.5,62,,120,73
40,Oxford Brookes,64.0,83,77,93,7,13.1,74,7,127,63
42,Canterbury Christ Church,63.6,85,85,91,7,13.3,78,6,121,73
43,Plymouth,63.3,79,79,94,7,11.7,71,7,129,67
44,Kingston,63.2,87,85,91,10,12.1,63,,112,71
45,Glasgow,62.5,85,84,92,6,20.7,99,2,182,65
46,Aberystwyth,61.7,95,98,91,6,17.5,65,2,122,89
47,Wolverhampton,59.7,82,83,91,5,17.6,69,7,116,72
48,Nottingham Trent,59.0,85,85,91,4,18.6,73,4,146,79
49,Gloucestershire,57.7,94,95,95,5,23.6,81,3,122,80
50,Goldsmiths,57.2,90,81,91,4,18.1,59,8,108,76
50,Trinity Saint David,57.2,93,93,91,4,18.0,51,6,120,80
52,Leeds Trinity,56.6,86,88,93,4,21.6,81,7,108,74
53,De Montfort,55.5,82,78,91,3,11.6,78,2,109,71
53,Portsmouth,55.5,88,86,91,8,17.1,75,4,102,75
55,Liverpool John Moores,54.0,80,87,87,6,17.3,71,3,138,80
56,Ulster,52.8,79,80,,3,14.8,,,111,77
57,Bangor,52.3,84,84,90,4,18.6,88,4,126,66
58,Bath Spa,52.2,85,83,89,6,15.8,66,6,123,75
59,Bishop Grosseteste,52.0,85,86,94,3,22.5,73,6,113,77
60,Newman,51.4,82,78,94,4,17.6,66,5,126,61
61,Anglia Ruskin,51.0,88,72,87,6,17.3,54,8,110,80
62,Roehampton,49.3,81,81,90,5,16.1,85,4,114,59
63,York St John,48.6,88,82,96,3,24.3,77,7,121,69
64,Cumbria,48.4,78,77,92,3,17.5,84,4,115,67
65,Aberdeen,47.4,67,63,93,8,22.2,95,3,186,56
65,Leeds,47.4,73,61,91,8,15.5,64,3,153,71
67,Northampton,45.8,84,84,92,6,19.9,70,4,109,74
68,Leeds Beckett,45.7,83,84,90,5,22.2,65,8,117,73
69,Strathclyde,45.5,83,67,90,3,26.2,85,6,191,55
70,South Wales,43.3,83,76,89,3,15.9,59,3,128,77
71,Warwick,43.1,70,58,,10,13.2,71,,,56
72,Middlesex,41.7,87,90,89,6,20.7,64,1,120,79
73,East London,40.2,81,82,88,3,19.8,67,1,118,72
74,St Mark and St John,36.2,83,77,87,4,21.5,69,3,127,68
75,Teesside,35.9,84,92,90,8,24.1,69,1,113,79
76,Cardiff Met,35.8,79,78,84,5,15.6,55,6,115,78
77,Greenwich,35.5,79,76,89,4,20.2,65,2,128,74
78,Hull,34.5,72,64,91,4,16.2,71,3,126,52
79,London Met,31.3,83,86,85,2,20.7,63,2,93,77
