Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Imperial College,100.0,90,95,,10,13.2,,8,221,82
2,Leeds,90.7,96,98,93,7,10.3,87,8,169,87
3,Bristol,81.5,84,87,94,9,11.8,94,8,190,64
4,Southampton,80.9,89,92,98,9,7.5,,2,180,64
5,West of Scotland,80.7,95,100,,4,12.4,89,6,,88
6,Loughborough,80.6,94,96,96,6,13.3,97,5,151,81
7,Nottingham,80.3,84,93,95,10,13.2,91,7,156,78
8,Abertay Dundee,80.1,93,100,,5,10.9,87,9,137,85
9,Bath,80.0,93,88,94,5,19.9,92,8,195,75
10,Queen's Belfast,78.3,92,93,94,6,9.7,94,6,150,76
11,West London,72.5,99,98,,3,29.3,,8,127,96
12,Glasgow,71.4,95,96,,9,11.8,,2,201,59
13,Greenwich,71.1,87,82,,4,12.9,,8,136,68
14,Glasgow Caledonian,70.3,82,92,,2,15.4,,7,167,76
15,Birmingham,69.8,85,90,94,9,12.9,89,4,163,73
16,Edinburgh,69.7,77,88,,10,15.0,,6,187,60
17,Dundee,69.1,87,90,,9,9.1,85,2,159,76
18,UCL,68.4,68,74,,9,10.3,,9,176,46
19,Nottingham Trent,67.8,81,91,89,4,10.0,97,2,137,72
20,Brunel,67.6,90,86,93,3,22.4,88,10,138,70
21,Newcastle,66.4,84,86,98,7,11.6,91,4,154,63
22,Surrey,66.3,80,87,99,4,15.7,88,4,158,69
23,Brighton,65.9,86,78,92,3,14.1,,,110,62
24,London South Bank,64.4,94,93,90,4,16.5,79,4,109,82
24,Sheffield,64.4,79,87,99,7,16.6,93,4,161,59
26,South Wales,63.9,89,88,,3,11.2,,3,111,84
27,Bradford,63.7,76,79,,3,9.0,,7,118,64
28,Edinburgh Napier,63.0,95,96,85,4,16.2,,6,142,73
29,Liverpool,62.1,79,92,96,5,23.1,96,8,135,66
30,Heriot-Watt,62.0,89,91,92,9,20.0,80,6,176,73
31,Northumbria,61.9,87,83,87,2,12.6,,,131,76
32,Ulster,61.8,86,91,84,3,12.2,100,3,119,59
33,Manchester,60.7,69,73,,7,18.6,94,6,170,67
34,Coventry,60.0,86,90,90,5,20.7,93,7,126,67
35,UWE Bristol,59.6,92,92,,4,16.1,,,129,67
36,Wolverhampton,59.3,85,87,,5,11.8,,,102,65
37,Strathclyde,58.3,86,84,88,4,18.6,95,3,189,64
38,Portsmouth,57.9,76,86,94,4,15.9,91,4,112,65
39,Plymouth,57.8,85,80,94,5,19.1,88,7,118,63
40,Central Lancashire,57.6,75,69,,5,10.3,,,130,57
41,Liverpool John Moores,57.1,78,85,85,3,15.8,81,9,146,67
42,Cardiff,54.4,78,83,84,7,18.1,87,4,152,65
43,East London,53.6,91,96,87,4,18.0,69,4,116,74
44,Exeter,53.0,77,74,,4,14.2,,3,155,50
45,Teesside,52.1,75,83,,4,16.6,,,134,55
46,Anglia Ruskin,50.6,83,85,,5,15.3,,1,104,75
47,Derby,50.5,84,83,,4,21.7,,8,95,68
48,Salford,50.1,85,92,80,3,15.6,80,,132,73
49,Kingston,50.0,72,79,92,3,,65,7,124,65
50,Swansea,48.4,80,84,96,5,18.8,,1,133,75
51,City,44.6,83,80,82,7,18.3,,4,120,74
52,Leeds Beckett,32.3,85,78,79,3,23.8,,4,106,63
