Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Nottingham,100.0,88,86,94,10,10.2,86,9,158,77
2,Southampton,99.6,93,99,94,7,11.4,89,6,191,82
3,Surrey,99.3,91,91,96,8,11.0,,7,159,82
4,Imperial College,97.8,87,86,96,8,15.6,91,7,222,68
5,Bath,94.6,91,95,96,5,15.6,88,8,175,74
6,Manchester,92.3,85,91,93,9,12.8,88,7,170,73
7,Bedfordshire,91.8,90,93,,4,12.6,,10,,78
8,Leeds,91.3,88,92,91,8,10.1,,6,178,75
9,Loughborough,89.7,88,89,88,8,8.4,91,3,167,78
10,Bristol,89.1,89,85,88,8,8.5,,7,177,70
10,UCL,89.1,74,77,,10,11.6,,7,192,67
12,York,83.5,91,89,89,5,14.5,80,7,146,77
13,Bournemouth,83.3,97,87,,2,16.4,,8,121,88
14,Ulster,82.5,88,94,87,3,15.2,,9,132,79
15,Edinburgh,82.0,82,90,,10,15.0,,4,166,62
16,Bangor,81.9,86,91,94,3,15.1,,7,127,77
17,Newcastle,81.7,90,88,90,8,11.8,88,3,162,68
18,Lancaster,81.2,90,91,,8,12.2,,,163,63
19,Birmingham,80.5,92,88,86,8,18.5,93,6,161,77
20,Plymouth,80.1,87,84,91,5,10.7,81,6,125,68
21,Northumbria,79.2,95,94,84,3,14.0,76,3,145,84
22,Queen's Belfast,78.4,88,86,97,4,19.6,97,3,147,76
23,Sheffield,78.1,86,89,96,6,17.9,89,3,158,72
24,Exeter,78.0,83,78,,3,14.2,90,7,163,59
25,Strathclyde,77.7,89,91,85,5,14.9,91,2,206,75
26,Glasgow,77.2,83,85,,6,16.8,,7,197,61
27,Central Lancashire,77.1,92,92,,5,10.3,,,141,54
28,Brunel,76.3,80,83,90,3,12.8,85,6,139,75
29,Aston,75.7,77,72,,9,9.3,,6,144,62
30,Greenwich,75.6,78,76,87,2,16.1,,8,150,67
31,Portsmouth,75.3,79,81,83,3,18.8,97,7,122,75
31,Salford,75.3,83,75,88,3,9.0,63,8,136,73
33,Hertfordshire,74.1,88,84,,4,15.8,,7,129,78
34,Queen Mary,73.6,70,67,,10,6.4,90,4,132,52
35,UWE Bristol,73.0,84,84,88,5,15.3,,4,122,80
36,Essex,72.5,79,92,,8,12.2,,1,129,80
37,Cardiff,72.4,83,78,87,8,14.9,78,5,140,69
38,Liverpool John Moores,72.1,79,73,79,6,10.6,,6,133,73
39,Heriot-Watt,72.0,74,86,86,9,12.2,76,8,156,61
40,Coventry,71.9,88,95,88,4,27.1,86,9,132,74
40,Kent,71.9,76,84,,4,21.3,85,8,137,70
42,Huddersfield,71.3,88,88,87,4,25.9,80,8,128,83
43,Sheffield Hallam,71.2,85,88,92,4,16.5,81,4,123,74
44,Glasgow Caledonian,71.1,89,89,94,2,16.1,66,4,155,68
45,London South Bank,69.6,72,69,,3,13.4,,7,124,60
46,Birmingham City,69.3,83,82,85,4,15.1,64,7,131,75
47,Solent,68.9,93,92,,4,11.3,75,2,97,81
48,Derby,68.0,89,86,86,4,15.8,81,2,120,68
49,Leeds Beckett,67.9,87,83,,2,16.0,,,117,77
50,Robert Gordon,64.9,77,87,,5,17.3,,4,162,64
50,Swansea,64.9,82,81,87,4,18.8,,6,133,63
52,Liverpool,64.5,84,88,,5,21.4,,3,138,76
53,De Montfort,63.8,77,71,,3,19.5,,,123,68
54,Westminster,63.5,76,75,84,5,14.8,,3,129,73
55,Bolton,63.2,78,71,84,7,14.2,56,9,122,63
56,City,60.4,82,86,83,4,19.7,68,7,137,70
57,Teesside,60.2,75,77,90,4,25.2,73,7,120,69
58,Hull,58.3,82,79,,5,20.8,,1,122,65
59,Brighton,53.6,79,67,,2,21.3,,2,124,67
60,Manchester Met,52.7,73,67,78,3,10.8,68,4,131,53
61,Sussex,48.8,67,63,,6,17.0,,1,131,60
62,South Wales,37.7,56,45,87,3,10.8,58,2,117,39
