Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Durham,100.0,97,96,100,8,11.9,86,7,210,84
2,St Andrews,94.7,97,98,98,4,10.3,73,7,199,85
3,Oxford,91.2,95,95,99,10,11.8,73,7,204,76
4,UCL,89.9,96,92,96,9,11.7,65,8,194,77
5,Birmingham,86.6,96,94,98,10,12.3,82,6,166,77
6,Exeter,86.4,97,92,99,3,18.0,85,7,179,83
7,Cambridge,86.2,91,90,98,10,14.5,84,7,206,63
8,Brunel,85.7,97,96,95,10,10.4,61,7,125,87
9,Buckingham,84.5,96,96,,7,8.2,,6,102,91
10,Bolton,84.0,99,100,,2,12.2,,10,87,87
11,Lancaster,82.5,92,85,95,9,12.5,86,7,162,70
12,Surrey,82.4,89,89,97,7,14.8,77,7,159,82
13,Loughborough,82.1,90,91,99,6,14.8,81,7,145,84
14,Nottingham,81.6,94,89,97,6,16.6,80,8,167,76
15,Warwick,81.2,96,91,94,9,11.2,67,8,180,70
16,Solent,81.0,95,90,90,5,16.6,,9,111,92
17,Newcastle,80.5,96,94,98,5,15.3,74,6,160,80
18,Kent,79.5,94,94,96,5,12.6,76,8,131,76
19,Sussex,79.2,94,97,96,6,15.0,72,8,151,70
20,Glasgow,78.6,97,94,93,5,12.8,70,7,183,72
21,King's College London,78.2,97,90,96,7,13.1,71,7,171,72
22,Manchester,77.5,88,85,96,8,12.7,78,8,164,71
23,Teesside,76.4,94,97,92,4,18.8,80,6,102,90
24,York,76.3,91,86,98,4,18.3,80,7,174,76
25,Aberdeen,76.1,98,94,,3,17.2,68,8,180,75
26,Coventry,75.9,93,89,95,8,,73,7,121,83
27,Bangor,74.8,94,96,93,3,14.0,69,4,132,83
28,Northumbria,74.4,93,89,96,4,10.6,53,5,135,88
29,Aberystwyth,73.8,99,97,93,4,21.2,72,5,115,92
29,Reading,73.8,94,90,95,7,8.4,62,6,132,75
31,UEA,73.3,93,89,97,4,15.2,70,8,161,63
32,South Wales,73.2,91,86,91,5,12.7,58,7,114,82
33,Suffolk,73.1,100,100,,,13.2,,3,100,82
34,Leeds,72.7,92,90,96,7,18.4,79,7,164,72
35,Sheffield,72.1,91,89,96,4,17.4,75,8,153,70
36,Royal Holloway,71.6,90,87,96,5,16.1,70,7,149,76
37,Edinburgh Napier,71.5,96,95,92,6,21.1,,8,167,88
37,Swansea,71.5,91,91,95,5,15.9,73,6,132,74
39,Lincoln,71.4,95,93,97,5,18.9,63,7,127,78
40,Westminster,71.0,88,88,95,6,11.8,54,8,105,83
41,Edge Hill,70.9,94,89,93,2,14.4,68,4,122,88
41,Southampton,70.9,94,86,95,8,,72,5,151,73
43,Keele,70.7,91,88,97,4,12.7,63,7,129,71
44,Queen Mary,70.5,94,90,93,7,11.3,59,6,137,73
45,Edinburgh,70.4,91,84,96,9,17.5,66,7,170,72
46,Bristol,70.1,89,79,96,3,21.0,79,7,191,66
47,Dundee,70.0,96,90,87,3,20.5,,10,162,75
48,Liverpool,69.9,94,91,96,7,15.1,68,7,140,70
49,UWE Bristol,69.6,94,95,92,5,15.5,59,7,118,86
50,Aston,68.9,94,93,93,8,11.3,66,2,120,71
50,Manchester Met,68.9,93,93,94,4,18.0,68,3,123,87
50,Salford,68.9,93,87,89,6,12.3,65,5,119,84
53,Leicester,68.7,88,85,94,6,13.1,74,5,127,72
54,East London,68.2,93,93,92,3,12.9,,6,100,82
55,Gloucestershire,68.1,91,89,93,7,17.8,55,8,113,83
55,Portsmouth,68.1,91,92,90,8,13.4,74,6,108,75
57,Newman,67.6,93,94,85,4,16.0,77,5,99,82
58,Queen's Belfast,67.3,92,89,98,6,15.8,55,5,148,76
59,Roehampton,67.2,94,93,89,4,12.4,65,7,109,76
60,Kingston,66.9,90,82,89,10,10.6,49,8,104,74
60,Leeds Trinity,66.9,91,92,89,3,14.5,49,8,93,91
62,Derby,66.8,94,92,90,8,13.4,62,2,116,79
63,Liverpool John Moores,66.7,86,87,94,3,17.1,58,8,132,79
64,Huddersfield,66.4,88,84,95,3,14.9,66,7,124,74
65,Oxford Brookes,66.0,89,89,92,7,12.7,66,5,126,72
66,Hertfordshire,65.4,97,86,88,4,13.0,73,8,118,73
67,Chichester,65.3,95,91,95,2,10.8,51,2,107,81
67,De Montfort,65.3,93,97,92,4,18.4,71,3,109,85
69,London Met,64.2,92,83,,2,13.4,,5,,73
70,Sunderland,64.1,94,89,88,3,19.3,78,6,104,78
71,Stirling,64.0,89,83,89,3,12.1,65,5,158,77
72,Plymouth,63.9,94,92,91,7,23.7,64,8,121,84
73,Bournemouth,63.5,83,79,95,8,16.9,58,8,122,77
74,Essex,62.9,85,86,94,5,16.1,75,7,115,60
74,Nottingham Trent,62.9,88,92,91,5,16.3,65,3,133,84
76,Bath Spa,62.5,89,83,93,7,18.3,61,8,118,79
77,Central Lancashire,62.0,86,88,88,7,11.0,66,,113,71
78,Birkbeck,61.8,92,86,91,5,14.8,,1,,75
79,Northampton,61.7,95,92,87,10,,47,6,99,85
80,Strathclyde,61.6,91,91,90,2,13.0,47,5,192,67
80,Winchester,61.6,93,89,91,2,15.6,57,7,115,76
82,Greenwich,60.8,84,83,92,4,19.6,59,7,116,82
83,Cardiff,60.5,94,92,96,5,19.7,60,3,149,77
84,Wolverhampton,60.0,90,93,85,9,14.0,57,1,104,79
85,Sheffield Hallam,59.1,86,77,93,7,12.8,47,6,118,76
86,Trinity Saint David,58.7,82,74,,2,11.8,,7,,63
