Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Coventry,100.0,90,88,93,8,,75,5,141,85
2,Leeds,99.3,91,86,,7,17.8,,7,174,80
3,Middlesex,96.9,89,90,87,9,12.6,64,6,122,88
4,UWE Bristol,96.8,87,89,91,9,13.1,63,7,136,81
5,Edinburgh Napier,95.4,82,72,,4,11.9,,9,164,69
6,Sunderland,93.7,95,91,94,9,19.5,,7,129,81
7,Liverpool John Moores,92.3,93,89,95,6,12.5,46,3,140,85
8,Nottingham Trent,92.0,85,83,91,5,11.5,76,2,153,77
9,Gloucestershire,91.7,92,87,95,5,22.0,56,9,132,82
10,Suffolk,91.6,91,86,,10,16.6,,,126,78
11,Ulster,90.3,93,81,88,3,10.6,,7,121,85
12,Glasgow,90.0,89,86,93,4,14.4,,6,188,63
13,Arts University Bournemouth,89.9,75,69,91,5,15.6,84,4,159,73
14,Nottingham,89.7,91,84,,4,16.0,,7,137,74
15,Westminster,89.2,85,82,91,6,14.8,69,3,134,72
16,Hertfordshire,89.1,84,82,91,3,23.7,79,8,134,74
16,Royal Holloway,89.1,80,70,,7,12.6,,6,145,78
16,Staffordshire,89.1,92,85,91,3,14.1,60,6,106,82
19,Edinburgh,88.5,74,57,,7,13.8,,8,171,54
20,Roehampton,88.1,89,77,89,4,12.5,,9,114,75
21,Norwich University of the Arts,87.8,81,83,93,2,18.9,69,7,132,77
22,University of the Arts London,87.4,75,73,89,10,14.3,56,7,129,75
23,University for the Creative Arts,86.9,82,78,89,6,15.6,60,6,130,76
23,York,86.9,82,72,98,8,17.9,60,6,171,48
25,Huddersfield,86.7,83,80,82,8,13.2,78,2,129,87
26,Queen's Belfast,86.5,93,96,86,7,13.4,46,7,141,76
27,Lincoln,86.2,89,74,,4,12.1,,5,137,72
28,Aberdeen,86.1,99,90,,4,19.9,,,153,67
29,Portsmouth,85.7,83,87,93,5,20.6,68,6,126,78
30,Reading,85.3,87,78,,8,15.8,,5,136,68
31,Leeds Arts,85.0,86,86,93,2,13.0,43,3,132,85
32,Kingston,84.9,67,52,90,10,9.1,46,8,126,63
33,Brunel,84.8,75,76,92,6,11.5,53,7,127,70
34,Manchester Met,84.2,85,83,88,3,13.9,63,1,150,83
35,Derby,83.9,81,71,88,6,13.4,60,4,121,75
36,Essex,83.3,83,79,,6,18.3,,8,125,67
37,South Wales,82.6,80,78,93,8,15.2,51,4,129,71
38,East London,82.2,89,82,90,,14.9,45,4,106,90
39,West of Scotland,82.0,78,57,,4,14.8,,8,137,74
40,London South Bank,80.3,84,82,84,4,16.9,,8,110,83
41,De Montfort,79.9,77,69,,3,15.7,,9,113,61
42,Central Lancashire,79.8,75,65,88,10,16.3,51,5,128,66
43,Aberystwyth,79.0,88,80,93,5,15.3,53,1,124,78
43,Plymouth College of Art,79.0,91,83,81,2,12.6,52,5,105,84
45,Falmouth,78.4,79,80,89,7,19.7,72,3,123,73
46,Chester,78.1,78,74,,6,11.5,,5,114,67
46,York St John,78.1,,,,4,8.8,29,,120,
48,Canterbury Christ Church,77.9,80,73,88,3,13.5,44,9,99,68
49,Bucks New University,77.6,77,71,,7,12.0,,7,99,68
50,Salford,77.2,79,74,,3,13.1,,3,131,68
51,Sheffield Hallam,76.9,81,81,87,6,16.7,54,3,130,74
52,London Met,76.3,83,83,,2,19.7,,7,90,82
53,Trinity Saint David,76.1,76,73,88,2,12.8,32,8,108,78
54,Bolton,75.3,81,74,,,10.4,,3,120,73
55,West London,74.8,55,52,86,,8.9,53,9,117,62
56,Solent,74.6,84,78,85,2,18.1,57,3,120,80
57,Plymouth,73.6,71,66,93,6,15.8,40,7,122,52
58,Leeds Beckett,73.0,78,66,87,4,17.6,48,7,120,72
59,Edge Hill,68.7,59,40,91,4,13.4,41,8,125,58
60,Bournemouth,68.5,69,53,92,3,16.4,45,7,132,41
60,Brighton,68.5,80,70,87,4,21.2,47,8,122,63
62,Bath Spa,67.5,86,76,,4,23.0,,2,125,76
63,Birmingham City,66.6,77,69,,6,20.6,50,1,127,80
64,Anglia Ruskin,66.3,71,60,,6,18.9,,6,109,67
65,Greenwich,63.3,67,65,89,4,23.5,42,5,144,55
66,Wolverhampton,56.2,70,77,83,4,28.9,62,2,106,66
67,Cumbria,41.0,59,41,82,4,19.5,28,1,105,66
