Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,89,86,99,,5.8,88,7,211,73
2,Liverpool,94.6,96,92,90,9,5.2,92,8,151,84
3,UCL,93.0,96,95,91,10,7.1,75,9,146,80
4,Oxford,87.4,95,89,,10,11.8,,8,196,74
5,Newcastle,85.0,96,97,,5,9.7,,8,147,85
6,Durham,84.2,94,98,95,5,12.1,72,7,175,84
7,Queen's Belfast,82.2,95,91,,6,7.9,,9,127,83
8,Bristol,78.9,95,98,,5,13.9,67,7,146,79
9,De Montfort,78.1,97,98,94,5,18.3,,3,114,90
10,Glasgow,77.9,97,99,,5,14.7,,5,,73
11,Dundee,76.4,95,81,,10,12.2,,5,178,68
11,Leicester,76.4,94,94,90,8,7.0,,6,123,80
13,York,75.1,94,96,97,6,18.1,65,6,148,90
14,Manchester,75.0,96,92,90,5,15.5,,5,148,86
14,Reading,75.0,94,92,98,7,10.3,60,4,127,87
16,Southampton,74.4,96,95,94,5,10.2,,6,141,85
17,Nottingham,74.1,94,87,,5,10.8,61,8,140,80
18,Staffordshire,73.1,91,94,89,6,14.7,67,4,125,88
19,Sheffield,72.3,94,93,,5,11.0,,8,139,72
20,Edinburgh,72.2,87,77,,5,8.8,,6,178,70
20,Exeter,72.2,86,87,,3,13.2,,9,156,74
22,Greenwich,71.4,96,98,,6,10.5,,,133,67
23,Chester,71.2,98,90,,3,12.0,,8,101,79
24,West London,70.6,94,84,87,5,13.4,57,9,112,86
25,Bradford,69.5,88,80,83,4,8.1,81,7,121,74
26,Trinity Saint David,69.3,97,88,,3,12.5,,6,102,83
27,Derby,68.9,93,89,94,5,18.0,,4,124,83
28,Birmingham,67.8,92,79,,6,15.6,,,149,83
28,Nottingham Trent,67.8,87,77,88,4,11.5,68,8,168,72
30,Central Lancashire,67.4,89,81,91,7,7.7,56,4,138,78
31,Lincoln,67.2,94,87,93,5,11.5,81,3,127,59
32,Kent,66.8,86,91,,4,,71,3,147,79
33,Coventry,65.8,92,86,95,5,24.8,77,8,129,82
34,Keele,61.5,87,83,,5,14.0,,3,,68
35,Cardiff,61.3,90,83,95,5,9.6,52,7,123,66
36,Winchester,57.3,94,98,86,3,17.1,75,5,100,86
37,Bournemouth,55.9,93,91,91,5,15.9,52,5,122,71
38,UWE Bristol,55.4,92,91,92,5,19.9,,,134,73
39,West of Scotland,54.2,93,91,,4,15.4,,,131,63
40,Liverpool John Moores,51.8,89,86,90,3,19.8,59,2,148,79
41,Robert Gordon,50.8,85,84,,4,16.2,72,2,156,57
42,Teesside,50.6,85,80,91,4,18.6,69,3,127,68
43,Anglia Ruskin,50.5,82,76,88,5,16.4,54,7,106,70
44,Worcester,44.8,83,81,86,2,20.2,,2,113,77
45,South Wales,44.6,87,88,85,3,15.9,56,2,131,70
46,London South Bank,44.0,90,79,,6,13.2,,1,97,72
47,Abertay Dundee,34.2,79,61,,3,17.1,50,1,188,51
