Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Oxford,100.0,94,93,100,10,14.6,78,7,212,76
2,Durham,98.1,94,92,99,5,13.4,84,6,198,80
3,Cambridge,95.5,90,85,100,10,11.3,82,6,208,65
4,Loughborough,93.5,95,95,99,4,15.3,87,7,147,83
5,St Andrews,90.7,91,87,97,6,9.0,69,7,197,85
6,Lancaster,90.3,93,92,95,9,10.8,86,7,166,73
7,Coventry,89.6,97,93,97,7,8.4,78,2,117,85
8,Sussex,89.1,91,100,99,7,13.9,82,7,145,75
9,Cardiff,88.1,91,93,100,5,9.7,69,7,158,80
9,Glasgow,88.1,94,88,94,5,14.3,79,8,189,78
11,Leeds,87.1,92,94,97,5,12.1,83,8,164,74
12,Manchester,86.3,93,94,98,6,17.5,76,8,164,82
13,Exeter,85.5,93,90,97,4,12.7,83,6,172,77
14,Southampton,83.5,93,94,98,7,13.4,72,7,152,77
15,Bristol,82.4,85,75,99,8,13.5,88,7,185,61
16,London School of Economics,81.7,84,83,,4,10.3,94,6,191,54
17,Royal Holloway,81.2,92,94,98,6,14.3,75,3,137,84
18,Reading,80.4,86,89,96,10,9.8,73,8,131,76
19,Nottingham Trent,80.3,94,94,91,4,13.3,72,5,127,88
20,Keele,79.9,88,92,95,8,9.2,60,6,121,85
20,Liverpool Hope,79.9,93,89,,2,15.8,,,109,90
22,UEA,79.7,94,91,97,3,12.6,70,9,140,75
23,Edinburgh,79.4,91,77,99,9,9.2,68,5,170,67
24,Aberystwyth,77.8,93,92,95,3,13.7,82,4,118,80
25,Dundee,77.4,90,84,95,4,16.6,72,8,172,75
25,UWE Bristol,77.4,94,92,97,5,16.6,68,5,114,85
27,Gloucestershire,75.7,92,91,,4,,60,8,122,73
28,Birmingham,75.0,88,87,98,5,15.7,82,5,157,70
29,South Wales,74.6,84,87,,3,10.9,,9,120,69
30,Nottingham,74.5,88,85,98,5,16.8,81,7,160,66
31,Portsmouth,74.3,91,95,97,4,17.2,79,5,109,82
32,Bangor,73.7,93,92,94,4,14.9,73,4,124,79
33,Chester,72.8,91,95,96,3,17.3,69,8,113,79
34,Staffordshire,72.5,93,93,,9,,69,,95,79
35,York,72.4,90,82,97,6,15.3,77,3,142,76
36,Newcastle,71.9,91,93,97,4,18.2,76,7,152,75
37,Oxford Brookes,70.9,85,87,98,3,18.8,,7,124,85
38,Worcester,69.1,90,88,92,3,13.2,,6,105,85
39,Salford,68.2,86,86,92,9,15.2,68,2,111,78
40,Sheffield,67.2,86,84,97,4,14.8,73,6,148,66
41,Queen Mary,66.3,89,82,95,5,13.1,60,7,128,75
42,Liverpool,66.0,87,83,98,5,19.5,68,8,140,76
43,Northumbria,65.7,93,97,94,3,12.6,49,6,130,74
44,King's College London,65.2,84,77,98,5,15.4,58,7,159,69
45,Swansea,65.0,84,87,97,4,14.4,68,5,130,66
45,Ulster,65.0,95,94,97,3,19.5,59,6,111,81
47,Brighton,64.9,92,90,91,6,10.4,48,7,101,80
47,Leicester,64.9,85,82,95,7,20.2,82,6,131,79
49,UCL,64.5,80,69,97,8,12.4,73,7,175,51
50,Hull,64.0,95,96,95,3,22.8,66,6,112,79
50,Stirling,64.0,90,88,94,10,15.7,67,1,181,68
52,Queen's Belfast,63.9,90,89,95,4,17.1,60,7,133,83
53,Plymouth,63.8,91,91,96,4,14.6,60,5,111,72
54,Liverpool John Moores,63.3,91,93,93,5,20.2,61,5,128,83
55,Aberdeen,62.9,87,84,97,4,14.8,66,2,182,72
56,Kingston,62.5,85,79,90,7,12.5,60,8,93,72
57,Central Lancashire,57.1,90,89,,4,18.5,,1,114,86
58,Bournemouth,57.0,84,82,,3,15.2,,7,114,60
59,Derby,56.3,88,82,94,6,18.2,,,105,78
60,Northampton,54.3,88,87,93,4,12.4,46,3,104,83
61,Canterbury Christ Church,53.6,86,83,,4,9.4,51,2,99,74
62,Manchester Met,52.9,82,79,90,4,10.0,67,1,116,83
63,Edge Hill,49.9,89,85,96,3,16.3,58,1,111,66
64,Bath Spa,48.7,79,79,96,4,17.4,51,7,109,67
65,Sheffield Hallam,45.8,85,86,96,3,25.0,50,9,115,70
66,Hertfordshire,36.2,80,71,93,3,19.7,80,1,104,71
