Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Newcastle,100.0,97,88,,8,11.9,,7,180,76
2,South Wales,98.9,84,84,,3,10.7,97,10,155,69
3,Strathclyde,95.1,98,97,93,2,11.1,91,4,217,77
4,Northumbria,94.0,92,95,97,4,16.4,95,8,159,86
5,Nottingham,93.4,92,87,96,6,14.9,92,10,154,75
6,Keele,92.0,93,92,94,9,12.6,100,5,147,74
7,Liverpool,91.5,95,98,96,6,14.6,95,8,137,82
8,Birmingham,89.0,99,92,98,5,17.7,95,8,175,72
9,Brunel,88.4,93,93,93,8,14.4,95,7,146,73
10,Portsmouth,86.6,96,97,94,,11.4,88,4,140,83
11,Coventry,85.4,94,94,95,6,13.1,90,7,133,79
12,Aston,85.0,94,92,96,8,19.0,98,6,147,88
13,Oxford Brookes,84.0,88,88,95,5,15.5,95,9,132,74
14,Worcester,83.3,99,100,93,3,18.0,81,7,139,91
15,Exeter,83.2,93,95,93,4,19.7,96,6,175,74
16,UEA,82.7,93,91,92,4,15.7,96,8,179,66
17,Sheffield Hallam,80.6,93,88,95,4,19.1,91,7,141,85
18,UWE Bristol,80.1,94,94,94,5,17.8,94,7,139,80
19,Huddersfield,79.7,91,90,88,4,18.1,96,9,127,87
20,Manchester Met,78.8,91,91,92,4,12.0,87,4,159,79
20,Robert Gordon,78.8,95,98,98,4,19.1,93,3,169,80
22,Glynd?r,77.7,98,90,85,,15.4,84,7,,89
22,Teesside,77.7,94,91,92,6,16.3,93,3,145,84
24,Cardiff,77.3,85,80,94,10,11.3,96,3,154,68
24,Northampton,77.3,83,81,91,6,15.8,91,10,136,76
26,King's College London,76.7,90,94,98,7,20.4,86,8,171,65
26,Reading,76.7,89,86,,8,16.6,88,7,171,68
28,Suffolk,75.9,90,90,97,4,19.5,95,4,129,86
29,Essex,74.9,95,99,93,8,16.0,86,10,103,85
30,Brighton,74.8,91,86,97,4,18.3,98,7,131,71
31,Sunderland,74.0,84,75,,5,10.9,,8,,64
32,City,73.7,95,92,89,8,17.7,89,4,140,87
33,Dundee,72.7,96,92,99,7,25.1,97,4,191,70
34,Warwick,71.6,88,82,,,,82,7,161,78
35,Southampton,71.1,86,77,93,7,15.7,97,5,153,70
36,Leeds,70.6,91,84,89,10,16.2,100,2,164,74
37,Plymouth,69.3,89,86,93,5,20.0,95,5,154,76
38,Sheffield,68.2,93,76,97,9,17.2,89,5,146,65
39,Manchester,66.6,88,79,96,10,12.8,93,1,156,70
39,Swansea,66.6,94,88,94,6,14.8,,7,139,71
41,London South Bank,65.8,83,76,89,4,14.5,96,6,123,76
42,East London,65.6,87,86,88,6,12.6,,6,113,72
43,Bradford,65.5,89,89,94,4,17.0,92,4,137,68
44,Cardiff Met,65.3,87,86,91,5,15.3,88,7,131,73
45,Salford,64.9,91,88,90,3,15.1,85,4,136,79
46,Surrey,64.3,90,87,94,7,21.6,81,7,154,76
47,Derby,62.8,86,87,90,6,14.0,87,3,138,79
48,Kingston - St George's University,62.4,82,78,92,10,13.0,94,5,141,54
49,Glasgow Caledonian,61.8,84,84,97,3,20.4,92,3,180,63
50,Lincoln,60.7,91,92,94,5,15.5,77,4,132,75
51,Bournemouth,60.3,88,79,91,8,19.3,89,6,130,82
52,Hertfordshire,60.1,89,86,94,4,15.9,91,3,132,67
53,Canterbury Christ Church,59.8,86,77,90,3,16.5,97,7,108,65
54,Queen Margaret,58.5,84,75,95,3,16.4,87,4,160,67
55,Cumbria,56.8,79,76,91,2,19.6,93,6,139,65
56,De Montfort,56.4,88,89,89,4,17.6,89,4,121,80
57,Ulster,55.4,84,82,97,3,18.1,86,4,141,67
58,Birmingham City,54.6,85,77,89,7,15.2,89,3,137,73
59,Anglia Ruskin,54.4,90,87,90,7,18.4,86,4,111,77
60,Liverpool John Moores,53.9,86,85,97,7,17.7,81,2,143,65
61,Greenwich,53.3,88,81,,3,23.7,97,7,126,65
61,Newman,53.3,85,82,,3,17.0,,,118,65
63,Central Lancashire,52.1,88,90,88,4,20.2,83,8,124,77
64,St Mark and St John,50.5,89,82,95,2,21.3,,,125,62
65,Leeds Beckett,48.6,86,85,92,3,16.1,81,6,113,68
66,York St John,46.5,84,79,92,4,14.1,82,2,132,70
67,Chester,43.6,89,79,88,3,10.4,71,7,107,60
68,Wolverhampton,43.0,84,80,,4,23.4,,,144,72
69,Middlesex,42.3,80,75,88,9,13.7,69,3,120,68
70,West of Scotland,38.3,84,94,91,4,21.6,86,2,135,72
71,Staffordshire,37.2,80,76,,6,17.8,,1,102,71
72,Trinity Saint David,34.7,73,65,,2,19.7,,4,,69
