Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,96,96,99,10,13.6,84,7,211,79
2,Durham,96.7,97,93,99,4,14.6,88,7,208,85
3,Oxford,94.4,94,93,100,10,11.7,84,7,208,63
4,St Andrews,93.4,97,95,98,5,13.6,76,7,196,85
5,Suffolk,85.1,97,94,,10,14.7,,7,100,88
6,Leeds,84.8,97,94,98,8,16.9,76,8,170,83
7,Lancaster,84.2,96,97,94,7,13.6,81,6,160,85
8,Lincoln,82.7,95,97,97,6,15.7,71,7,124,88
9,UCL,81.4,93,86,96,8,12.5,74,8,186,68
10,Nottingham,81.0,94,94,98,6,16.3,82,8,165,76
11,Liverpool John Moores,80.1,96,96,94,5,16.7,64,8,129,91
12,Warwick,79.9,94,91,97,6,16.0,74,7,176,81
13,Loughborough,79.4,94,96,98,5,17.6,75,6,150,87
14,Exeter,79.2,94,91,98,3,19.0,76,7,182,81
15,Sussex,78.8,91,91,96,8,14.4,83,8,141,71
16,Royal Holloway,78.4,96,96,98,5,16.8,71,8,139,82
17,Birmingham,78.2,95,90,97,6,17.0,79,8,163,77
17,Huddersfield,78.2,97,100,94,3,14.4,70,7,112,92
19,Manchester,78.0,93,89,96,8,12.8,71,7,162,75
20,King's College London,76.7,94,86,95,6,15.1,73,7,163,73
20,UEA,76.7,97,95,97,4,17.2,67,8,147,78
22,De Montfort,75.7,97,93,93,4,12.9,76,4,111,86
23,Brunel,75.4,93,94,91,3,14.6,70,8,121,86
24,York,75.2,91,85,97,5,19.0,80,7,173,82
25,Queen Mary,74.4,92,91,96,7,14.4,66,7,147,72
26,Southampton,74.0,96,93,98,4,21.1,71,9,151,78
27,London School of Economics,73.8,90,85,98,8,19.7,77,7,188,69
28,Keele,73.5,92,94,96,4,13.3,79,7,122,76
29,Teesside,72.7,96,93,84,4,13.6,83,4,98,89
30,Hertfordshire,72.2,93,91,93,6,12.3,68,6,107,76
31,Kent,72.1,92,91,97,4,20.6,81,8,136,79
32,Essex,72.0,93,89,93,7,15.3,72,7,106,80
33,Swansea,71.7,94,93,93,6,15.9,66,5,132,81
34,Northumbria,71.6,93,93,96,5,16.3,63,7,127,83
34,Sheffield,71.6,93,92,98,4,20.2,80,8,159,75
36,Glasgow,71.5,96,94,94,6,20.2,64,7,186,76
37,SOAS,70.8,96,94,89,6,14.8,69,8,137,75
38,Hull,70.7,95,96,93,4,17.8,65,7,118,85
38,Reading,70.7,92,87,97,5,15.6,60,8,133,78
40,Derby,70.1,98,95,91,7,20.3,57,6,103,90
41,Dundee,70.0,98,90,89,5,15.5,,4,169,80
42,Bristol,69.5,92,82,98,6,19.8,75,8,190,63
43,Liverpool,69.3,94,88,96,7,14.5,59,6,141,84
44,Anglia Ruskin,68.5,98,96,94,8,20.1,46,7,96,81
45,Newman,68.4,96,95,,4,18.0,,3,108,92
46,Liverpool Hope,68.1,89,95,,3,13.2,,8,107,79
47,Queen's Belfast,68.0,92,93,94,6,12.4,50,6,148,74
48,Aberdeen,66.4,95,89,89,4,16.9,64,8,170,69
49,Stirling,66.2,94,90,90,4,14.1,53,5,165,82
50,Chichester,65.5,99,100,92,2,21.3,61,4,106,88
51,Aberystwyth,65.4,96,92,93,3,19.7,68,3,123,82
52,Oxford Brookes,65.3,91,92,95,7,15.1,53,7,129,77
53,Staffordshire,65.2,95,94,,5,17.3,,6,81,78
54,Roehampton,64.8,88,84,92,7,,,9,100,73
55,Newcastle,64.6,93,91,98,6,20.7,71,7,161,70
56,Bangor,63.9,96,95,90,2,18.2,64,3,126,83
56,Strathclyde,63.9,94,93,95,9,20.3,45,9,196,67
58,Bournemouth,63.8,97,87,,8,16.9,,,114,75
59,Trinity Saint David,63.5,97,87,88,2,15.8,,4,100,85
60,Salford,63.0,93,94,,8,20.1,,4,116,84
61,Portsmouth,61.8,94,95,89,6,16.2,71,4,107,79
62,Canterbury Christ Church,61.4,97,95,87,4,15.4,44,7,92,85
63,Plymouth,61.3,94,91,94,6,19.1,59,3,108,83
64,Leicester,60.3,90,85,95,6,20.6,72,8,132,69
65,UWE Bristol,60.2,91,89,89,6,17.9,51,8,116,80
66,Coventry,60.0,97,94,92,8,23.0,81,1,116,92
67,Birkbeck,59.1,96,94,,4,18.6,,4,95,83
68,Cardiff,57.9,91,85,97,6,20.7,59,6,149,73
69,Nottingham Trent,57.6,88,84,92,6,17.0,55,3,129,83
70,Edge Hill,57.2,94,94,91,3,13.6,56,1,115,84
71,Bishop Grosseteste,57.1,85,80,,2,11.8,,,94,79
72,Edinburgh,56.6,90,80,95,7,20.0,62,6,178,63
73,Brighton,56.3,77,72,90,4,13.1,,9,104,64
74,Manchester Met,56.1,93,91,93,4,21.0,60,3,117,80
75,Central Lancashire,55.4,89,88,86,4,17.8,60,7,113,80
76,"St Mary's, Twickenham",54.6,94,91,,2,20.6,,5,97,78
77,Westminster,54.5,84,87,91,,19.3,68,6,105,80
78,Northampton,54.1,98,93,89,7,15.4,64,1,104,80
79,Kingston,52.9,86,80,88,10,14.1,,3,100,74
80,South Wales,52.6,95,96,89,3,19.8,,2,121,84
81,Leeds Trinity,52.0,85,80,,4,12.6,,1,88,81
82,Greenwich,51.9,88,88,84,5,14.0,42,7,121,82
83,Chester,50.5,91,98,91,4,15.8,50,2,112,80
84,Leeds Beckett,50.0,94,94,88,4,19.4,48,4,98,80
85,Goldsmiths,49.0,92,83,88,4,21.7,48,6,124,77
86,Bath Spa,48.6,93,92,88,6,24.1,67,7,111,75
87,Winchester,45.7,91,90,93,2,19.4,45,5,107,71
88,East London,45.6,83,73,,5,14.0,,3,,64
89,Sheffield Hallam,41.8,93,78,94,6,19.7,35,2,108,74
90,Worcester,40.3,90,89,90,2,18.7,53,1,108,72
91,Wolverhampton,40.0,83,82,87,7,14.1,36,2,95,67
92,Highlands & Islands,39.9,88,85,88,9,,,1,123,74
93,Gloucestershire,39.0,82,77,,8,19.3,,2,114,59
94,York St John,38.5,88,89,90,3,24.2,45,3,104,82
95,Ulster,35.7,83,79,94,3,25.6,35,5,109,78
96,Sunderland,33.0,91,92,85,3,22.2,,1,94,72
