Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Warwick,100.0,94,91,,6,11.1,,8,167,81
2,Cambridge,98.6,96,96,,10,13.6,,5,195,79
3,Oxford,93.5,94,93,,10,11.7,,,210,63
4,UCL,93.4,92,85,96,6,12.5,75,6,183,68
5,St Andrews,90.7,97,97,,3,13.6,,2,188,86
6,SOAS,82.8,96,94,,7,9.9,,2,161,75
7,Glasgow,80.6,96,94,,4,14.2,,7,167,76
8,UEA,76.6,97,95,,3,17.2,,8,161,78
9,Birmingham,75.7,95,90,,7,14.2,,6,151,77
10,Courtauld Institute,74.4,98,93,96,8,18.3,65,4,171,75
11,Plymouth,73.5,94,91,,4,19.1,,10,114,83
12,Exeter,69.6,94,91,,2,19.0,,5,184,81
13,Leeds,69.3,94,92,94,6,17.0,65,6,169,81
14,Goldsmiths,67.9,92,83,88,5,13.2,,7,159,77
15,York,67.8,91,85,97,6,13.3,63,2,148,82
16,Nottingham,67.7,94,94,94,4,16.3,69,6,152,76
17,Sussex,67.1,91,91,,5,14.4,,7,144,71
18,Essex,65.2,93,89,,4,15.3,,,114,80
19,Edinburgh,59.8,90,80,97,9,15.6,65,6,162,63
20,Manchester,57.5,93,89,95,5,15.4,,3,155,75
21,Kent,55.2,92,91,,3,20.6,,7,135,79
22,Oxford Brookes,49.7,91,92,,5,15.1,,1,142,77
23,Bristol,49.5,92,82,94,4,19.8,,7,175,63
24,Brighton,36.1,77,72,,3,13.1,,,102,64
