Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Lincoln,100.0,99,98,89,4,21.6,85,4,120,95
2,Sunderland,98.2,99,100,91,,23.4,76,6,113,98
3,Bournemouth,92.5,80,81,90,10,14.4,75,8,124,74
4,Coventry,91.2,82,83,92,7,17.7,77,7,132,70
5,Surrey,88.6,79,87,94,8,25.5,52,9,167,71
6,Ulster,88.1,91,94,93,5,23.6,63,8,120,88
7,Birmingham,84.9,75,77,,10,16.0,,5,158,71
8,Derby,84.3,85,82,89,10,11.7,52,5,119,75
8,Oxford Brookes,84.3,83,93,91,,15.8,58,6,138,77
10,Westminster,84.0,83,85,90,6,22.7,66,5,138,79
11,Huddersfield,83.3,89,91,82,4,16.4,78,3,129,85
12,Winchester,82.9,86,92,,2,18.4,,9,116,78
13,Manchester Met,82.8,82,88,87,,10.6,62,4,128,75
14,Edinburgh Napier,82.7,79,86,93,5,17.4,52,9,151,75
15,Hertfordshire,82.1,86,92,93,4,19.3,63,4,122,78
16,De Montfort,80.0,77,78,,7,14.9,,6,120,80
17,Aberystwyth,79.0,92,88,,4,17.0,,,113,72
18,Sheffield Hallam,78.9,83,87,89,8,15.1,60,7,121,68
19,Portsmouth,78.1,72,75,,4,21.9,80,10,116,64
20,Queen Margaret,77.1,83,80,,3,13.4,71,4,124,68
21,Glasgow Caledonian,76.9,83,85,85,8,,46,,140,68
22,Plymouth,75.4,86,86,93,7,19.5,46,7,117,80
23,Anglia Ruskin,73.8,87,93,80,9,21.4,,6,,76
24,Cardiff Met,73.5,79,85,86,5,12.9,55,7,121,62
25,Arts University Bournemouth,73.1,88,84,,5,19.5,,4,118,78
26,Greenwich,72.3,78,80,86,4,21.0,58,6,130,77
26,West London,72.3,88,85,87,7,21.5,51,7,113,81
28,Suffolk,71.8,62,69,,9,16.8,,9,,65
29,Robert Gordon,71.0,88,88,89,2,19.9,52,8,140,68
30,Central Lancashire,69.7,77,81,83,4,24.5,63,6,140,79
31,South Wales,67.3,81,73,,3,17.7,52,5,,75
32,Chester,65.4,80,86,90,4,18.5,50,4,111,70
33,Liverpool John Moores,64.5,84,83,85,3,24.0,53,4,133,77
34,Chichester,64.4,78,84,,3,15.8,64,6,113,59
34,Salford,64.4,77,84,84,3,23.0,,7,125,67
36,Middlesex,64.2,81,89,87,7,18.8,,1,115,70
37,Brighton,63.9,84,84,85,3,19.7,50,3,121,76
38,Northampton,62.6,74,84,84,5,21.1,47,9,102,74
39,Leeds Beckett,62.3,83,83,83,3,19.4,60,3,119,73
40,West of Scotland,59.2,87,85,,6,36.3,54,3,143,78
41,"St Mary's, Twickenham",58.2,83,92,,4,20.8,,,96,76
42,Canterbury Christ Church,57.1,78,80,84,8,23.4,63,4,100,70
43,Trinity Saint David,56.4,84,91,81,2,17.6,46,1,100,83
44,London South Bank,56.3,78,75,84,5,19.9,38,6,108,69
45,London Met,51.3,79,78,83,4,22.2,52,3,99,64
46,East London,48.9,57,44,88,4,19.9,54,5,97,60
47,Bucks New University,44.1,78,71,86,7,19.9,37,1,111,72
48,Bedfordshire,36.1,72,71,77,5,25.0,43,5,86,64
