Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Sheffield,100.0,96,98,94,7,14.4,86,7,147,86
2,Oxford Brookes,92.3,99,100,,10,14.7,,8,121,87
3,Cardiff,84.6,90,94,97,6,17.6,69,8,152,77
4,Newcastle,84.5,93,95,,5,17.6,,,148,83
4,Stirling,84.5,90,89,92,4,14.3,,9,180,70
6,Kingston,82.7,86,86,,10,9.1,,6,115,74
7,Edge Hill,82.0,96,95,,3,15.9,,7,135,87
8,Lincoln,80.9,80,80,96,5,14.2,80,8,134,61
9,Strathclyde,79.9,88,75,93,2,13.0,,7,190,64
10,De Montfort,79.6,86,87,92,4,15.7,78,9,103,84
10,Northumbria,79.6,92,90,93,3,16.4,62,8,144,80
12,Nottingham Trent,79.3,90,90,89,5,15.5,75,5,140,83
13,Derby,78.6,95,95,,8,13.4,,4,114,87
14,Coventry,78.4,87,86,,9,16.8,,9,119,84
15,Goldsmiths,75.7,,,,5,13.7,,6,118,
16,London South Bank,75.1,89,93,,5,12.5,,,105,87
17,Solent,73.2,92,87,89,3,13.2,76,3,110,80
18,City,71.5,75,73,,4,17.2,,9,158,61
19,Bedfordshire,71.3,88,93,86,7,12.8,69,3,85,78
20,Liverpool John Moores,71.2,84,91,92,6,15.7,71,3,134,80
21,Leeds Beckett,70.4,88,90,87,3,12.9,65,7,106,82
22,Staffordshire,70.3,80,80,85,7,12.2,78,7,111,71
23,Edinburgh Napier,69.6,80,65,,5,15.9,69,8,160,58
24,Salford,68.8,91,90,86,3,20.9,82,6,128,86
25,East London,68.6,88,81,88,6,13.0,,3,106,80
26,University for the Creative Arts,68.2,87,86,88,8,15.6,58,5,101,85
26,Manchester Met,68.2,82,88,85,6,9.9,,7,115,76
28,Leeds,68.1,77,71,,8,17.8,,5,165,65
29,Leeds Trinity,68.0,74,67,91,4,15.3,69,8,98,77
30,UWE Bristol,67.8,82,86,86,10,13.1,69,7,110,66
31,Northampton,65.5,83,81,,7,16.5,,7,89,80
31,Sunderland,65.5,84,83,88,4,11.6,67,5,112,76
33,Central Lancashire,65.2,83,82,91,4,18.6,64,8,123,65
34,Sussex,64.5,83,77,,9,16.7,,,127,67
35,Bournemouth,63.1,73,71,88,7,16.9,77,9,125,58
36,Hertfordshire,62.5,82,85,,4,13.0,,5,112,80
37,Roehampton,62.0,94,95,89,4,18.4,,4,93,85
38,Portsmouth,61.5,86,90,89,7,20.0,70,,107,84
39,Robert Gordon,60.2,80,68,,4,18.3,53,7,155,70
40,Falmouth,59.9,89,83,,5,15.8,,3,111,69
41,Kent,59.6,82,77,,8,17.7,,2,135,62
42,South Wales,57.8,87,77,90,3,12.9,,3,120,73
42,Teesside,57.8,80,64,85,6,18.8,64,9,102,79
44,London Met,57.5,75,76,,3,14.3,,6,,83
45,Bath Spa,55.5,81,81,,5,23.0,,6,132,77
46,West London,55.1,81,76,,5,12.4,,5,,63
47,Sheffield Hallam,54.4,77,78,93,7,16.7,51,7,114,68
48,Worcester,54.1,83,82,,2,21.1,,7,103,73
49,Gloucestershire,53.7,87,89,,6,19.0,,2,115,77
50,Brighton,53.1,81,81,90,7,14.8,55,3,113,71
51,Westminster,51.5,65,65,87,8,14.0,58,8,127,48
52,Canterbury Christ Church,51.1,66,59,86,4,17.0,67,8,112,68
53,Ulster,50.2,77,85,93,3,21.1,57,3,123,73
54,Huddersfield,50.1,82,81,90,2,19.2,65,2,116,77
55,Chester,50.0,79,77,82,4,12.4,74,1,102,73
56,Anglia Ruskin,47.1,84,80,86,8,17.3,,1,,80
57,West of Scotland,46.8,77,67,,5,14.8,44,5,142,67
58,University of the Arts London,43.1,77,71,87,10,35.5,68,2,114,74
59,Brunel,39.1,70,57,,2,15.9,,1,110,63
60,Winchester,32.9,68,59,,2,17.9,55,7,100,44
61,Middlesex,32.8,66,64,85,10,18.8,49,3,114,61
