Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Oxford,100.0,91,86,96,10,10.1,90,6,228,74
2,St Andrews,97.4,94,96,98,4,15.2,88,7,233,79
3,Cambridge,97.2,95,93,99,10,15.2,87,3,241,82
4,Warwick,85.9,86,92,97,9,12.5,84,4,208,74
5,Lancaster,85.3,88,92,96,7,12.9,87,3,161,91
6,Greenwich,83.7,93,96,94,3,14.3,74,9,124,83
7,Loughborough,83.2,92,96,95,5,16.3,85,5,159,85
8,Durham,82.4,86,89,97,3,15.3,86,5,218,78
9,Liverpool John Moores,82.1,94,95,94,8,15.1,82,8,130,78
10,Central Lancashire,81.4,91,95,,7,,,7,135,90
11,Sussex,80.9,84,89,94,10,16.9,93,8,135,77
12,Essex,80.6,89,87,,4,10.8,86,5,116,83
13,Surrey,78.9,87,89,95,3,15.2,76,8,164,82
14,Bath,78.7,87,90,97,6,15.3,84,3,196,76
15,York,78.6,91,95,95,3,13.2,75,3,159,92
16,Nottingham,78.4,89,94,97,6,17.8,82,6,178,80
17,Edinburgh,78.3,86,86,93,9,14.8,82,5,197,80
17,South Wales,78.3,95,100,94,5,17.7,63,7,126,91
19,Leeds,78.1,85,88,96,8,12.3,80,5,170,78
20,UCL,78.0,77,78,97,9,14.6,86,6,202,67
21,Imperial College,77.9,82,78,92,10,11.9,85,6,225,59
22,Plymouth,77.2,94,100,96,4,15.4,,6,129,82
22,Southampton,77.2,84,91,94,5,12.2,83,5,170,77
24,UEA,76.7,86,94,91,4,11.6,78,8,149,76
25,Wolverhampton,75.8,92,92,,4,23.1,,10,103,86
26,Dundee,75.1,93,95,,7,16.5,,5,158,85
27,Portsmouth,74.8,86,91,90,5,12.1,75,9,107,74
28,Coventry,74.6,90,91,95,4,19.7,84,9,125,74
29,Stirling,74.4,89,90,,3,14.2,,6,161,77
30,Derby,74.0,91,88,,4,13.2,,10,95,67
31,Nottingham Trent,73.1,90,89,91,5,16.4,81,6,133,86
32,Birmingham,73.0,83,91,93,8,15.8,82,7,174,75
33,Glasgow,72.5,87,89,95,5,14.7,72,4,204,81
34,Swansea,71.1,83,92,86,5,13.7,89,7,138,77
35,Heriot-Watt,71.0,89,93,93,7,19.6,83,6,176,80
36,Bristol,70.0,86,81,96,7,14.0,72,4,194,69
37,Exeter,69.4,84,87,97,4,15.6,78,3,174,78
38,Brunel,69.1,81,85,94,3,13.2,72,9,115,81
38,Queen's Belfast,69.1,85,76,93,4,13.4,86,3,162,77
40,Manchester Met,68.7,88,94,91,4,15.7,64,8,119,86
41,Kent,68.0,80,81,95,3,14.6,90,6,136,71
42,Newcastle,67.9,89,93,95,4,15.1,69,3,158,81
43,UWE Bristol,66.2,90,94,89,7,16.7,71,9,120,84
44,Keele,66.1,92,97,94,2,20.5,70,5,130,90
45,Reading,66.0,83,87,93,10,13.7,74,3,132,82
46,Northumbria,65.4,88,88,91,2,16.2,72,9,136,68
47,Chester,64.0,90,82,94,3,20.7,87,7,111,76
48,Sheffield,63.5,84,92,96,3,19.7,91,2,156,77
49,London School of Economics,63.4,74,72,93,7,13.2,83,4,209,58
50,Manchester,63.1,86,87,93,6,19.8,77,5,184,69
51,Royal Holloway,62.2,84,98,93,5,12.5,64,5,138,82
52,Aberystwyth,60.3,96,88,92,2,16.8,80,1,125,91
53,Hertfordshire,60.1,89,87,92,5,17.7,78,5,102,73
54,Sheffield Hallam,59.4,86,86,94,6,19.4,76,7,114,66
55,Aston,56.6,85,80,92,6,14.1,68,4,130,71
56,London Met,56.4,79,84,,1,22.3,,10,75,88
57,Cardiff,53.8,86,90,92,6,15.5,63,3,163,74
57,Leicester,53.8,71,87,92,7,15.4,73,5,135,70
59,Kingston,53.7,73,73,,9,11.7,59,8,89,76
60,King's College London,52.7,74,70,90,8,15.5,77,2,162,71
61,City,51.6,87,87,86,3,17.3,,3,122,82
62,Strathclyde,50.2,88,92,88,2,23.4,82,3,190,72
63,Brighton,47.5,84,84,92,3,17.1,68,2,106,63
64,Queen Mary,43.4,76,78,94,5,16.4,63,2,138,72
65,Liverpool,39.6,74,81,92,5,23.2,69,5,140,73
66,Hull,35.1,73,71,,2,20.3,,1,121,73
