Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Queen Mary,100.0,97,95,,10,10.1,,7,138,80
2,Warwick,99.2,91,86,,8,8.9,,9,164,74
3,Exeter,98.6,93,88,,3,18.0,,,184,95
4,Loughborough,98.1,89,93,92,10,,86,5,157,77
5,Southampton,90.4,91,85,94,7,,73,8,151,77
6,Leeds,90.0,89,81,96,8,17.8,76,7,166,79
7,Cardiff,89.3,91,95,98,6,17.6,,9,147,80
8,Stirling,88.4,96,92,94,4,14.3,54,8,170,76
9,Lancaster,86.7,90,95,,10,12.9,,3,148,86
10,Kent,86.2,97,87,95,8,17.7,56,9,136,77
11,Swansea,85.4,92,93,92,5,15.9,,9,132,85
12,Leicester,85.0,78,85,95,8,12.6,,9,129,73
13,Newcastle,84.0,93,95,93,5,17.6,,6,153,83
14,Sunderland,83.6,90,86,90,4,11.6,67,9,112,76
15,Solent,83.5,85,84,93,3,13.2,61,8,118,68
16,Goldsmiths,82.2,87,80,90,5,13.7,58,8,143,73
17,Westminster,82.0,77,68,96,8,14.0,70,8,127,61
18,King's College London,81.8,93,78,88,8,11.4,,6,167,63
19,Chichester,81.4,93,90,90,4,13.8,,9,117,70
20,UEA,81.2,87,68,97,3,15.1,77,5,144,68
21,Leeds Trinity,78.9,89,87,87,4,15.3,57,10,103,84
22,Coventry,78.4,77,77,95,8,16.8,73,8,126,72
23,West of Scotland,75.2,79,74,,5,14.8,,7,162,70
24,Lincoln,74.9,75,80,95,5,14.2,67,6,130,65
25,Edinburgh Napier,74.6,72,65,,5,15.9,49,,174,68
26,Bath Spa,74.5,82,75,93,5,23.0,56,10,121,81
27,UWE Bristol,74.4,93,88,90,9,13.1,45,4,105,79
28,Liverpool Hope,74.2,94,95,,2,15.2,,5,101,84
29,Oxford Brookes,73.8,82,80,92,9,14.7,63,3,126,74
30,Royal Holloway,72.7,80,71,93,7,16.4,,5,143,79
31,Falmouth,72.5,86,80,90,5,15.8,68,5,120,72
32,Bournemouth,72.2,84,79,95,7,16.9,49,7,130,69
32,Kingston,72.2,83,82,93,10,9.1,36,6,107,65
34,Sheffield Hallam,71.9,84,74,92,7,16.7,52,9,124,65
35,London South Bank,70.6,88,84,,5,12.5,,3,106,87
35,Portsmouth,70.6,89,88,89,7,20.0,71,6,104,76
37,Cumbria,70.5,94,88,,3,16.9,,,105,91
38,Sussex,70.2,85,83,92,8,16.7,74,2,135,69
39,Northampton,69.7,74,82,89,6,16.5,,9,103,71
40,Liverpool John Moores,69.1,76,73,93,6,15.7,51,5,140,74
41,York St John,68.6,89,86,93,4,16.6,29,8,107,81
42,Bangor,68.4,95,93,91,2,19.3,47,3,126,84
43,De Montfort,68.2,80,78,88,4,15.7,77,4,114,69
44,Birkbeck,68.1,91,83,,4,14.0,,5,83,74
45,Manchester Met,67.9,78,75,88,6,9.9,51,3,133,70
46,Brunel,67.6,87,88,,2,15.9,,4,110,71
47,Northumbria,66.9,87,80,90,3,16.4,32,3,147,81
48,Nottingham Trent,66.1,84,85,90,4,15.5,61,2,126,78
49,Bradford,65.7,76,65,,,14.4,,5,129,72
50,Robert Gordon,64.5,82,73,,4,18.3,56,4,157,67
51,Salford,63.9,81,75,88,3,20.9,57,8,135,72
52,East London,63.3,87,79,84,6,13.0,43,4,102,74
53,Central Lancashire,62.9,70,67,90,4,18.6,,8,,64
54,Hull,62.8,81,75,,8,14.2,,3,111,63
55,Derby,62.7,85,82,87,7,13.4,,2,112,75
56,Keele,62.4,84,84,,4,19.5,,2,128,72
56,Leeds Beckett,62.4,86,92,86,3,12.9,36,8,102,76
58,Staffordshire,62.3,77,73,86,7,12.2,,8,97,79
59,Liverpool,62.2,87,90,94,5,21.6,,2,135,74
60,Winchester,62.1,86,77,92,2,17.9,53,6,117,65
61,Wolverhampton,60.1,68,75,85,10,12.2,,,90,68
62,Gloucestershire,59.9,68,58,92,6,19.0,50,9,114,62
63,Middlesex,59.4,78,74,86,9,18.8,50,6,112,67
64,Teesside,59.0,78,70,,6,18.8,,,88,81
65,City,58.9,80,71,,4,17.2,,3,125,65
66,South Wales,58.1,73,62,89,3,12.9,41,7,124,63
67,Canterbury Christ Church,57.4,80,87,84,4,17.0,50,6,98,74
68,Huddersfield,56.5,76,81,88,2,19.2,67,3,119,66
69,"St Mary's, Twickenham",56.4,76,65,90,3,16.7,,6,106,58
70,London Met,55.6,78,79,78,3,14.3,60,2,97,83
71,Bedfordshire,54.9,78,79,78,7,12.8,50,8,80,63
