Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,92,84,100,10,10.1,80,7,206,75
2,Oxford,99.7,92,87,97,10,8.7,82,7,210,70
3,Surrey,96.3,98,97,,5,,,7,165,97
4,Durham,96.1,95,89,98,4,12.6,92,7,194,79
5,St Andrews,94.3,92,91,97,7,8.9,76,6,194,79
6,Warwick,91.1,95,91,96,5,9.9,78,8,169,81
7,Leicester,88.6,88,98,97,8,10.3,73,8,136,83
8,Aberystwyth,88.1,98,97,95,7,10.1,82,3,132,81
9,Bristol,86.9,90,85,96,7,9.4,76,7,170,80
10,Dundee,86.3,95,97,,3,13.2,,,189,87
11,Lancaster,85.5,92,89,94,7,10.7,81,6,154,76
12,UCL,85.3,88,78,96,10,6.8,70,7,176,68
13,Sussex,84.3,89,90,,7,7.9,,5,146,77
14,Newcastle,84.1,92,87,97,5,13.7,74,7,172,80
15,King's College London,83.8,92,89,94,9,10.3,79,4,163,78
16,Bath,83.5,89,87,96,5,12.0,81,7,165,74
16,Exeter,83.5,94,91,96,3,13.9,81,4,174,82
18,Leeds,83.4,90,89,94,7,10.4,78,6,162,77
19,Birmingham,83.1,92,83,96,6,12.7,81,6,163,83
20,Bangor,82.8,97,97,95,2,11.6,74,1,139,94
21,Cardiff,82.6,87,86,97,8,8.7,70,7,149,78
22,Aston,81.5,96,95,93,4,16.6,,8,130,87
23,Portsmouth,81.3,96,94,92,8,11.6,66,7,107,89
24,Southampton,81.2,95,95,95,6,,80,7,155,73
25,Manchester,81.0,88,80,92,8,9.6,77,7,154,74
26,Nottingham,80.9,83,76,94,5,9.0,78,8,150,73
27,Liverpool,80.3,92,93,,7,8.9,69,6,138,86
28,Coventry,79.9,96,100,,6,19.6,,,120,93
29,Kent,78.9,93,92,95,4,19.2,85,8,129,77
30,Glasgow,78.7,91,87,92,4,15.5,76,6,207,76
31,Sheffield Hallam,78.6,87,87,96,5,15.1,,10,107,74
32,Chester,78.1,92,93,90,4,11.4,77,8,109,86
32,London Met,78.1,86,74,,2,11.2,,4,,82
34,Reading,77.3,92,86,93,5,10.4,68,8,125,72
35,Queen's Belfast,76.8,91,86,94,5,14.7,71,6,151,84
36,Swansea,75.9,83,83,96,4,15.9,84,9,115,74
37,Edinburgh Napier,75.6,86,81,,4,15.5,,,159,87
38,Queen Mary,74.9,95,93,91,10,10.1,60,4,127,80
39,Nottingham Trent,74.8,89,89,92,6,7.1,61,4,121,81
40,York,74.2,95,87,95,3,9.9,77,2,147,70
41,Roehampton,73.7,88,85,,3,10.9,,7,104,68
42,Sheffield,72.9,86,82,92,4,12.0,74,5,149,74
43,Ulster,72.5,87,85,94,9,11.8,,5,121,73
44,Edinburgh,71.4,89,76,96,7,14.6,68,5,174,67
45,Hertfordshire,70.8,87,94,,4,9.5,,2,113,80
46,Westminster,70.7,82,72,90,4,9.5,65,9,111,73
47,UEA,70.0,87,86,,4,13.4,64,6,138,82
48,Essex,69.4,71,81,91,8,13.0,82,8,112,63
49,Stirling,69.2,86,86,90,2,13.1,,2,166,82
50,Manchester Met,68.7,91,95,92,4,8.6,60,1,122,86
51,SOAS,68.3,89,85,87,6,11.1,67,5,147,72
52,Central Lancashire,68.2,86,85,94,5,18.5,73,8,120,69
53,Royal Holloway,67.6,86,76,91,4,8.2,62,5,137,73
54,Aberdeen,66.7,85,77,86,3,12.0,,8,179,57
55,Strathclyde,65.6,88,87,93,2,17.5,,1,206,75
56,Heriot-Watt,64.9,86,76,91,8,12.1,82,1,183,58
57,Brighton,63.0,83,83,,3,13.1,,,103,64
58,Hull,62.8,84,80,95,4,14.1,75,1,118,72
59,Birkbeck,59.8,81,79,79,3,11.2,,3,,75
60,Oxford Brookes,59.1,86,82,90,3,20.6,,4,132,85
61,York St John,54.3,91,90,95,3,16.5,48,2,109,71
62,Huddersfield,38.7,72,53,,3,16.7,,,116,41
