Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Durham,100.0,91,88,100,5,10.2,92,4,213,82
2,Surrey,98.4,97,96,93,9,11.1,83,5,181,85
3,Guildhall School of Music and Drama,97.9,89,86,98,7,,94,9,153,74
4,Bristol,96.6,94,91,100,6,12.6,71,6,191,86
5,Teesside,96.3,94,96,,10,10.6,,,110,92
6,Royal Academy of Music,95.7,92,92,98,7,9.8,94,8,135,73
7,Nottingham,94.4,97,86,98,5,15.4,79,9,167,86
8,Birmingham,92.7,97,96,96,10,12.9,87,7,193,70
9,Brunel,92.3,96,93,,5,11.5,,7,134,91
10,Manchester,89.3,93,90,99,6,14.9,79,5,210,73
11,Oxford,89.0,97,93,99,10,17.7,73,8,199,63
12,Leeds,88.9,92,89,97,6,13.3,84,6,188,77
13,Southampton,88.5,89,86,96,5,9.1,85,7,168,73
14,York,87.8,95,93,98,7,17.9,79,6,167,89
15,Royal Northern College of Music,87.2,88,89,96,4,11.2,92,8,124,78
16,Royal College of Music,86.6,86,86,99,10,9.8,88,6,126,74
17,Birmingham City,85.9,97,92,91,10,9.2,73,2,135,87
18,Edinburgh,85.1,95,84,,6,13.8,,5,213,77
19,Royal Holloway,84.6,88,89,97,6,12.6,68,7,191,74
20,Cardiff,84.2,96,95,97,8,14.0,63,6,170,78
21,West London,83.8,92,87,85,,8.9,67,9,130,80
22,Newcastle,83.7,92,86,89,5,13.5,83,8,170,74
23,Bangor,83.4,99,100,97,2,12.0,67,3,140,87
24,Cambridge,82.9,80,59,99,10,17.8,95,6,203,55
25,Queen's Belfast,82.2,89,90,93,6,13.4,60,9,159,82
25,Salford,82.2,89,92,86,3,13.1,58,9,141,85
27,Ulster,82.1,97,94,,3,10.6,42,9,131,88
28,City,82.0,95,87,,6,7.8,,3,163,74
29,Sheffield,81.8,92,94,,7,12.0,68,8,146,76
30,Huddersfield,80.1,92,91,89,7,13.2,79,6,124,84
31,Gloucestershire,76.2,96,95,,5,22.0,,9,129,81
32,Royal Welsh College,76.0,79,75,94,,8.0,93,6,118,62
33,Glasgow,74.8,88,83,95,4,14.4,,3,208,70
33,Northampton,74.8,95,86,,4,20.4,,9,103,74
35,Bath Spa,74.2,91,87,95,3,23.0,75,7,133,80
35,Trinity Laban Conservatoire,74.2,83,72,94,7,8.9,80,7,117,52
37,The Liverpool Institute for Performing Arts,73.7,82,86,95,2,15.2,83,4,130,77
38,Kent,73.5,82,70,90,5,15.4,,9,125,75
39,Sussex,73.1,84,69,91,3,15.4,,9,149,77
40,Chester,72.4,96,89,84,3,14.6,,5,137,79
41,Royal Conservatoire of Scotland,72.1,76,71,95,6,9.4,92,3,159,59
42,Coventry,71.9,91,77,89,6,,73,6,109,78
42,Leeds Beckett,71.9,87,86,,3,16.1,,8,127,73
44,London Met,71.4,88,70,,2,14.3,,8,,77
45,King's College London,71.0,94,85,,6,11.4,69,3,169,65
46,Keele,70.8,85,74,93,4,10.1,,4,122,75
47,Sunderland,70.7,96,86,,7,19.5,68,,130,88
48,Edge Hill,70.2,89,88,82,4,13.4,,,136,76
49,Edinburgh Napier,69.6,90,87,87,4,11.9,72,2,181,82
50,Central Lancashire,68.4,87,81,82,10,16.3,72,6,108,75
50,Liverpool Hope,68.4,92,81,,2,11.6,,2,119,80
52,Aberdeen,68.3,89,90,,4,19.9,75,4,189,60
53,Liverpool,68.0,91,89,92,4,12.8,,5,149,72
53,Oxford Brookes,68.0,80,75,,5,8.0,,4,141,64
55,Chichester,67.5,89,78,93,4,13.3,54,4,137,79
56,Cumbria,66.3,84,76,,4,19.5,,9,135,67
56,UWE Bristol,66.3,97,94,76,7,24.4,77,6,133,91
58,Hull,66.0,86,89,90,6,14.2,55,4,136,70
59,Winchester,65.7,81,77,,2,12.4,,,126,71
60,Goldsmiths,65.3,83,76,89,5,15.1,70,9,132,59
61,Middlesex,65.0,84,78,78,8,12.6,,6,120,77
62,Staffordshire,64.7,93,81,,3,14.1,,,111,65
63,Plymouth,64.5,80,71,,7,15.2,70,6,126,69
64,Brighton,63.6,84,71,,3,21.2,,,112,72
65,Falmouth,62.7,91,85,87,6,19.7,79,2,109,82
66,Derby,61.8,93,92,,5,13.4,,1,,78
67,St Mark and St John,61.5,91,85,85,9,,,3,111,72
68,Manchester Met,60.2,83,85,87,4,11.5,56,3,125,75
69,Westminster,58.4,71,73,92,2,12.7,54,6,112,66
70,De Montfort,54.6,82,78,81,3,19.5,80,2,109,78
71,London South Bank,52.9,71,57,,4,16.9,,,109,75
72,Solent,52.8,88,81,87,3,18.1,42,3,111,76
72,York St John,52.8,80,82,89,4,8.8,59,1,109,64
74,South Wales,52.7,73,67,84,7,15.2,43,5,125,74
75,Canterbury Christ Church,51.9,74,73,86,3,13.5,54,3,110,73
76,Anglia Ruskin,48.5,72,60,83,6,14.1,44,7,108,64
77,Hertfordshire,48.4,85,84,85,3,27.6,64,6,120,69
78,Wolverhampton,48.0,88,76,86,4,28.9,49,4,112,77
79,East London,41.8,64,52,89,,14.9,,2,119,55
80,Kingston,41.3,70,67,86,8,16.6,50,2,108,67
81,West of Scotland,36.6,75,66,83,3,24.4,60,3,157,62
