Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Edinburgh,100.0,97,100,,9,11.7,,8,185,80
2,Swansea,83.4,92,92,92,6,14.8,100,9,150,82
3,Glasgow,81.7,96,96,95,10,14.5,,3,201,77
4,Queen Margaret,81.5,100,99,,3,16.4,100,5,165,91
5,Liverpool,77.4,92,92,95,6,14.6,100,9,140,81
6,Essex,77.1,92,89,,8,16.0,99,7,124,82
7,Coventry,74.3,95,95,93,6,13.1,99,6,141,76
8,Huddersfield,73.0,90,89,91,4,18.1,99,9,135,80
9,Liverpool John Moores,71.4,89,91,93,6,17.4,99,9,145,71
10,Keele,71.0,91,89,94,5,14.8,100,2,146,81
11,Derby,70.7,87,81,92,6,14.0,100,8,139,71
12,Northumbria,69.5,86,86,93,4,16.4,99,8,146,75
13,UEA,69.3,87,84,89,4,15.7,100,9,160,63
14,Bradford,68.8,90,88,90,4,17.0,97,10,149,79
15,Leeds,67.9,88,83,94,10,16.2,100,4,163,72
16,Northampton,66.9,86,84,91,6,15.8,98,9,129,78
17,Bolton,66.6,93,86,89,8,17.4,,,125,85
18,Birmingham City,65.9,93,88,89,7,15.2,99,4,151,78
19,South Wales,65.7,91,93,94,4,20.8,99,4,146,85
20,Bangor,63.7,82,82,90,3,15.9,100,2,158,80
21,Oxford Brookes,63.4,85,81,92,5,15.5,99,5,130,75
22,Chester,62.5,86,86,92,6,18.5,99,5,137,83
23,West London,62.3,94,92,92,5,18.1,96,6,133,86
24,Manchester Met,62.2,94,94,91,4,12.0,99,1,130,79
25,York,61.7,90,82,90,10,10.4,95,4,150,66
26,Anglia Ruskin,61.0,86,81,92,7,18.4,98,9,124,74
27,Cardiff,60.8,73,65,91,,12.7,97,8,148,71
28,City,60.6,92,89,91,8,17.7,98,3,142,83
29,Edge Hill,59.6,90,91,91,4,14.4,95,6,132,85
30,Nottingham,59.2,78,74,92,6,14.9,98,8,143,71
31,Worcester,59.0,92,88,95,3,18.0,98,5,130,78
32,Surrey,58.7,88,86,87,7,21.6,99,9,148,70
33,Teesside,57.5,89,86,92,6,16.3,98,3,131,77
34,Ulster,56.5,86,85,94,3,18.1,99,2,138,75
35,Queen's Belfast,56.3,92,91,96,5,21.9,98,7,137,69
36,Kingston - St George's University,56.2,77,78,93,10,13.0,99,4,123,52
37,UWE Bristol,55.7,85,87,94,5,17.8,99,4,125,69
38,Abertay Dundee,55.2,77,76,89,2,15.9,100,,,69
39,Leeds Beckett,55.1,89,87,88,3,16.1,98,5,136,75
40,Lincoln,54.6,75,72,93,5,15.5,100,4,139,62
41,Manchester,53.4,76,71,92,10,12.8,97,6,149,58
42,Hertfordshire,53.0,86,84,93,4,15.9,100,1,131,71
43,London South Bank,52.6,84,85,90,4,14.5,99,4,121,67
44,Plymouth,52.3,86,76,92,5,20.0,98,7,142,63
45,Bournemouth,52.2,85,84,90,8,19.3,98,7,122,75
46,Sheffield Hallam,51.7,86,82,93,4,19.1,98,6,139,68
47,De Montfort,51.6,85,81,91,4,17.6,100,2,126,77
48,Bedfordshire,51.5,83,76,91,6,17.2,99,9,119,60
49,Middlesex,51.3,82,73,86,9,13.7,,8,133,68
50,Salford,50.3,82,83,92,3,15.1,98,2,136,69
51,Canterbury Christ Church,49.9,89,83,87,3,16.5,99,5,117,72
52,Stirling,49.0,85,80,91,3,17.1,99,,126,63
53,Southampton,47.9,64,49,93,7,15.7,100,8,136,56
54,Glasgow Caledonian,46.9,85,82,87,3,20.4,100,4,141,74
55,Staffordshire,46.7,84,74,87,6,17.8,99,2,126,72
56,Hull,46.6,89,82,89,3,17.7,97,2,135,78
57,Greenwich,45.2,88,81,94,3,23.7,97,7,118,65
58,Birmingham,44.6,94,91,92,5,17.7,91,4,151,71
59,Central Lancashire,44.2,81,78,92,4,20.2,97,5,131,64
60,Brighton,42.6,83,70,94,3,18.3,98,4,129,69
61,Wolverhampton,42.4,86,82,90,4,23.4,94,8,125,72
62,King's College London,41.9,79,73,93,7,20.4,97,6,148,58
63,West of Scotland,39.2,92,88,84,4,21.6,97,,111,75
64,Edinburgh Napier,38.6,83,77,88,4,18.0,98,,107,68
65,Dundee,37.4,91,89,91,7,25.1,98,,124,66
66,Suffolk,36.2,67,58,89,4,19.5,100,4,122,66
67,Bucks New University,33.4,85,82,92,7,19.4,90,8,126,63
68,Robert Gordon,32.1,79,69,86,3,19.1,99,5,122,65
69,Cumbria,28.6,77,76,87,2,19.6,98,2,128,66
