Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Bristol,100.0,99,99,,8,13.7,,4,175,93
2,Ulster,94.0,92,94,,3,13.0,,9,153,86
3,Nottingham,91.5,89,89,99,8,13.8,97,9,174,70
4,Queen's Belfast,84.5,88,91,96,6,12.3,100,6,163,69
5,Liverpool,80.8,97,96,,9,6.9,,1,149,81
6,Cardiff,80.2,90,86,97,8,13.4,99,5,166,67
7,Birmingham,78.4,96,94,96,6,17.2,,7,155,78
8,Robert Gordon,77.0,87,92,95,3,19.2,100,7,187,74
9,Leeds,76.6,95,93,,4,13.1,,4,162,72
10,Kingston,75.6,85,91,95,3,14.8,97,9,125,75
11,Reading,75.5,86,91,93,7,16.7,100,8,132,74
12,Liverpool John Moores,75.2,88,92,96,4,15.5,99,8,138,68
13,Aberdeen,72.5,95,98,,6,17.4,,2,173,76
14,Manchester,71.0,88,82,97,10,10.2,95,4,159,60
15,UEA,70.9,89,90,94,6,13.6,98,3,164,81
16,Keele,70.8,94,92,96,4,17.1,97,2,146,80
17,Lincoln,69.5,80,78,98,7,10.2,,,118,62
18,Brighton,69.4,84,76,98,3,23.3,99,10,128,58
19,Central Lancashire,69.3,71,66,97,4,11.7,99,8,147,40
20,Aston,68.9,92,93,97,4,18.6,97,6,136,76
21,De Montfort,67.8,84,82,96,4,18.3,100,8,117,67
22,Medway School of Pharmacy,66.8,86,86,96,6,22.2,100,8,,66
23,Hertfordshire,66.1,95,95,95,4,14.1,95,4,114,80
24,Bath,64.9,88,87,96,5,16.3,96,4,161,68
25,Edinburgh,63.5,81,79,,10,9.0,,2,,51
26,Strathclyde,62.8,85,85,,6,21.3,94,6,215,65
27,Queen Margaret,61.5,88,87,,2,,,6,135,77
28,Glasgow,60.4,91,88,,8,17.8,92,2,208,68
29,UCL,59.6,82,76,95,8,15.3,94,5,176,56
30,Huddersfield,57.6,88,86,88,4,17.9,97,7,128,82
31,Portsmouth,53.2,82,74,97,6,10.8,93,6,121,51
32,Wolverhampton,50.9,77,81,91,3,21.0,97,6,135,62
33,Bradford,50.0,76,66,97,4,16.7,96,7,130,56
34,King's College London,45.7,87,85,98,4,23.1,91,4,159,56
35,Sunderland,39.0,83,75,89,3,17.8,96,5,131,49
36,London Met,34.8,81,84,,2,23.3,,,102,72
37,East London,33.8,90,86,,3,26.1,,1,91,75
