Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,91,87,99,10,12.0,92,6,208,74
2,St Andrews,93.4,97,100,96,5,10.2,,5,191,88
3,Oxford,89.3,91,86,99,10,11.1,85,6,214,61
4,UWE Bristol,76.0,100,100,86,5,18.7,,10,121,89
5,Durham,73.7,91,81,97,4,14.6,80,8,191,78
6,Southampton,65.5,95,92,94,4,13.1,73,6,151,80
7,Birmingham,63.9,93,83,96,4,16.4,89,4,155,81
8,Sussex,61.5,93,93,93,3,18.8,89,8,144,74
9,Bristol,59.4,91,87,97,4,15.9,73,7,186,65
9,Central Lancashire,59.4,99,91,,4,17.8,,,107,92
11,Lancaster,56.8,96,98,,6,10.6,,3,144,72
12,Oxford Brookes,56.7,93,87,91,8,17.6,62,9,121,76
13,Nottingham Trent,55.6,95,88,,5,16.5,,7,127,83
14,Hertfordshire,54.9,94,94,,7,9.9,,,108,82
14,London School of Economics,54.9,87,80,,6,16.8,,6,196,67
16,King's College London,54.3,93,82,96,6,14.4,58,7,176,71
17,UEA,53.5,92,83,91,4,12.2,,8,137,71
18,Essex,53.4,95,92,87,7,15.9,,8,109,75
19,Manchester,52.8,90,91,97,6,18.1,73,4,163,78
20,Anglia Ruskin,52.7,92,91,,7,19.1,,6,87,89
21,Nottingham,52.4,89,89,95,4,17.3,70,6,146,77
22,UCL,51.3,83,73,95,10,19.6,83,8,190,52
23,Leeds,51.0,92,88,92,8,12.0,65,3,160,79
24,Kent,50.6,94,95,92,4,20.5,77,7,119,80
25,Birkbeck,49.9,97,96,,4,11.5,,4,101,79
26,York,47.3,93,94,94,4,18.1,82,2,153,84
27,Bangor,46.3,98,95,,,21.6,,1,127,96
28,Warwick,46.1,89,84,90,4,16.7,71,6,176,70
29,Leeds Trinity,45.5,97,93,,3,16.7,,,98,87
30,Edinburgh,45.2,88,81,98,10,18.6,68,5,165,67
31,Sheffield,44.6,90,84,94,4,19.2,73,6,151,71
32,Reading,44.3,93,93,92,6,16.1,63,6,127,81
33,Stirling,42.6,90,88,,2,16.7,,3,167,76
34,Keele,41.0,94,96,,5,21.9,,5,118,82
35,Aberdeen,40.8,97,89,,3,27.8,,,158,82
35,Hull,40.8,87,83,,6,14.8,,5,111,79
37,Exeter,40.5,87,84,99,3,18.7,,3,178,62
38,Royal Holloway,39.5,93,84,,4,,,8,140,67
39,Liverpool,39.4,91,84,91,7,18.2,,8,133,76
40,Brighton,34.3,89,81,86,3,13.1,60,7,100,73
41,Dundee,32.0,85,87,,5,25.7,,,164,76
41,Roehampton,32.0,85,84,,4,19.8,,,107,62
43,Queen's Belfast,30.5,91,87,,3,17.0,,1,144,77
44,Newcastle,29.5,87,79,,5,22.0,,3,149,69
45,Manchester Met,29.2,88,93,90,4,16.0,48,7,120,83
46,Cardiff,25.5,92,86,91,4,19.3,56,5,136,79
46,Glasgow,25.5,87,81,93,4,26.5,,3,174,73
