Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,St Andrews,100.0,95,96,97,5,9.3,86,7,224,87
2,Durham,90.7,91,90,97,4,9.9,89,6,228,79
3,Birmingham,85.7,91,93,97,7,10.7,92,6,196,72
4,Oxford,83.9,89,85,97,10,10.2,87,5,238,66
5,Liverpool,80.6,89,90,95,10,10.2,82,9,150,74
6,Southampton,80.4,94,99,93,5,10.1,84,9,163,80
7,Lancaster,79.1,94,97,95,6,9.6,88,1,179,91
7,Nottingham,79.1,96,96,96,7,12.8,80,7,174,83
9,Aberdeen,77.2,93,94,,3,9.7,,8,186,71
10,Warwick,74.3,92,90,96,8,10.3,81,2,198,83
11,Northumbria,72.8,89,87,,2,7.3,,,128,79
12,Royal Holloway,72.4,90,91,93,9,6.4,,2,146,81
13,Swansea,72.0,93,93,89,3,13.4,86,10,142,81
14,Leicester,71.4,95,96,96,6,12.4,77,8,142,79
15,Bath,70.8,91,89,98,4,13.3,82,6,197,77
16,Leeds,70.6,92,90,95,4,11.3,82,7,168,74
17,Keele,70.2,92,100,,3,7.1,,3,123,81
18,UCL,67.9,74,72,97,9,8.8,87,8,198,53
19,Manchester,67.7,88,83,97,8,13.6,80,8,203,65
20,Exeter,66.1,93,92,98,4,11.7,81,2,178,80
21,York,65.3,83,88,95,6,10.8,90,4,163,71
22,Loughborough,64.9,86,87,94,3,12.0,77,9,146,85
23,Hertfordshire,64.2,90,94,87,3,9.6,81,9,122,82
24,Surrey,63.5,89,89,97,4,12.3,78,8,164,68
25,Bristol,61.3,87,84,94,8,11.9,86,4,181,66
26,Nottingham Trent,59.6,96,97,94,3,11.3,70,4,127,90
27,Edinburgh,58.0,83,80,94,10,13.0,78,5,209,72
27,King's College London,58.0,89,75,92,4,11.9,78,7,163,74
29,Central Lancashire,57.1,87,81,94,3,9.9,,6,110,72
30,Sussex,56.9,92,88,92,7,12.2,77,7,138,72
31,Strathclyde,56.3,93,88,94,7,11.0,64,3,191,85
32,Imperial College,54.9,80,67,95,7,10.7,84,4,231,48
33,Queen's Belfast,52.4,91,91,96,4,12.1,74,4,157,72
34,Cardiff,50.4,84,88,92,9,9.7,77,3,158,66
35,Sheffield,50.0,89,90,99,3,12.4,72,3,163,74
36,Aberystwyth,46.7,88,91,93,2,17.1,83,8,113,67
37,Queen Mary,46.3,84,87,90,4,10.8,75,4,135,76
38,Glasgow,43.7,85,83,92,4,16.3,79,5,203,67
39,Salford,39.6,91,96,85,4,9.3,71,3,114,78
40,De Montfort,38.9,93,94,,2,19.5,,,122,76
41,Hull,36.5,90,85,92,3,16.4,74,5,114,71
42,Kent,34.0,72,79,96,3,,77,5,132,55
43,Heriot-Watt,31.7,81,85,90,8,10.6,74,1,171,77
