Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,St Andrews,100.0,97,96,98,7,13.4,82,9,210,88
2,Cambridge,91.9,88,83,99,10,10.9,88,7,211,70
3,Oxford,87.4,92,89,99,10,9.2,86,6,215,54
4,Bristol,83.1,95,90,98,6,16.9,70,9,182,79
5,Loughborough,81.1,97,95,97,4,19.9,79,8,146,87
6,Warwick,79.2,91,93,94,7,13.7,79,5,189,79
7,York,79.1,91,90,97,5,18.5,89,6,157,82
8,London School of Economics,78.8,82,74,99,10,11.4,91,8,202,54
9,Coventry,77.7,95,95,92,8,,,7,111,87
10,Exeter,77.1,90,89,98,4,17.1,86,7,175,75
11,Surrey,74.7,96,92,,6,14.4,,4,162,84
12,Essex,73.8,89,93,95,8,14.8,86,9,111,67
13,King's College London,73.2,92,85,96,9,12.3,66,9,184,60
14,De Montfort,72.9,90,95,93,3,14.8,,7,100,83
15,Sheffield,72.7,94,86,98,6,18.5,84,7,155,67
16,UCL,71.6,85,80,,9,13.3,,8,187,67
17,Swansea,71.2,95,92,93,5,15.9,79,5,121,80
18,Aberystwyth,69.6,97,93,91,4,14.9,73,4,126,82
19,Birmingham,69.5,88,84,98,9,19.4,85,7,157,64
20,Leeds,69.2,91,90,96,7,20.6,77,7,163,75
21,UEA,69.0,92,85,94,5,13.4,72,8,140,74
22,Portsmouth,68.6,90,88,93,6,17.2,80,8,106,79
23,Edinburgh,68.4,85,76,98,10,15.1,75,8,169,60
23,Manchester,68.4,86,85,96,8,15.3,78,7,165,70
25,Keele,68.3,93,92,95,6,12.1,75,4,120,77
26,Kent,67.6,89,92,96,7,19.4,76,6,138,74
27,Greenwich,67.5,97,96,,5,14.0,,2,116,88
28,Salford,66.6,93,94,,,11.6,,3,116,84
29,Durham,66.5,85,79,98,5,22.2,79,8,202,71
30,Nottingham,65.9,88,77,97,5,17.2,81,7,162,67
31,Huddersfield,65.6,83,86,,4,10.4,,,120,83
32,Newcastle,64.7,93,94,95,5,19.1,80,6,155,66
32,Sheffield Hallam,64.7,98,98,92,5,19.0,,3,104,90
34,SOAS,64.5,93,87,92,7,16.3,66,4,169,70
35,Bath,64.3,87,89,98,5,27.2,93,7,180,64
36,Ulster,64.0,84,90,95,6,23.5,,9,116,81
37,Strathclyde,63.1,90,89,95,9,20.3,65,8,198,67
38,UWE Bristol,62.2,95,93,92,4,28.2,69,8,119,89
39,Canterbury Christ Church,62.0,92,91,91,6,17.3,,8,98,81
40,Liverpool Hope,61.9,97,93,,2,13.9,,1,115,82
41,Aston,61.6,91,93,96,4,23.4,75,6,122,78
42,Glasgow,61.0,92,87,92,7,16.8,68,5,193,67
43,Sussex,60.5,91,93,94,8,26.1,81,3,141,78
44,Royal Holloway,60.2,92,88,95,5,17.2,74,6,136,70
45,Leicester,60.0,89,90,93,5,19.0,76,8,122,70
45,Winchester,60.0,91,91,,2,19.3,,5,107,83
47,Cardiff,58.9,86,80,97,8,16.0,64,4,142,73
48,Nottingham Trent,58.7,88,84,89,5,17.3,69,4,123,86
49,Westminster,58.6,90,90,90,4,19.4,65,8,105,81
50,Lancaster,58.2,88,89,96,5,20.9,78,3,153,71
51,Brunel,57.7,89,82,94,4,15.0,59,5,111,76
52,Southampton,57.6,80,83,94,5,17.1,74,8,143,74
53,Liverpool,57.5,88,86,95,5,16.9,52,5,137,80
54,Lincoln,56.7,91,89,91,3,13.6,74,2,115,80
55,Northumbria,56.6,89,85,,2,19.6,,4,130,78
56,Middlesex,56.5,87,86,,6,14.0,,,97,70
56,Reading,56.5,91,89,92,6,17.0,71,4,137,72
58,East London,56.0,91,85,,3,25.1,,6,102,80
59,Stirling,55.9,91,94,91,2,25.9,,7,149,81
60,Oxford Brookes,55.4,90,87,94,6,16.6,67,1,124,77
61,Bradford,55.3,84,76,,6,9.5,,1,114,75
62,Birkbeck,54.6,90,92,86,3,19.1,,,82,79
63,Brighton,54.1,81,93,,3,13.1,,,96,68
64,Hull,53.5,86,89,93,3,18.9,81,4,122,67
65,Dundee,52.2,97,94,85,7,29.5,,8,157,74
65,Queen Mary,52.2,87,86,93,6,19.8,73,4,140,66
67,Plymouth,52.0,92,84,89,8,19.5,59,5,108,75
68,City,51.9,85,87,91,5,13.9,,6,122,66
69,Queen's Belfast,46.4,88,85,92,5,14.9,52,3,142,74
70,Chichester,45.3,95,94,,1,21.3,,,91,70
71,Leeds Beckett,44.4,88,78,,3,23.2,62,3,101,81
72,Aberdeen,44.1,82,82,91,3,28.0,64,9,176,68
73,London Met,41.8,89,92,85,2,17.8,65,1,93,80
74,Kingston,39.1,74,74,89,10,16.5,51,3,98,77
75,West of Scotland,36.1,89,83,,3,32.2,,1,136,75
76,Manchester Met,35.4,83,83,86,3,23.8,51,4,121,79
77,Goldsmiths,33.4,91,87,87,3,24.5,60,5,107,60
78,Chester,31.2,84,84,87,3,21.1,,1,95,69
