Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,St Andrews,100.0,94,93,99,6,11.3,,9,197,81
2,Bath,96.3,88,87,99,7,12.4,90,7,193,78
3,Cambridge,94.0,92,84,97,10,12.0,84,7,215,68
4,Oxford,92.0,95,100,97,,23.0,72,8,212,86
5,UCL,84.8,87,81,98,10,12.0,74,8,187,69
6,Durham,84.2,92,93,97,6,15.6,72,6,188,81
7,Cardiff,81.7,90,92,98,10,14.2,65,7,168,80
8,Buckingham,80.6,92,92,,4,9.9,,6,142,82
9,Loughborough,77.8,92,91,97,7,15.4,68,7,160,81
10,Nottingham Trent,77.6,92,91,92,6,14.3,73,7,143,84
11,Exeter,77.3,87,82,95,5,13.1,82,7,175,70
12,Lincoln,76.3,90,90,96,4,16.8,70,8,133,78
13,York,76.1,93,90,98,7,19.2,71,7,162,74
14,Birmingham,75.6,89,88,99,8,17.3,82,8,166,62
15,Bristol,75.2,89,83,98,7,19.4,81,7,178,63
16,Cumbria,74.8,91,92,,2,14.7,,10,80,87
16,Portsmouth,74.8,91,90,95,6,16.1,77,8,123,79
18,Coventry,73.1,90,86,94,6,11.6,73,7,119,71
19,Surrey,72.7,91,88,94,7,13.7,70,7,166,63
20,Leeds,72.6,89,83,97,7,17.6,68,8,167,70
21,UEA,72.4,92,90,95,8,15.1,65,5,155,76
22,Lancaster,72.2,89,91,92,8,12.7,78,4,151,73
23,Glasgow,71.4,91,83,90,8,16.5,72,10,187,51
24,Sussex,71.1,92,94,96,8,18.1,78,6,148,60
24,Warwick,71.1,86,86,94,8,16.8,73,6,169,68
26,Southampton,71.0,89,81,98,6,15.3,68,7,161,68
27,Strathclyde,70.0,94,95,91,8,20.2,68,7,198,70
28,Newcastle,69.9,88,93,96,7,16.0,70,4,167,66
29,Queen's Belfast,68.6,89,86,96,9,18.0,55,6,152,82
30,Royal Holloway,68.5,89,90,97,6,15.7,64,5,150,70
31,Essex,68.3,88,90,92,6,18.3,75,9,116,69
32,Kent,67.7,87,93,97,5,19.2,80,3,148,68
32,Northumbria,67.7,91,94,92,4,20.0,64,9,139,78
34,Nottingham,67.0,87,87,95,8,17.4,67,7,162,65
35,Bangor,66.4,93,92,94,6,20.4,72,4,132,76
36,Derby,65.9,94,92,91,6,14.1,54,3,113,83
37,Chichester,65.7,90,90,,2,14.4,48,10,99,74
38,Manchester,65.5,86,81,95,9,12.7,60,6,155,67
39,Aberystwyth,65.3,93,96,90,3,19.4,70,3,111,92
40,Aberdeen,65.1,87,87,91,4,18.8,67,8,154,75
41,Edge Hill,65.0,87,87,92,3,16.4,61,6,130,84
42,Huddersfield,64.8,83,86,91,4,15.4,69,7,121,78
43,Wolverhampton,64.2,87,91,90,5,22.3,63,10,100,81
44,Abertay Dundee,63.9,80,86,93,3,15.8,54,8,152,76
45,UWE Bristol,63.6,91,88,93,5,20.8,57,9,127,81
46,Stirling,63.5,89,89,92,4,18.2,67,7,158,72
46,Swansea,63.5,87,82,95,4,20.1,81,6,146,60
48,West London,62.9,91,87,84,7,13.4,62,4,114,79
49,Aston,62.3,91,88,96,5,23.7,75,5,136,71
49,Edinburgh,62.3,84,79,95,8,13.8,62,6,186,52
51,City,61.7,87,87,93,5,17.3,58,8,135,67
52,Central Lancashire,60.8,84,81,89,4,19.6,75,7,126,78
53,East London,60.7,87,89,,4,15.8,58,8,101,74
54,Keele,60.3,87,83,96,4,18.2,63,5,121,74
55,Staffordshire,59.5,88,88,85,8,12.7,68,1,121,81
56,Dundee,58.8,93,92,89,7,23.4,61,4,159,77
57,South Wales,58.6,88,85,91,4,16.4,54,4,131,77
58,Liverpool Hope,58.4,84,87,87,2,14.6,75,3,112,82
58,Oxford Brookes,58.4,84,90,94,8,13.8,56,4,128,73
60,Goldsmiths,58.3,92,82,88,4,14.3,44,8,128,69
61,Glasgow Caledonian,58.2,87,86,90,3,20.8,43,9,183,75
62,Sheffield Hallam,57.9,92,90,94,5,20.0,55,6,119,78
63,Liverpool John Moores,57.4,86,87,88,6,22.0,69,8,140,74
64,Leicester,57.1,86,94,94,8,27.7,57,9,132,83
65,Gloucestershire,57.0,89,87,93,6,19.3,65,2,123,79
66,Bolton,56.8,92,92,88,3,26.2,65,4,118,85
67,Brunel,56.7,89,92,97,3,23.6,61,6,126,71
68,Ulster,56.4,87,87,93,3,19.2,47,8,119,75
69,Suffolk,56.2,93,90,,6,18.5,63,1,117,75
70,Kingston,56.0,83,83,90,5,17.0,46,7,107,80
71,Roehampton,55.6,85,85,93,6,13.3,56,3,110,63
72,Leeds Trinity,55.2,96,89,89,3,25.0,58,9,102,83
73,Salford,55.0,86,81,87,3,16.9,53,5,126,76
74,Teesside,54.5,79,81,87,6,16.6,76,3,107,77
75,Canterbury Christ Church,53.9,88,82,89,5,15.1,58,5,114,75
76,Westminster,53.5,81,81,93,3,17.4,70,5,115,63
77,Plymouth,53.4,83,86,94,6,19.4,55,5,127,76
78,Chester,53.2,92,93,89,4,17.7,51,5,120,76
78,Reading,53.2,87,82,95,8,16.6,50,3,144,68
80,Birmingham City,53.0,93,91,89,5,20.4,59,4,121,74
81,De Montfort,52.8,94,96,92,3,20.1,66,1,110,82
81,Manchester Met,52.8,88,89,91,3,26.3,67,5,125,81
83,Liverpool,52.2,77,77,94,6,16.1,60,7,144,60
83,Sheffield,52.2,84,70,94,6,19.7,73,7,147,50
85,Bournemouth,52.0,93,88,92,4,18.3,51,7,111,68
86,Newman,50.3,82,77,87,4,16.8,,4,114,68
87,"St Mary's, Twickenham",50.2,85,82,89,2,18.5,,3,122,70
88,Hertfordshire,49.9,84,82,93,4,19.3,65,3,108,73
89,Queen Margaret,49.7,77,73,92,3,20.5,60,9,136,58
90,Sunderland,49.3,83,79,,5,17.9,62,4,114,74
91,Worcester,49.0,87,83,90,3,19.3,59,3,116,75
92,Edinburgh Napier,48.8,92,86,87,5,21.7,55,5,162,67
93,Brighton,48.7,85,82,92,3,13.6,42,2,120,70
94,London South Bank,48.6,80,73,87,4,18.2,76,4,102,67
95,Glynd?r,48.2,91,89,87,2,30.6,,5,,76
95,Queen Mary,48.2,75,65,94,10,16.1,61,6,142,47
97,Trinity Saint David,48.0,87,84,87,3,19.7,53,1,105,81
98,Bath Spa,47.4,85,84,90,5,23.1,61,6,117,74
99,West of Scotland,46.3,95,89,,4,25.9,43,2,144,85
100,York St John,44.6,88,84,92,3,20.8,43,6,120,69
101,Heriot-Watt,44.5,79,77,91,8,22.2,53,7,153,54
102,Anglia Ruskin,43.9,90,85,90,7,19.6,43,2,103,74
103,Greenwich,43.7,79,77,88,4,17.3,54,5,128,67
104,Birkbeck,42.1,83,86,81,4,22.9,,6,109,60
105,Bucks New University,41.9,87,80,82,6,13.3,,1,98,76
105,Middlesex,41.9,82,80,82,7,20.1,54,6,115,69
107,Hull,40.7,79,75,90,3,21.4,69,2,123,58
108,Bradford,39.6,79,74,89,3,23.9,53,4,127,66
109,Cardiff Met,39.0,78,66,89,4,18.7,54,5,114,55
110,Bedfordshire,38.9,86,81,81,6,18.7,66,1,91,69
111,London Met,37.4,85,79,80,4,17.0,65,2,104,66
112,Winchester,35.8,85,74,91,3,18.5,53,2,112,54
113,Leeds Beckett,32.4,82,74,93,4,22.7,42,1,108,73
114,Northampton,30.1,80,76,90,4,26.5,48,6,103,58
115,Solent,30.0,83,86,86,4,23.8,55,4,105,53
