Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Bristol,100.0,98,91,94,10,14.1,,9,158,74
2,Strathclyde,99.2,94,95,,3,14.1,,,195,78
3,Leeds,93.7,94,92,,10,16.2,,10,151,75
4,Loughborough,88.4,89,84,,5,9.6,70,7,156,66
5,London School of Economics,86.8,85,67,,8,9.6,,8,179,62
6,Bath,86.3,85,79,,8,12.6,,8,156,79
7,Swansea,85.6,92,95,,6,14.8,,,134,87
8,Sheffield,84.7,91,89,,5,14.4,,,142,78
9,Edinburgh,80.9,87,73,,9,15.1,,8,194,68
10,York,79.7,88,83,95,7,15.0,85,3,125,69
11,Glasgow,79.3,96,94,,6,20.1,,6,169,72
12,Liverpool Hope,79.0,97,89,,2,17.9,,3,123,92
13,Kent,77.9,73,80,,4,10.1,78,5,118,69
14,Coventry,76.8,96,69,,9,12.5,,2,,67
15,Salford,76.6,89,84,83,3,10.5,59,6,117,83
16,Central Lancashire,75.6,77,88,88,5,18.9,63,7,119,85
17,Queen's Belfast,73.9,87,86,,7,15.4,,,141,75
18,Aston,73.4,91,87,,4,17.3,,8,120,70
19,Anglia Ruskin,66.9,86,85,,6,20.5,,,97,80
20,Bangor,61.7,78,82,91,3,16.1,59,3,132,75
21,Nottingham,61.4,97,100,,5,16.7,,,140,63
22,Ulster,60.8,90,96,,3,22.1,,3,108,79
23,Birmingham,60.1,77,74,90,8,18.7,,7,146,58
24,Northampton,59.3,82,78,86,4,26.5,61,,106,80
25,Southampton,57.1,89,83,,4,18.1,,,137,64
26,Trinity Saint David,50.0,80,91,88,2,17.6,55,3,97,76
27,Chester,47.2,86,84,,3,28.9,,,114,75
28,Wolverhampton,41.7,86,67,76,5,19.7,47,5,111,71
29,Bedfordshire,38.1,78,76,92,6,18.7,43,1,89,63
30,London Met,35.3,76,72,85,2,26.7,58,,104,57
