Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Lancaster,100.0,92,92,88,10,10.8,84,8,165,72
2,Glasgow Caledonian,98.6,86,82,94,6,14.9,90,9,175,72
3,Portsmouth,93.8,84,90,94,7,17.0,92,10,129,72
4,UEA,93.2,91,91,,5,12.5,,,149,85
5,Bath,92.8,84,90,96,8,12.6,,6,158,75
6,Bedfordshire,91.9,96,97,87,6,18.7,85,9,,92
7,East London,91.5,89,85,90,7,14.7,94,8,,83
8,Bristol,88.1,,,,10,14.1,,8,159,
9,Dundee,84.6,91,80,93,8,22.9,,9,144,82
10,Queen's Belfast,84.5,90,92,95,4,19.7,96,10,144,59
11,Salford,82.9,85,89,94,3,10.5,76,7,131,79
12,West London,81.1,94,80,91,3,13.8,,7,,76
13,Plymouth,81.0,92,89,87,8,11.6,80,5,,85
14,Swansea,80.6,90,83,,6,14.8,,9,148,72
15,Sussex,79.6,85,80,98,10,10.1,79,6,144,61
16,Robert Gordon,79.0,98,96,95,3,20.2,93,6,152,63
17,Strathclyde,78.9,98,94,,3,14.1,72,2,162,73
18,Birmingham,78.6,87,82,89,7,18.7,87,8,152,65
19,Stirling,77.2,98,100,,5,16.3,,6,,70
20,Nottingham Trent,75.9,80,83,92,5,19.3,79,6,141,82
21,London South Bank,75.8,81,76,87,4,12.5,,10,,70
22,Liverpool Hope,75.6,90,91,92,2,17.9,,4,120,87
23,Central Lancashire,75.3,86,86,89,5,18.9,72,8,138,78
23,York,75.3,85,75,,7,15.0,,7,137,71
25,Edinburgh,74.0,77,79,,9,15.1,,5,174,65
26,Winchester,72.8,91,89,86,5,12.6,81,5,119,77
27,Leeds,72.5,75,64,91,9,16.2,,,161,64
28,Kingston - St George's University,72.4,81,88,91,8,17.8,76,8,125,79
29,Hertfordshire,72.2,83,65,90,4,16.2,88,10,134,66
30,Huddersfield,71.3,81,84,88,4,16.6,70,8,140,81
31,Chichester,70.2,89,88,92,4,13.4,69,8,122,70
32,UWE Bristol,69.7,82,71,92,6,10.9,96,2,149,64
33,Nottingham,69.2,88,87,,5,16.7,,5,140,72
34,Sheffield Hallam,68.6,89,74,91,6,11.7,86,7,118,71
35,Bournemouth,67.8,82,83,,9,16.1,,4,132,80
35,Coventry,67.8,90,84,88,8,12.5,67,2,127,78
37,Kent,67.3,81,86,84,4,10.1,88,3,129,70
38,Liverpool John Moores,64.6,83,86,90,7,18.6,73,4,150,77
39,Northumbria,63.3,88,80,89,4,15.4,62,6,145,72
40,Leeds Beckett,62.8,81,79,87,5,10.6,,7,123,68
41,Keele,61.6,92,70,,3,15.7,,,144,53
41,Middlesex,61.6,88,83,85,9,22.4,,5,124,73
43,Birmingham City,61.2,78,68,95,7,31.2,92,9,135,71
44,Lincoln,60.4,76,70,92,3,10.3,,4,133,62
45,Manchester Met,59.9,85,87,86,4,13.1,64,3,137,78
46,Ulster,59.7,83,85,93,3,22.1,83,8,119,68
47,Suffolk,56.8,80,76,78,10,17.1,84,3,,72
48,West of Scotland,56.5,88,81,89,3,32.2,83,5,135,79
49,Derby,56.1,80,68,89,5,16.9,84,3,126,65
50,Glynd?r,54.9,81,73,84,2,24.8,92,5,,67
51,Greenwich,54.8,91,85,83,3,25.5,44,7,133,82
52,Hull,54.6,86,82,88,4,28.6,91,4,120,63
52,Staffordshire,54.6,92,89,75,4,14.0,99,2,111,72
54,Canterbury Christ Church,52.5,81,81,85,3,9.4,77,2,111,66
55,Anglia Ruskin,51.9,84,74,81,6,20.5,79,4,123,76
55,Goldsmiths,51.9,79,75,87,5,18.1,74,8,97,69
57,Bradford,51.7,79,76,89,5,21.2,68,4,132,71
58,De Montfort,50.9,76,66,88,5,17.2,,3,120,65
59,Bucks New University,50.6,83,85,,6,17.6,,2,95,85
60,Gloucestershire,50.3,79,64,88,7,17.0,83,5,107,59
60,Oxford Brookes,50.3,86,77,,10,32.4,,4,123,67
62,Edge Hill,49.0,77,72,92,4,19.6,73,4,124,69
63,South Wales,48.7,85,83,90,3,18.0,54,2,127,80
64,Northampton,47.7,81,75,94,4,26.5,72,5,122,71
65,Wolverhampton,47.1,80,76,86,5,19.7,73,4,117,69
66,Chester,44.8,84,71,87,3,,77,2,121,62
67,Worcester,44.1,81,68,,2,9.5,58,,,55
68,Highlands & Islands,42.7,87,96,76,7,,48,,144,79
69,Newman,42.3,82,80,85,3,17.0,54,2,131,64
70,Trinity Saint David,40.4,82,90,,2,17.6,,6,63,78
71,Cardiff Met,39.8,79,75,84,3,25.2,66,6,122,71
72,Sunderland,38.4,86,87,86,5,23.6,60,2,127,79
73,Teesside,36.1,62,49,93,7,23.6,84,1,122,61
74,London Met,34.0,66,59,82,2,24.7,94,7,114,47
75,Solent,33.6,66,47,90,4,24.8,85,7,121,51
76,Brighton,32.6,85,77,84,2,26.3,52,5,114,71
77,Cumbria,31.9,79,74,79,4,14.7,58,2,114,70
