Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Cambridge,100.0,88,84,99,10,12.1,88,7,211,68
2,Sheffield,88.4,91,90,94,7,13.1,78,8,137,79
3,Bristol,87.8,96,89,96,5,17.3,70,7,160,81
4,Warwick,87.1,88,89,96,,10.2,75,7,153,78
5,Bath,87.0,86,84,93,9,12.6,84,6,165,76
6,Plymouth,86.1,94,93,,6,10.8,,9,110,84
7,Liverpool Hope,85.4,95,92,,3,12.8,,,123,82
8,Manchester,82.8,89,86,96,9,11.5,70,6,152,72
9,Loughborough,80.8,86,91,95,6,14.3,65,5,155,79
10,Birmingham,80.4,92,85,96,9,18.7,,6,149,77
11,Surrey,80.3,92,93,94,8,16.3,65,5,158,79
12,Leeds,79.1,88,89,94,10,16.2,66,8,154,71
13,London School of Economics,78.0,81,74,,10,10.3,,8,179,48
14,Queen Margaret,77.9,89,89,,2,23.0,69,10,127,72
15,Lancaster,77.7,91,85,,,10.3,,6,149,68
16,Brunel,77.6,93,90,90,10,13.0,61,7,119,81
17,Sussex,76.9,90,91,96,3,23.0,68,8,138,77
18,Coventry,76.7,92,90,95,8,24.7,80,5,115,80
19,Huddersfield,76.5,89,88,91,5,18.5,68,9,108,80
20,Durham,76.3,81,81,97,5,17.6,68,8,169,68
21,Aston,76.0,87,85,94,5,17.3,66,7,125,78
22,Keele,75.4,95,90,,5,15.9,,7,117,78
23,East London,75.3,91,90,90,7,16.5,45,8,110,79
24,Edinburgh,74.6,86,86,88,10,15.1,,7,178,70
25,Stirling,73.5,94,91,92,5,15.7,,4,166,72
26,Bournemouth,72.9,84,79,90,10,16.1,,8,107,76
26,Glasgow,72.9,89,90,83,6,16.5,,5,198,70
28,Exeter,72.0,92,89,95,4,18.7,,3,162,75
28,Westminster,72.0,88,90,94,8,21.7,52,9,109,77
30,Lincoln,71.9,92,100,,5,19.1,,,124,77
31,Staffordshire,71.8,85,89,,,12.5,,2,98,87
31,York,71.8,82,84,95,4,16.4,77,7,138,65
33,Aberdeen,71.4,95,85,,4,18.9,,4,170,69
33,Newcastle,71.4,91,91,95,7,13.7,63,3,144,69
35,UWE Bristol,71.2,92,94,92,5,18.9,61,8,116,70
36,Bangor,70.6,91,93,89,3,16.1,57,3,125,85
37,Nottingham,70.0,92,88,93,6,16.7,66,5,139,68
38,Portsmouth,69.8,94,95,94,5,22.0,60,6,105,78
39,Essex,69.3,89,87,92,6,15.0,68,7,113,62
40,Central Lancashire,68.2,88,82,,4,17.8,76,8,112,65
41,Leicester,67.9,91,91,92,5,23.1,71,5,124,69
42,Nottingham Trent,67.8,86,88,89,5,20.2,62,7,128,84
43,Goldsmiths,67.7,91,88,88,5,10.5,38,6,116,72
44,Northumbria,67.6,87,90,95,4,22.8,71,5,128,71
45,Canterbury Christ Church,67.3,91,92,89,5,19.3,52,6,99,86
46,Kent,67.1,82,78,93,4,17.4,76,5,125,67
47,Queen's Belfast,66.8,89,87,91,8,15.4,52,3,138,75
48,Teesside,66.2,81,78,89,4,14.9,66,7,117,72
49,Sheffield Hallam,66.1,87,89,92,5,19.0,39,8,119,78
50,Northampton,65.8,94,97,,5,26.5,,9,98,73
51,Derby,65.3,85,83,92,7,16.2,69,3,100,74
51,Manchester Met,65.3,86,87,90,4,14.0,56,5,118,76
53,Liverpool John Moores,64.3,85,88,91,3,18.7,53,7,130,71
54,Gloucestershire,64.1,92,93,,7,22.8,47,,108,78
55,Bedfordshire,63.6,92,90,81,7,18.7,60,5,96,77
56,Abertay Dundee,63.3,88,86,91,2,21.7,56,2,161,75
57,Cardiff,63.2,82,79,93,10,16.1,61,4,141,61
57,Royal Holloway,63.2,84,84,,6,20.4,,5,132,68
59,Bath Spa,62.1,93,88,93,5,28.8,,4,118,85
60,London South Bank,61.8,78,76,,6,17.7,,10,88,65
61,Edinburgh Napier,61.6,91,84,90,6,31.2,57,10,150,71
62,Greenwich,61.4,77,75,,5,11.4,33,8,134,72
63,Southampton,61.3,88,83,92,4,18.1,,6,141,64
64,Glasgow Caledonian,61.2,91,94,93,3,28.1,37,4,179,71
65,Liverpool,61.0,92,89,87,7,18.6,58,6,136,60
66,Kingston,60.2,83,85,91,5,22.7,,9,97,70
67,West of Scotland,59.7,91,89,87,3,22.3,47,2,141,84
68,Oxford Brookes,59.6,85,82,,3,16.7,,4,121,68
68,Ulster,59.6,88,91,89,3,22.3,38,6,114,81
70,Anglia Ruskin,59.3,86,86,86,7,18.0,33,4,87,81
71,Birmingham City,57.7,92,92,89,5,30.8,57,3,121,74
72,London Met,57.5,86,84,87,2,27.8,65,2,,67
73,"St Mary's, Twickenham",56.9,82,82,,2,18.3,,9,107,54
74,Suffolk,56.0,87,88,84,6,14.4,44,2,122,76
75,Winchester,55.2,92,85,95,2,24.1,,5,100,59
76,Hull,55.0,80,77,,4,14.6,,6,113,61
77,De Montfort,54.1,79,75,,3,25.9,,7,,74
78,Wolverhampton,53.8,92,91,87,4,33.6,,,93,78
79,Bradford,52.8,85,81,,2,27.7,,3,120,73
80,Salford,52.3,88,89,81,3,16.1,48,2,113,77
81,South Wales,52.0,85,76,,3,18.4,,3,113,63
82,City,51.4,87,86,88,7,21.3,35,2,129,74
83,Sunderland,51.2,87,88,84,3,25.4,50,3,114,76
84,Roehampton,50.9,79,77,87,8,16.5,,1,104,61
85,Robert Gordon,49.7,87,91,92,3,26.3,53,2,152,57
86,Worcester,48.3,82,70,,2,27.2,,7,106,64
87,Middlesex,48.0,80,83,82,6,21.2,43,5,116,62
88,Brighton,47.3,88,85,85,3,18.8,46,2,109,67
89,Leeds Beckett,46.8,85,75,85,4,23.2,52,4,98,70
90,Chester,44.7,85,84,88,3,32.1,,1,107,79
91,Bucks New University,33.4,74,65,80,6,19.6,47,1,102,62
