Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Leeds,100.0,93,94,97,8,12.4,76,9,159,82
2,Bath,97.1,95,88,94,7,22.9,84,8,168,84
3,Loughborough,95.3,93,92,98,8,15.4,79,8,165,75
4,Birmingham,93.3,87,89,97,9,16.0,84,8,154,77
5,Kingston,93.2,97,97,82,10,8.7,,9,106,97
6,Aberdeen,88.7,86,87,,10,17.4,,,195,79
7,Durham,88.4,90,92,90,4,16.8,80,4,171,81
8,Bangor,87.1,91,93,90,5,17.0,66,9,147,83
9,Glasgow,87.0,90,87,,10,17.8,,10,,63
10,Staffordshire,85.3,92,88,81,8,13.5,77,6,126,85
11,Anglia Ruskin,84.7,95,94,83,9,16.8,66,8,115,86
12,Exeter,84.6,90,90,94,5,20.8,79,4,173,72
13,Portsmouth,83.1,91,87,90,6,19.9,80,5,144,82
14,Edinburgh,82.9,78,74,93,9,13.9,81,6,178,64
15,UEA,81.6,80,81,,8,,,8,151,74
16,Lincoln,80.6,89,92,82,7,11.6,71,6,142,79
17,Liverpool Hope,79.5,96,98,83,3,16.4,75,3,119,90
18,Swansea,78.6,90,94,89,8,18.8,78,6,139,74
19,Essex,77.7,90,91,86,8,17.9,68,8,137,78
20,Gloucestershire,77.1,91,89,87,6,18.3,72,5,136,82
21,Nottingham Trent,76.5,89,86,89,5,20.8,66,6,161,76
22,Coventry,76.1,92,91,87,7,24.8,81,6,146,80
23,Bradford,75.5,84,79,,4,17.0,,9,156,68
24,Brighton,75.1,88,88,90,4,18.7,64,8,143,76
25,Oxford Brookes,74.8,84,81,95,4,13.7,53,8,139,69
26,Chester,74.1,98,95,88,4,16.6,67,2,116,84
27,Sheffield Hallam,73.9,89,87,88,5,19.4,67,8,142,75
28,Central Lancashire,73.8,92,93,79,5,15.9,65,6,131,82
29,Derby,73.6,85,87,86,8,18.7,67,6,127,79
29,Winchester,73.6,85,79,90,3,15.9,84,4,109,76
31,Cardiff Met,73.5,86,86,88,5,17.9,66,8,142,74
31,Manchester Met,73.5,81,77,87,5,11.7,72,4,129,64
33,Liverpool John Moores,72.1,80,81,85,6,18.4,76,6,156,75
34,Ulster,71.9,90,87,91,3,21.3,68,7,146,69
35,Bolton,71.5,83,82,79,5,12.4,74,5,107,80
36,Bournemouth,71.4,90,90,83,3,25.3,71,9,131,86
37,Suffolk,71.1,88,85,73,4,17.8,,5,143,83
38,Stirling,70.2,86,84,90,3,16.2,73,5,157,65
39,Bedfordshire,69.3,87,85,80,8,13.3,76,5,106,73
39,Solent,69.3,87,84,86,4,18.4,65,8,130,70
41,Edinburgh Napier,68.9,89,83,91,5,17.7,56,9,158,69
41,"St Mary's, Twickenham",68.9,79,80,86,7,17.3,77,6,126,66
43,Abertay Dundee,68.7,85,86,87,2,14.8,66,4,152,80
44,Hull,68.6,94,90,83,4,17.6,56,7,130,81
45,Kent,68.4,83,76,87,4,22.5,82,5,146,66
46,Trinity Saint David,68.0,79,78,81,3,14.3,66,10,112,71
47,Teesside,67.9,82,74,81,8,15.8,72,7,120,75
48,Robert Gordon,67.8,86,89,,2,23.0,81,,161,65
49,London Met,67.4,93,93,76,2,19.5,77,5,102,85
50,Sunderland,67.3,82,78,82,8,14.6,60,9,132,75
51,Brunel,66.4,85,82,89,7,22.9,66,7,138,74
52,Roehampton,66.2,82,80,80,4,15.3,85,3,115,77
53,Aberystwyth,66.0,85,88,,4,13.6,72,3,118,78
54,St Mark and St John,64.8,86,85,83,4,17.2,59,7,135,66
55,Chichester,64.7,86,85,89,3,19.1,65,4,125,72
56,London South Bank,63.5,83,83,,,10.8,,1,116,66
57,Salford,63.3,93,89,80,3,19.4,61,4,126,91
58,West of Scotland,62.8,90,89,,4,28.1,61,9,145,82
59,Northumbria,62.5,83,86,86,3,24.9,65,5,153,72
60,East London,61.3,87,83,82,5,26.1,74,7,123,73
60,Hertfordshire,61.3,87,77,85,6,21.1,73,5,121,68
62,Glynd?r,60.8,82,77,79,2,15.8,,2,113,79
63,Edge Hill,59.9,85,81,84,3,22.1,61,2,147,79
64,Greenwich,59.8,76,73,83,5,14.6,77,2,144,52
65,Newman,59.2,87,81,82,3,17.8,69,3,117,71
66,Worcester,58.7,82,82,87,3,20.3,69,3,128,70
67,Northampton,53.1,81,83,79,4,24.0,,8,109,74
68,Leeds Beckett,52.7,86,85,83,4,21.0,63,2,130,69
69,Middlesex,52.4,72,75,77,6,20.5,69,4,131,68
70,Canterbury Christ Church,52.0,83,84,79,7,23.4,58,4,118,78
71,Wolverhampton,51.9,85,82,78,4,22.0,63,3,123,73
72,Leeds Trinity,49.3,83,81,84,4,19.4,63,2,106,68
73,South Wales,48.3,80,84,81,4,27.4,56,3,131,75
74,Bucks New University,48.1,76,62,78,8,16.9,66,2,113,66
75,Cumbria,46.7,83,76,81,3,17.7,54,1,124,72
76,York St John,35.2,75,70,85,3,24.3,53,1,120,71
